,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
169,Phoenix Suns,-4.014177796,Rookie,0.033792,5,Josh Gray,1627982.0,190,Josh Gray,-4.223548108047288
170,Phoenix Suns,-4.014177796,Rookie,0.08905333333333333,5,Shaquille Harrison,1627885.0,214,Shaquille Harrison,-4.304634815262464
171,Phoenix Suns,-4.014177796,Rookie,1.69668,5,Josh Jackson,1628367.0,89,Josh Jackson,-1.5327713081972207
172,Phoenix Suns,-4.014177796,Rookie,1.1107799999999999,5,Elfrid Payton,203901.0,114,Elfrid Payton,-3.674009052807186
173,Phoenix Suns,-4.014177796,Rookie,0.2718716666666667,5,Davon Reed,1628432.0,350,Davon Reed,-4.804576294625747
174,Phoenix Suns,-4.014177796,Rookie,0.437537,5,Tyler Ulis,1627755.0,64,Tyler Ulis,1.4916544358153758
175,Phoenix Suns,-4.014177796,Rookie,1.050977,5,T.J. Warren,203933.0,431,T.J. Warren,1.9275388793933814
176,Phoenix Suns,-4.014177796,Rookie,2.0,5,Alan Williams,1626210.0,253,Alan Williams,-4.944966403837632
177,Philadelphia 76ers,-4.722418349,Rookie,0.5264800000000001,5,Justin Anderson,1626147.0,42,Justin Anderson,-6.964185120383538
178,Philadelphia 76ers,-4.722418349,Rookie,2.0334220000000003,5,Joel Embiid,203954.0,314,Joel Embiid,7.671576705561061
179,Philadelphia 76ers,-4.722418349,Rookie,2.3420799999999997,5,Markelle Fultz,1628365.0,269,Markelle Fultz,-0.5971372934773057
180,Philadelphia 76ers,-4.722418349,Rookie,0.4904606666666666,5,Richaun Holmes,1626158.0,353,Richaun Holmes,-1.5527406806425574
181,Philadelphia 76ers,-4.722418349,Rookie,0.48863999999999996,5,Furkan Korkmaz,1627788.0,374,Furkan Korkmaz,-3.863803756584802
182,Philadelphia 76ers,-4.722418349,Rookie,0.4622,5,Timothe Luwawu-Cabarrot,1627789.0,201,Timothe Luwawu-Cabarrot,-1.5243702987327357
183,Philadelphia 76ers,-4.722418349,Rookie,0.4904606666666666,5,T.J. McConnell,204456.0,39,T.J. McConnell,2.846045302030789
184,Philadelphia 76ers,-4.722418349,Rookie,0.80752,5,Dario Saric,203967.0,505,Dario Saric,-0.5296897591819766
185,Philadelphia 76ers,-4.722418349,Rookie,2.05628,5,Ben Simmons,1627732.0,439,Ben Simmons,3.442187361584601
186,Los Angeles Lakers,-5.179052184,Rookie,2.09552,5,Lonzo Ball,1628366.0,49,Lonzo Ball,5.304644464041516
187,Los Angeles Lakers,-5.179052184,Rookie,0.2718716666666667,5,Thomas Bryant,1628418.0,215,Thomas Bryant,-2.805660760959367
188,Los Angeles Lakers,-5.179052184,Rookie,0.5081016666666667,5,Tyler Ennis,203898.0,317,Tyler Ennis,4.701228718585227
189,Los Angeles Lakers,-5.179052184,Rookie,0.46484,5,Josh Hart,1628404.0,302,Josh Hart,5.214016009581508
190,Los Angeles Lakers,-5.179052184,Rookie,0.004608,5,Andre Ingram,201281.0,272,Andre Ingram,-0.24585678349191364
191,Los Angeles Lakers,-5.179052184,Rookie,1.8398,5,Brandon Ingram,1627742.0,473,Brandon Ingram,2.4709989485208688
192,Los Angeles Lakers,-5.179052184,Rookie,0.47452,5,Kyle Kuzma,1628398.0,48,Kyle Kuzma,-1.3939085179452873
193,Los Angeles Lakers,-5.179052184,Rookie,1.3830806666666666,5,Julius Randle,203944.0,47,Julius Randle,-0.01569441658899917
194,Los Angeles Lakers,-5.179052184,Rookie,0.09887866666666667,5,Travis Wear,204037.0,227,Travis Wear,0.20073943096044644
195,Los Angeles Lakers,-5.179052184,Rookie,0.437537,5,Ivica Zubac,1627826.0,261,Ivica Zubac,-1.7893211612428601
196,Los Angeles Lakers,-5.179052184,Rookie,0.016666666666666666,5,Briante Weber,1627362.0,244,Briante Weber,-2.9465856524856484
197,Los Angeles Lakers,-5.179052184,Rookie,0.016666666666666666,5,Vander Blue,203505.0,395,Vander Blue,1.2016399715755812
198,Orlando Magic,-5.4976070560000005,Rookie,0.2718716666666667,5,Khem Birch,203920.0,155,Khem Birch,5.872250788746632
199,Orlando Magic,-5.4976070560000005,Rookie,1.8348066666666667,5,Aaron Gordon,203932.0,409,Aaron Gordon,0.6325385103749568
200,Orlando Magic,-5.4976070560000005,Rookie,1.35944,5,Mario Hezonja,1626209.0,115,Mario Hezonja,-2.7394285990865015
201,Orlando Magic,-5.4976070560000005,Rookie,1.39544,5,Jonathan Isaac,1628371.0,240,Jonathan Isaac,0.9804976177967042
202,Orlando Magic,-5.4976070560000005,Rookie,0.05376,5,Rodney Purvis,1628681.0,239,Rodney Purvis,-3.3922108101191872
203,Orlando Magic,-5.4976070560000005,Rookie,2.1,5,Jonathon Simmons,203613.0,116,Jonathon Simmons,-0.07449992623390855
204,Brooklyn Nets,-5.629013734,Rookie,0.57124,5,Jarrett Allen,1628386.0,96,Jarrett Allen,-4.0116703897015125
205,Brooklyn Nets,-5.629013734,Rookie,0.5081016666666667,5,Spencer Dinwiddie,203915.0,186,Spencer Dinwiddie,2.9930808773068716
206,Brooklyn Nets,-5.629013734,Rookie,0.5081016666666667,5,Joe Harris,203925.0,457,Joe Harris,2.6732162590134916
