,Team,rating,Type,mu,sd,name,player_id,index,player_name,coefs
117,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.09905633333333333,5,Brandon Jennings,201943.0,521,Brandon Jennings,-4.667358915396681
118,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.25247566666666665,5,DeAndre Liggins,202732.0,164,DeAndre Liggins,-8.968608222967342
119,Milwaukee Bucks,0.8606942540000001,Non-rookie,4.7,5,Khris Middleton,203114.0,173,Khris Middleton,2.2337481255483542
120,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.2738096666666667,5,Tony Snell,203503.0,210,Tony Snell,-2.4362621676222753
121,Milwaukee Bucks,0.8606942540000001,Non-rookie,3.5,5,Mirza Teletovic,203141.0,288,Mirza Teletovic,0.8478996557902463
122,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.4904606666666666,5,Jason Terry,1891.0,150,Jason Terry,2.5647652113849517
123,Milwaukee Bucks,0.8606942540000001,Non-rookie,0.569846,5,Tyler Zeller,203092.0,458,Tyler Zeller,-0.26308193612121933
124,Chicago Bulls,0.8249325909999999,Non-rookie,0.4904606666666666,5,Tony Allen,2754.0,284,Tony Allen,-1.467906090206458
125,Chicago Bulls,0.8249325909999999,Non-rookie,3.531835,5,Omer Asik,201600.0,172,Omer Asik,-4.037880913609001
126,Chicago Bulls,0.8249325909999999,Non-rookie,2.6145,5,Cristiano Felicio,1626245.0,171,Cristiano Felicio,-8.675757575924113
127,Chicago Bulls,0.8249325909999999,Non-rookie,4.596166666666667,5,Robin Lopez,201577.0,77,Robin Lopez,-3.9327673136243204
128,Chicago Bulls,0.8249325909999999,Non-rookie,1.2846436666666667,5,Quincy Pondexter,202347.0,295,Quincy Pondexter,-2.2364307994433843
129,Chicago Bulls,0.8249325909999999,Non-rookie,5.183333333333334,5,Dwyane Wade,2548.0,292,Dwyane Wade,0.055046372762355134
130,Indiana Pacers,0.567018304,Non-rookie,3.5,5,Bojan Bogdanovic,202711.0,170,Bojan Bogdanovic,-1.1043737146656598
131,Indiana Pacers,0.567018304,Non-rookie,3.333333333333333,5,Darren Collison,201954.0,12,Darren Collison,4.109362264650381
132,Indiana Pacers,0.567018304,Non-rookie,3.256607,5,Al Jefferson,2744.0,475,Al Jefferson,-0.7487009295301081
133,Indiana Pacers,0.567018304,Non-rookie,2.543333333333333,5,Cory Joseph,202709.0,169,Cory Joseph,-2.958326555560653
134,Indiana Pacers,0.567018304,Non-rookie,7.0,5,Victor Oladipo,203506.0,1,Victor Oladipo,8.431969109195975
135,Indiana Pacers,0.567018304,Non-rookie,1.393333333333333,5,Lance Stephenson,202362.0,339,Lance Stephenson,-3.737181004939792
136,Indiana Pacers,0.567018304,Non-rookie,0.3388723333333333,5,Damien Wilkins,2863.0,277,Damien Wilkins,0.5695154445762745
137,Indiana Pacers,0.567018304,Non-rookie,4.932116000000001,5,Thaddeus Young,201152.0,0,Thaddeus Young,-0.005315549264519603
138,Minnesota Timberwolves,0.487595368,Non-rookie,2.433333333333333,5,Cole Aldrich,202332.0,502,Cole Aldrich,-4.697161697139252
139,Minnesota Timberwolves,0.487595368,Non-rookie,0.4904606666666666,5,Aaron Brooks,201166.0,307,Aaron Brooks,-2.4417920635087196
140,Minnesota Timberwolves,0.487595368,Non-rookie,6.43369,5,Jimmy Butler,202710.0,479,Jimmy Butler,6.1439574108069746
141,Minnesota Timberwolves,0.487595368,Non-rookie,4.70412,5,Gorgui Dieng,203476.0,311,Gorgui Dieng,-6.894225499093588
142,Minnesota Timberwolves,0.487595368,Non-rookie,4.666666666666667,5,Taj Gibson,201959.0,90,Taj Gibson,0.4000944532998538
143,Minnesota Timberwolves,0.487595368,Non-rookie,0.412872,5,Shabazz Muhammad,203498.0,270,Shabazz Muhammad,-6.559981577367509
144,Minnesota Timberwolves,0.487595368,Non-rookie,6.333333333333332,5,Jeff Teague,201952.0,27,Jeff Teague,3.7191084032918305
145,Minnesota Timberwolves,0.487595368,Non-rookie,2.5247740000000003,5,Andrew Wiggins,203952.0,312,Andrew Wiggins,2.6020302248879172
146,Atlanta Hawks,0.0,Non-rookie,5.636704333333332,5,Kent Bazemore,203145.0,61,Kent Bazemore,-1.8885566344026294
147,Atlanta Hawks,0.0,Non-rookie,2.10202,5,Marco Belinelli,201158.0,94,Marco Belinelli,-0.5817233420701786
148,Atlanta Hawks,0.0,Non-rookie,3.6475873333333335,5,Jamal Crawford,2037.0,410,Jamal Crawford,-0.8629093519474083
149,Atlanta Hawks,0.0,Non-rookie,0.04437633333333333,5,Jeremy Evans,202379.0,382,Jeremy Evans,-0.24423993174119013
150,Atlanta Hawks,0.0,Non-rookie,1.8114273333333333,5,Ersan Ilyasova,101141.0,396,Ersan Ilyasova,3.582650520109973
151,Atlanta Hawks,0.0,Non-rookie,0.8333333333333334,5,Richard Jefferson,2210.0,34,Richard Jefferson,-1.5690541744245894
152,Atlanta Hawks,0.0,Non-rookie,4.166666666666667,5,Miles Plumlee,203101.0,447,Miles Plumlee,3.963041473322008
153,Atlanta Hawks,0.0,Non-rookie,5.166666666666667,5,Dennis Schroder,203471.0,224,Dennis Schroder,4.1344190301318235
154,Detroit Pistons,-0.16488799,Non-rookie,0.8333333333333334,5,Reggie Bullock,203493.0,92,Reggie Bullock,-2.054986909845189
155,Detroit Pistons,-0.16488799,Non-rookie,7.925168666666668,5,Andre Drummond,203083.0,139,Andre Drummond,-2.087393674143975
156,Detroit Pistons,-0.16488799,Non-rookie,9.9093,5,Blake Griffin,201933.0,72,Blake Griffin,4.995894240227287
157,Detroit Pistons,-0.16488799,Non-rookie,5.333333333333333,5,Reggie Jackson,202704.0,256,Reggie Jackson,6.4411638864187015
158,Detroit Pistons,-0.16488799,Non-rookie,3.499106333333333,5,Jon Leuer,202720.0,276,Jon Leuer,-2.516884259290916
159,Detroit Pistons,-0.16488799,Non-rookie,2.0,5,Ish Smith,202397.0,484,Ish Smith,0.4710579362988252
160,Detroit Pistons,-0.16488799,Non-rookie,1.7772430000000001,5,Josh Smith,2746.0,456,Josh Smith,-3.8779143617207614
161,Detroit Pistons,-0.16488799,Non-rookie,1.096666666666667,5,Anthony Tolliver,201229.0,140,Anthony Tolliver,-3.8146924602747294
