,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[427],0.15,1.957,-3.52,3.762,0.032,0.049,3716.0,1552.0,1.0
x[428],-0.744,2.341,-5.144,3.632,0.034,0.05,4720.0,1440.0,1.0
x[429],1.309,2.54,-3.442,5.798,0.042,0.05,3654.0,1617.0,1.0
x[430],-0.838,2.548,-5.409,3.946,0.041,0.057,3927.0,1414.0,1.0
x[431],-2.537,2.518,-7.299,2.187,0.037,0.046,4726.0,1151.0,1.01
x[432],1.33,2.881,-4.134,6.656,0.036,0.066,6345.0,1231.0,1.0
x[433],-2.146,2.713,-7.242,2.787,0.039,0.049,4915.0,1558.0,1.0
x[434],1.221,3.482,-5.252,8.284,0.049,0.078,4995.0,1463.0,1.0
x[435],3.019,2.593,-1.745,7.938,0.036,0.041,5288.0,1376.0,1.0
x[436],-1.457,3.193,-7.458,4.504,0.052,0.074,3985.0,1340.0,1.0
x[437],-0.548,2.901,-5.695,4.869,0.044,0.085,4453.0,1096.0,1.0
x[438],-0.448,3.627,-7.27,6.152,0.046,0.099,6230.0,1258.0,1.0
x[439],0.393,2.47,-3.812,5.392,0.04,0.059,3814.0,1387.0,1.0
x[440],-1.346,2.178,-5.305,2.625,0.038,0.04,3385.0,1606.0,1.0
x[441],-1.131,2.976,-6.599,4.218,0.039,0.08,5729.0,1409.0,1.0
x[442],1.116,2.547,-3.792,5.65,0.037,0.059,4660.0,1360.0,1.0
x[443],-1.46,2.291,-5.675,2.772,0.031,0.045,5514.0,1444.0,1.0
x[444],-3.137,3.527,-9.324,3.859,0.047,0.063,5761.0,1328.0,1.0
x[445],0.412,2.887,-5.453,5.638,0.044,0.073,4333.0,1342.0,1.0
x[446],-2.815,2.603,-7.734,2.086,0.036,0.043,5145.0,1451.0,1.0
x[447],-0.164,2.696,-5.219,4.923,0.037,0.074,5374.0,1335.0,1.0
x[448],-1.989,3.865,-9.019,5.18,0.057,0.084,4629.0,1243.0,1.0
x[449],-0.485,2.959,-5.825,5.009,0.042,0.077,5151.0,1221.0,1.0
x[450],-2.686,4.034,-10.203,5.303,0.052,0.097,6005.0,1054.0,1.0
x[451],-0.886,2.858,-5.997,4.683,0.041,0.069,4780.0,1381.0,1.0
x[452],-1.727,3.655,-8.691,4.662,0.05,0.08,5334.0,1242.0,1.0
x[453],0.238,2.759,-5.181,5.027,0.042,0.063,4244.0,1607.0,1.0
x[454],-1.102,3.917,-9.13,5.607,0.054,0.112,5209.0,1313.0,1.0
x[455],-1.821,2.884,-7.331,3.65,0.042,0.061,4824.0,1347.0,1.01
x[456],-0.484,3.36,-6.976,5.725,0.047,0.091,5100.0,1292.0,1.0
x[457],-1.396,2.423,-5.779,3.147,0.038,0.052,3984.0,1318.0,1.0
x[458],-0.681,3.186,-7.146,4.848,0.05,0.078,4053.0,1484.0,1.0
x[459],-3.482,2.236,-7.537,0.632,0.037,0.037,3590.0,983.0,1.0
x[460],0.147,2.873,-5.285,5.367,0.045,0.075,4078.0,1616.0,1.0
x[461],1.227,2.164,-2.919,5.191,0.028,0.045,5994.0,1333.0,1.0
x[462],3.346,2.592,-1.41,8.139,0.04,0.039,4203.0,1500.0,1.0
x[463],0.876,2.234,-3.321,5.003,0.035,0.053,4042.0,1135.0,1.0
x[464],1.363,2.367,-2.805,6.006,0.038,0.049,3887.0,1524.0,1.0
x[465],1.791,2.557,-3.15,6.18,0.037,0.045,4685.0,1717.0,1.0
x[466],5.255,2.166,1.401,9.554,0.03,0.027,5335.0,1222.0,1.0
x[467],-0.667,2.918,-6.518,4.555,0.046,0.076,4017.0,1358.0,1.0
x[468],0.512,3.6,-6.104,7.61,0.051,0.09,4907.0,1479.0,1.0
x[469],0.613,3.181,-5.522,6.338,0.046,0.081,4830.0,1394.0,1.0
x[470],2.255,2.819,-2.75,7.571,0.046,0.051,3849.0,1686.0,1.0
x[471],-2.134,2.546,-6.942,2.359,0.037,0.044,4885.0,1489.0,1.0
x[472],-1.985,3.0,-7.443,3.616,0.041,0.056,5445.0,1469.0,1.01
x[473],-0.729,2.709,-5.806,4.506,0.042,0.064,4083.0,1438.0,1.0
x[474],-1.281,2.553,-6.204,3.379,0.036,0.056,5031.0,1264.0,1.0
x[475],7.768,2.636,2.547,12.374,0.04,0.031,4291.0,1493.0,1.0
x[476],-1.221,3.953,-9.313,5.847,0.053,0.109,5567.0,936.0,1.01
x[477],-3.639,2.229,-7.786,0.545,0.03,0.03,5488.0,1453.0,1.0
x[478],2.348,3.003,-3.365,7.997,0.046,0.056,4155.0,1553.0,1.0
x[479],0.996,2.52,-3.785,5.648,0.036,0.058,5002.0,1449.0,1.0
x[480],0.065,2.83,-4.876,5.506,0.041,0.071,4836.0,1511.0,1.0
x[481],-0.047,3.873,-7.04,7.227,0.053,0.097,5407.0,1492.0,1.0
x[482],-0.637,3.035,-6.174,5.079,0.045,0.09,4526.0,842.0,1.0
x[483],-1.239,3.895,-7.905,6.917,0.058,0.097,4583.0,1301.0,1.0
x[484],-0.507,3.907,-7.178,7.501,0.057,0.105,4801.0,1306.0,1.0
x[485],-0.648,3.031,-6.415,5.115,0.04,0.089,6019.0,975.0,1.0
sigma,79.187,0.3,78.59,79.729,0.004,0.003,4722.0,1312.0,1.01
