,mu,sd,name
356,0.0,5,Ron Baker
357,0.0,5,Carmelo Anthony
358,11.884716666666666,5,Chris Paul
359,5.0,5,Trevor Ariza
360,5.314718,5,Ian Mahinmi
361,0.5149836666666666,5,Malcolm Brogdon
362,0.44979433333333335,5,Antonio Blakeney
363,1.483,5,Lance Stephenson
364,0.279488,5,Hamidou Diallo
365,0.5149836666666666,5,Dorian Finney-Smith
366,3.1224,5,Josh Richardson
367,0.0,5,Wesley Johnson
368,0.0,5,MarShon Brooks
369,0.829,5,Dante Cunningham
370,0.0,5,Zhou Qi
371,1.97168,5,Jaren Jackson Jr.
372,0.58,5,Caleb Swanigan
373,0.5042003333333334,5,Raymond Felton
374,0.5042003333333334,5,Jamal Crawford
375,0.19895733333333335,5,Gary Clark
376,0.0,5,James Nunnally
377,0.8866,5,Domantas Sabonis
378,5.513108666666667,5,Jonas Valanciunas
379,3.2,5,Dante Exum
380,2.8846156666666665,5,Fred VanVleet
381,2.14484,5,Ben Simmons
382,0.06551766666666667,5,Tim Frazier
383,8.0,5,Nicolas Batum
384,0.0,5,Johnathan Motley
385,2.7777776666666667,5,Joe Harris
386,8.052434333333334,5,Giannis Antetokounmpo
387,0.279488,5,Khyri Thomas
388,3.3624,5,Rudy Gay
389,0.16236966666666666,5,Jeremy Lin
390,6.5,5,Zach LaVine
391,0.0,5,Michael Beasley
392,0.0,5,Wade Baldwin IV
393,0.227887,5,Kenneth Faried
394,0.01994,5,Greg Monroe
395,0.0,5,Kadeem Allen
396,0.5042003333333334,5,Isaiah Thomas
397,0.54808,5,Jacob Evans
398,0.8797713333333333,5,Jerian Grant
399,0.56788,5,Landry Shamet
400,2.319035,5,Al-Farouq Aminu
401,0.5404716666666667,5,James Ennis III
402,1.779,5,DeMarcus Cousins
403,10.0,5,Kevin Durant
404,1.12512,5,Shai Gilgeous-Alexander
405,6.699729333333333,5,Kyrie Irving
406,0.0,5,Wes Iwundu
407,3.0,5,Bogdan Bogdanovic
408,0.459414,5,Dwayne Bacon
409,1.06872,5,Marquese Chriss
410,0.279488,5,Gary Trent Jr.
411,0.5042003333333334,5,Jonas Jerebko
412,8.039675,5,Kevin Love
413,0.16217333333333334,5,John Jenkins
414,0.005697333333333334,5,Jordan McRae
415,1.38524,5,Frank Ntilikina
416,0.10254933333333334,5,Andrew Bogut
417,0.0,5,Troy Caupain
418,0.17405,5,Bruno Caboclo
419,0.0,5,Bonzie Colson
420,1.0,5,Elfrid Payton
421,1.12,5,Ekpe Udoh
422,0.033035666666666665,5,Walter Lemon Jr.
423,0.55572,5,Derrick White
424,0.015790333333333333,5,Isaac Humphries
425,10.1869,5,Paul George
426,1.6666666666666667,5,Dirk Nowitzki
427,0.0,5,Tyler Zeller
428,2.3333333333333335,5,Ersan Ilyasova
429,0.5042003333333334,5,Channing Frye
430,0.0,5,Cameron Reynolds
431,0.8706,5,Zhaire Smith
432,4.597701,5,Clint Capela
433,0.0,5,Isaiah Canaan
434,6.3899333333333335,5,John Wall
435,0.5042003333333334,5,Shelvin Mack
436,0.0,5,Cameron Payne
437,4.0,5,Kentavious Caldwell-Pope
438,1.09176,5,Luke Kennard
439,0.0,5,JR Smith
440,0.0,5,Frank Mason
441,0.0,5,Milos Teodosic
442,1.55376,5,Dragan Bender
443,0.0,5,DJ Stephens
444,0.55984,5,Tony Bradley
445,1.1214163333333333,5,Trey Lyles
446,0.647474,5,Shabazz Napier
447,0.54016,5,Omari Spellman
448,1.407,5,Kris Dunn
449,0.36461933333333335,5,Joakim Noah
450,0.0,5,Kobi Simmons
451,6.815259666666667,5,Jimmy Butler
452,0.5042003333333334,5,Derrick Rose
453,0.5042003333333334,5,Jeff Green
454,8.658703666666666,5,Jrue Holiday
455,0.6666666666666666,5,Corey Brewer
456,0.0,5,Terrence Jones
