,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[394],1.421,2.78,-3.452,6.843,0.06,0.061,2103.0,1080.0,1.01
x[395],-1.236,2.89,-6.29,4.564,0.066,0.067,1891.0,1183.0,1.0
x[396],-1.47,2.873,-6.541,4.144,0.06,0.061,2319.0,1379.0,1.0
x[397],-1.245,2.877,-6.521,4.245,0.068,0.061,1775.0,1465.0,1.0
x[398],0.494,2.913,-5.199,5.691,0.072,0.068,1648.0,1220.0,1.01
x[399],0.186,3.017,-5.916,5.37,0.075,0.082,1587.0,1055.0,1.0
x[400],0.438,2.918,-5.131,5.531,0.064,0.074,2073.0,1215.0,1.0
x[401],-0.574,2.703,-5.868,4.434,0.059,0.074,2079.0,1051.0,1.0
x[402],0.691,2.736,-4.156,5.892,0.073,0.069,1388.0,860.0,1.0
x[403],0.436,3.095,-5.703,6.013,0.067,0.087,2127.0,1063.0,1.0
x[404],-0.981,2.933,-6.176,5.004,0.07,0.076,1775.0,1045.0,1.0
x[405],2.979,2.713,-2.122,7.857,0.056,0.051,2387.0,1415.0,1.0
x[406],-1.103,2.916,-6.72,4.332,0.065,0.069,2000.0,1352.0,1.0
x[407],0.382,2.852,-4.919,5.949,0.062,0.085,2118.0,1213.0,1.0
x[408],-2.319,2.921,-8.191,2.611,0.07,0.058,1755.0,1100.0,1.0
x[409],-1.409,2.788,-6.73,3.434,0.065,0.056,1846.0,1524.0,1.0
x[410],-0.3,2.947,-6.058,4.966,0.068,0.083,1888.0,1137.0,1.0
x[411],-0.936,2.974,-6.234,4.762,0.066,0.07,2060.0,1169.0,1.0
x[412],-0.946,3.013,-6.163,5.134,0.063,0.068,2278.0,1437.0,1.0
x[413],2.272,2.749,-2.729,7.547,0.063,0.059,1935.0,1285.0,1.0
x[414],-0.867,2.718,-6.063,4.122,0.061,0.07,2031.0,1045.0,1.0
x[415],-1.596,2.881,-6.415,4.224,0.061,0.087,2191.0,966.0,1.0
x[416],-1.192,2.784,-6.274,3.856,0.06,0.059,2194.0,1447.0,1.0
x[417],-0.161,2.873,-5.445,5.327,0.063,0.076,2109.0,1173.0,1.0
x[418],0.653,2.731,-4.648,5.556,0.064,0.068,1868.0,1193.0,1.0
x[419],-0.088,2.748,-4.973,5.04,0.06,0.071,2129.0,1278.0,1.0
x[420],-1.337,2.977,-7.054,3.997,0.07,0.074,1814.0,1181.0,1.0
x[421],1.5,2.852,-4.092,6.533,0.062,0.069,2111.0,805.0,1.0
x[422],1.011,2.706,-3.954,6.242,0.064,0.069,1776.0,1108.0,1.0
x[423],0.659,2.765,-4.549,5.958,0.06,0.082,2130.0,927.0,1.0
x[424],-0.043,2.781,-5.363,5.221,0.055,0.073,2553.0,1280.0,1.0
x[425],-0.164,2.969,-5.281,5.824,0.066,0.074,1985.0,1011.0,1.01
x[426],-1.497,2.827,-6.833,3.751,0.063,0.061,1990.0,1064.0,1.0
x[427],0.465,2.852,-4.965,5.499,0.063,0.072,2041.0,1459.0,1.0
x[428],-0.552,3.041,-5.932,5.297,0.067,0.081,2102.0,1180.0,1.0
x[429],0.419,2.965,-5.484,5.556,0.067,0.074,1977.0,1393.0,1.0
x[430],-0.982,2.932,-6.238,4.681,0.075,0.075,1542.0,1144.0,1.0
x[431],1.369,2.778,-3.866,6.593,0.061,0.062,2080.0,1415.0,1.0
x[432],-1.423,2.987,-7.146,3.944,0.063,0.077,2243.0,911.0,1.0
x[433],-0.069,3.89,-7.015,7.37,0.103,0.087,1429.0,1360.0,1.0
x[434],-1.474,2.967,-7.147,4.118,0.063,0.078,2260.0,985.0,1.0
x[435],-0.406,3.073,-6.424,5.136,0.072,0.073,1846.0,1321.0,1.0
x[436],-0.919,2.952,-6.576,4.313,0.074,0.068,1612.0,1203.0,1.0
x[437],-0.818,2.885,-5.67,5.119,0.072,0.065,1592.0,1224.0,1.0
x[438],-0.999,2.979,-6.736,4.513,0.063,0.076,2265.0,1215.0,1.0
x[439],4.162,2.778,-0.907,9.463,0.06,0.047,2133.0,1355.0,1.0
x[440],-1.01,2.93,-6.592,4.49,0.07,0.071,1740.0,1138.0,1.0
x[441],-0.788,2.958,-5.988,4.843,0.07,0.077,1811.0,1168.0,1.0
x[442],0.524,2.967,-5.192,5.886,0.073,0.07,1671.0,1317.0,1.01
