,mu,sd,name,type
452,0.5042003333333334,3,Derrick Rose,Minimum
453,0.5042003333333334,3,Jeff Green,Minimum
454,8.658703666666666,3,Jrue Holiday,Bird
455,0.6666666666666666,3,Corey Brewer,Room
457,1.6756756666666666,3,Patrick Beverley,Bird
458,1.20964,3,Zach Collins,Rookie
459,1.03716,3,Donovan Mitchell,Rookie
460,4.305936,3,Mason Plumlee,Bird
461,0.279488,3,Jarred Vanderbilt,Cap Space
462,10.404765,3,Gordon Hayward,Cap Space
463,0.005697333333333334,3,Eric Moreland,Minimum
464,7.196969666666667,3,Aaron Gordon,Bird
465,3.3333333333333335,3,Danny Green,Bird
466,0.329488,3,Devonte' Graham,NT-MLE
467,0.11394366666666667,3,Henry Ellenson,Minimum
468,0.14993133333333333,3,Edmond Sumner,Minimum
469,0.5042003333333334,3,Christian Wood,Minimum
470,4.045842333333334,3,Kelly Olynyk,Cap Space
471,0.04557733333333333,3,Jodie Meeks,Minimum
472,0.93596,3,Justin Jackson,Rookie
473,0.008545666666666667,3,Deyonta Davis,Minimum
474,0.5042003333333334,3,Treveon Graham,Minimum
475,9.246658333333333,3,DeMar DeRozan,Bird
478,0.5042003333333334,3,Udonis Haslem,Minimum
481,1.27792,3,Buddy Hield,Rookie
482,1.23695,3,J.J. Barea,Cap Space
483,0.5042003333333334,3,Jose Calderon,Minimum
484,4.166666666666667,3,Miles Plumlee,Bird
488,0.279488,3,Ryan Broekhoff,Cap Space
492,3.8869053333333334,3,Marcus Smart,Bird
494,0.84228,3,Dario Saric,Rookie
495,5.666666666666667,3,Bismack Biyombo,Cap Space
496,1.483,3,Ed Davis,Room
497,0.5223356666666666,3,Jahlil Okafor,Minimum
498,0.111095,3,Pau Gasol,Minimum
499,0.5149836666666666,3,Jake Layman,Cap Space
500,0.5042003333333334,3,Kevon Looney,Minimum
501,0.459414,3,Sindarius Thornwell,NT-MLE
502,7.6324,3,DeAndre Jordan,Cap Space
503,4.348485,3,Joe Ingles,Bird
504,0.63732,3,Aaron Holiday,Rookie
505,8.489083333333333,3,Nikola Jokic,Bird
507,0.78572,3,Lonnie Walker IV,Rookie
508,1.8172,3,Patrick Patterson,T-MLE
509,4.8839,3,James Johnson,Cap Space
510,0.01994,3,Michael Carter-Williams,Minimum
513,3.9166666666666665,3,T.J. Warren,Bird
514,1.91904,3,Brandon Ingram,Rookie
515,0.66384,3,Chandler Hutchison,Rookie
