"","Year","Pick","Name","Team"
"893",2005,53,"Orien Greene","Boston Celtics"
"894",2005,54,"Dijon Thompson","New York Knicks"
"895",2005,55,"Lawrence Roberts","Seattle SuperSonics"
"896",2005,56,"Amir Johnson","Detroit Pistons"
"897",2005,57,"Marcin Gortat","Phoenix Suns"
"898",2005,58,"Uros Slokar","Toronto Raptors"
"899",2005,59,"Cenk Akyol","Atlanta Hawks"
"900",2005,60,"Alex Acker","Detroit Pistons"
"901",2004,1,"Dwight Howard","Orlando Magic"
"902",2004,2,"Emeka Okafor","Charlotte Bobcats"
"903",2004,3,"Ben Gordon","Chicago Bulls"
"904",2004,4,"Shaun Livingston","Los Angeles Clippers"
"905",2004,5,"Devin Harris","Washington Wizards"
"906",2004,6,"Josh Childress","Atlanta Hawks"
"907",2004,7,"Luol Deng","Phoenix Suns"
"908",2004,8,"Rafael Araujo","Toronto Raptors"
"909",2004,9,"Andre Iguodala","Philadelphia 76ers"
"910",2004,10,"Luke Jackson","Cleveland Cavaliers"
"911",2004,11,"Andris Biedrins","Golden State Warriors"
"912",2004,12,"Robert Swift","Seattle SuperSonics"
"913",2004,13,"Sebastian Telfair","Portland Trail Blazers"
"914",2004,14,"Kris Humphries","Utah Jazz"
"915",2004,15,"Al Jefferson","Boston Celtics"
"916",2004,16,"Kirk Snyder","Utah Jazz"
"917",2004,17,"Josh Smith","Atlanta Hawks"
"918",2004,18,"JR Smith","New Orleans Hornets"
"919",2004,19,"Dorell Wright","Miami Heat"
"920",2004,20,"Jameer Nelson","Denver Nuggets"
"921",2004,21,"Pavel Podkolzin","Utah Jazz"
"922",2004,22,"Viktor Khryapa","New Jersey Nets"
"923",2004,23,"Sergei Monia","Portland Trail Blazers"
"924",2004,24,"Delonte West","Boston Celtics"
"925",2004,25,"Tony Allen","Boston Celtics"
"926",2004,26,"Kevin Martin","Sacramento Kings"
"927",2004,27,"Sasha Vujacic","Los Angeles Lakers"
"928",2004,28,"Beno Udrih","San Antonio Spurs"
"929",2004,29,"David Harrison","Indiana Pacers"
"930",2004,30,"Anderson Varejao","Orlando Magic"
"931",2004,31,"Jackson Vroman","Chicago Bulls"
"932",2004,32,"Peter John Ramos","Washington Wizards"
"933",2004,33,"Lionel Chalmers","Los Angeles Clippers"
"934",2004,34,"Donta Smith","Atlanta Hawks"
"935",2004,35,"Andre Emmett","Seattle SuperSonics"
"936",2004,36,"Antonio Burks","Orlando Magic"
"937",2004,37,"Royal Ivey","Atlanta Hawks"
"938",2004,38,"Chris Duhon","Chicago Bulls"
"939",2004,39,"Albert Miralles","Toronto Raptors"
"940",2004,40,"Justin Reed","Boston Celtics"
"941",2004,41,"David Young","Seattle SuperSonics"
"942",2004,42,"Viktor Sanikidze","Atlanta Hawks"
"943",2004,43,"Trevor Ariza","New York Knicks"
"944",2004,44,"Tim Pickett","New Orleans Hornets"
"945",2004,45,"Bernard Robinson","Charlotte Bobcats"
"946",2004,46,"Ha Ha","Portland Trail Blazers"
"947",2004,47,"Pape Sow","Miami Heat"
"948",2004,48,"Ricky Minard","Sacramento Kings"
"949",2004,49,"Sergei Lishouk","Memphis Grizzlies"
"950",2004,50,"Vassilis Spanoulis","Dallas Mavericks"
"951",2004,51,"Christian Drejer","New Jersey Nets"
"952",2004,52,"Romain Sato","San Antonio Spurs"
