"","Year","Pick","Name","Team"
"536",2011,56,"Chukwudiebere Maduabum","Los Angeles Lakers"
"537",2011,57,"Tanguy Ngombo","Dallas Mavericks"
"538",2011,58,"Ater Majok","Los Angeles Lakers"
"539",2011,59,"Adam Hanga","San Antonio Spurs"
"540",2011,60,"Isaiah Thomas","Sacramento Kings"
"541",2010,1,"John Wall","Washington Wizards"
"542",2010,2,"Evan Turner","Philadelphia 76ers"
"543",2010,3,"Derrick Favors","New Jersey Nets"
"544",2010,4,"Wesley Johnson","Minnesota Timberwolves"
"545",2010,5,"DeMarcus Cousins","Sacramento Kings"
"546",2010,6,"Ekpe Udoh","Golden State Warriors"
"547",2010,7,"Greg Monroe","Detroit Pistons"
"548",2010,8,"Al-Farouq Aminu","Los Angeles Clippers"
"549",2010,9,"Gordon Hayward","Utah Jazz"
"550",2010,10,"Paul George","Indiana Pacers"
"551",2010,11,"Cole Aldrich","New Orleans Hornets"
"552",2010,12,"Xavier Henry","Memphis Grizzlies"
"553",2010,13,"Ed Davis","Toronto Raptors"
"554",2010,14,"Patrick Patterson","Houston Rockets"
"555",2010,15,"Larry Sanders","Milwaukee Bucks"
"556",2010,16,"Luke Babbitt","Minnesota Timberwolves"
"557",2010,17,"Kevin Seraphin","Chicago Bulls"
"558",2010,18,"Eric Bledsoe","Oklahoma City Thunder"
"559",2010,19,"Avery Bradley","Boston Celtics"
"560",2010,20,"James Anderson","San Antonio Spurs"
"561",2010,21,"Craig Brackins","Oklahoma City Thunder"
"562",2010,22,"Elliot Williams","Portland Trail Blazers"
"563",2010,23,"Trevor Booker","Minnesota Timberwolves"
"564",2010,24,"Damion James","Atlanta Hawks"
"565",2010,25,"Dominique Jones","Memphis Grizzlies"
"566",2010,26,"Quincy Pondexter","Oklahoma City Thunder"
"567",2010,27,"Jordan Crawford","New Jersey Nets"
"568",2010,28,"Greivis Vasquez","Memphis Grizzlies"
"569",2010,29,"Daniel Orton","Orlando Magic"
"570",2010,30,"Lazar Hayward","Washington Wizards"
"571",2010,31,"Tibor Pleiss","New Jersey Nets"
"572",2010,32,"Dexter Pittman","Miami Heat"
"573",2010,33,"Hassan Whiteside","Sacramento Kings"
"574",2010,34,"Armon Johnson","Portland Trail Blazers"
"575",2010,35,"Nemanja Bjelica","Washington Wizards"
"576",2010,36,"Terrico White","Detroit Pistons"
"577",2010,37,"Darington Hobson","Milwaukee Bucks"
"578",2010,38,"Andy Rautins","New York Knicks"
"579",2010,39,"Landry Fields","New York Knicks"
"580",2010,40,"Lance Stephenson","Indiana Pacers"
"581",2010,41,"Jarvis Varnado","Miami Heat"
"582",2010,42,"Da'Sean Butler","Miami Heat"
"583",2010,43,"Devin Ebanks","Los Angeles Lakers"
"584",2010,44,"Jerome Jordan","Milwaukee Bucks"
"585",2010,45,"Paulao Prestes","Minnesota Timberwolves"
"586",2010,46,"Gani Lawal","Phoenix Suns"
"587",2010,47,"Tiny Gallon","Milwaukee Bucks"
"588",2010,48,"Latavious Williams","Miami Heat"
"589",2010,49,"Ryan Richards","San Antonio Spurs"
"590",2010,50,"Solomon Alabi","Dallas Mavericks"
"591",2010,51,"Magnum Rolle","Oklahoma City Thunder"
"592",2010,52,"Luke Harangody","Boston Celtics"
"593",2010,53,"Pape Sy","Atlanta Hawks"
"594",2010,54,"Willie Warren","Los Angeles Clippers"
"595",2010,55,"Jeremy Evans","Utah Jazz"
"596",2010,56,"Hamady Ndiaye","Minnesota Timberwolves"
"597",2010,57,"Ryan Reid","Indiana Pacers"
"598",2010,58,"Derrick Caracter","Los Angeles Lakers"
"599",2010,59,"Stanley Robinson","Orlando Magic"
"600",2010,60,"Dwayne Collins","Phoenix Suns"
"601",2009,1,"Blake Griffin","Los Angeles Clippers"
"602",2009,2,"Hasheem Thabeet","Memphis Grizzlies"
"603",2009,3,"James Harden","Oklahoma City Thunder"
"604",2009,4,"Tyreke Evans","Sacramento Kings"
"605",2009,5,"Ricky Rubio","Minnesota Timberwolves"
"606",2009,6,"Jonny Flynn","Minnesota Timberwolves"
"607",2009,7,"Stephen Curry","Golden State Warriors"
"608",2009,8,"Jordan Hill","New York Knicks"
"609",2009,9,"DeMar DeRozan","Toronto Raptors"
"610",2009,10,"Brandon Jennings","Milwaukee Bucks"
"611",2009,11,"Terrence Williams","New Jersey Nets"
"612",2009,12,"Gerald Henderson","Charlotte Bobcats"
"613",2009,13,"Tyler Hansbrough","Indiana Pacers"
"614",2009,14,"Earl Clark","Phoenix Suns"
"615",2009,15,"Austin Daye","Detroit Pistons"
"616",2009,16,"James Johnson","Chicago Bulls"
"617",2009,17,"Jrue Holiday","Philadelphia 76ers"
"618",2009,18,"Ty Lawson","Minnesota Timberwolves"
"619",2009,19,"Jeff Teague","Atlanta Hawks"
"620",2009,20,"Eric Maynor","Utah Jazz"
"621",2009,21,"Darren Collison","New Orleans Hornets"
"622",2009,22,"Victor Claver","Portland Trail Blazers"
"623",2009,23,"Omri Casspi","Sacramento Kings"
"624",2009,24,"Byron Mullens","Dallas Mavericks"
"625",2009,25,"Rodrigue Beaubois","Oklahoma City Thunder"
"626",2009,26,"Taj Gibson","Chicago Bulls"
"627",2009,27,"DeMarre Carroll","Memphis Grizzlies"
"628",2009,28,"Wayne Ellington","Minnesota Timberwolves"
"629",2009,29,"Toney Douglas","Los Angeles Lakers"
"630",2009,30,"Christian Eyenga","Cleveland Cavaliers"
"631",2009,31,"Jeff Ayres","Sacramento Kings"
"632",2009,32,"Jermaine Taylor","Washington Wizards"
"633",2009,33,"Dante Cunningham","Portland Trail Blazers"
"634",2009,34,"Sergio Llull","Denver Nuggets"
"635",2009,35,"DaJuan Summers","Detroit Pistons"
"636",2009,36,"Sam Young","Memphis Grizzlies"
"637",2009,37,"DeJuan Blair","San Antonio Spurs"
"638",2009,38,"Jon Brockman","Portland Trail Blazers"
"639",2009,39,"Jonas Jerebko","Detroit Pistons"
"640",2009,40,"Derrick Brown","Charlotte Bobcats"
"641",2009,41,"Jodie Meeks","Milwaukee Bucks"
"642",2009,42,"Patrick Beverley","Los Angeles Lakers"
"643",2009,43,"Marcus Thornton","Miami Heat"
"644",2009,44,"Chase Budinger","Detroit Pistons"
"645",2009,45,"Nick Calathes","Minnesota Timberwolves"
"646",2009,46,"Danny Green","Cleveland Cavaliers"
"647",2009,47,"Henk Norel","Minnesota Timberwolves"
"648",2009,48,"Taylor Griffin","Phoenix Suns"
"649",2009,49,"Sergiy Gladyr","Atlanta Hawks"
"650",2009,50,"Goran Suton","Utah Jazz"
"651",2009,51,"Jack McClinton","San Antonio Spurs"
"652",2009,52,"AJ Price","Indiana Pacers"
"653",2009,53,"Nando De Colo","San Antonio Spurs"
"654",2009,54,"Robert Vaden","Charlotte Bobcats"
"655",2009,55,"Patty Mills","Portland Trail Blazers"
"656",2009,56,"Ahmad Nivins","Dallas Mavericks"
"657",2009,57,"Emir Preldzic","Phoenix Suns"
"658",2009,58,"Lester Hudson","Boston Celtics"
"659",2009,59,"Chinemelu Elonu","Los Angeles Lakers"
"660",2009,60,"Robert Dozier","Miami Heat"
"661",2008,1,"Derrick Rose","Chicago Bulls"
"662",2008,2,"Michael Beasley","Miami Heat"
"663",2008,3,"O.J. Mayo","Minnesota Timberwolves"
"664",2008,4,"Russell Westbrook","Oklahoma City Thunder"
"665",2008,5,"Kevin Love","Memphis Grizzlies"
"666",2008,6,"Danilo Gallinari","New York Knicks"
"667",2008,7,"Eric Gordon","Los Angeles Clippers"
"668",2008,8,"Joe Alexander","Milwaukee Bucks"
"669",2008,9,"D.J. Augustin","Charlotte Bobcats"
"670",2008,10,"Brook Lopez","New Jersey Nets"
"671",2008,11,"Jerryd Bayless","Indiana Pacers"
"672",2008,12,"Jason Thompson","Sacramento Kings"
"673",2008,13,"Brandon Rush","Portland Trail Blazers"
"674",2008,14,"Anthony Randolph","Golden State Warriors"
"675",2008,15,"Robin Lopez","Phoenix Suns"
"676",2008,16,"Marreese Speights","Philadelphia 76ers"
"677",2008,17,"Roy Hibbert","Toronto Raptors"
"678",2008,18,"JaVale McGee","Washington Wizards"
"679",2008,19,"JJ Hickson","Cleveland Cavaliers"
"680",2008,20,"Alexis Ajinca","Charlotte Bobcats"
"681",2008,21,"Ryan Anderson","New Jersey Nets"
"682",2008,22,"Courtney Lee","Orlando Magic"
"683",2008,23,"Kosta Koufos","Utah Jazz"
"684",2008,24,"Serge Ibaka","Oklahoma City Thunder"
"685",2008,25,"Nicolas Batum","Houston Rockets"
"686",2008,26,"George Hill","San Antonio Spurs"
"687",2008,27,"Darrell Arthur","New Orleans Hornets"
"688",2008,28,"Donte Greene","Memphis Grizzlies"
"689",2008,29,"DJ White","Detroit Pistons"
"690",2008,30,"J.R. Giddens","Boston Celtics"
"691",2008,31,"Nikola Pekovic","Minnesota Timberwolves"
"692",2008,32,"Walter Sharpe","Oklahoma City Thunder"
"693",2008,33,"Joey Dorsey","Portland Trail Blazers"
"694",2008,34,"Mario Chalmers","Minnesota Timberwolves"
"695",2008,35,"DeAndre Jordan","Los Angeles Clippers"
"696",2008,36,"Omer Asik","Portland Trail Blazers"
"697",2008,37,"Luc Mbah a Moute","Milwaukee Bucks"
"698",2008,38,"Kyle Weaver","Charlotte Bobcats"
"699",2008,39,"Sonny Weems","Chicago Bulls"
"700",2008,40,"Chris Douglas-Roberts","New Jersey Nets"
"701",2008,41,"Nathan Jawai","Indiana Pacers"
"702",2008,42,"Sean Singletary","Sacramento Kings"
"703",2008,43,"Patrick Ewing","Sacramento Kings"
"704",2008,44,"Ante Tomic","Utah Jazz"
"705",2008,45,"Goran Dragic","San Antonio Spurs"
"706",2008,46,"Trent Plaisted","Oklahoma City Thunder"
"707",2008,47,"Henry Walker","Washington Wizards"
"708",2008,48,"Malik Hairston","Phoenix Suns"
"709",2008,49,"Richard Hendrix","Golden State Warriors"
"710",2008,50,"DeVon Hardin","Oklahoma City Thunder"
"711",2008,51,"Shan Foster","Dallas Mavericks"
"712",2008,52,"Darnell Jackson","Miami Heat"
"713",2008,53,"Tadija Dragicevic","Utah Jazz"
"714",2008,54,"Maarty Leunen","Houston Rockets"
"715",2008,55,"Mike Taylor","Portland Trail Blazers"
"716",2008,56,"Sasha Kaun","Oklahoma City Thunder"
"717",2008,57,"James Gist","San Antonio Spurs"
"718",2008,58,"Joe Crawford","Los Angeles Lakers"
"719",2008,59,"Deron Washington","Detroit Pistons"
"720",2008,60,"Semih Erden","Boston Celtics"
"721",2007,1,"Greg Oden","Portland Trail Blazers"
"722",2007,2,"Kevin Durant","Seattle SuperSonics"
"723",2007,3,"Al Horford","Atlanta Hawks"
"724",2007,4,"Mike Conley","Memphis Grizzlies"
"725",2007,5,"Jeff Green","Boston Celtics"
"726",2007,6,"Yi Jianlian","Milwaukee Bucks"
"727",2007,7,"Corey Brewer","Minnesota Timberwolves"
"728",2007,8,"Brandan Wright","Charlotte Bobcats"
"729",2007,9,"Joakim Noah","Chicago Bulls"
"730",2007,10,"Spencer Hawes","Sacramento Kings"
"731",2007,11,"Acie Law","Atlanta Hawks"
"732",2007,12,"Thaddeus Young","Philadelphia 76ers"
"733",2007,13,"Julian Wright","New Orleans Hornets"
"734",2007,14,"Al Thornton","Los Angeles Clippers"
"735",2007,15,"Rodney Stuckey","Detroit Pistons"
"736",2007,16,"Nick Young","Washington Wizards"
"737",2007,17,"Sean Williams","New Jersey Nets"
"738",2007,18,"Marco Belinelli","Golden State Warriors"
"739",2007,19,"Javaris Crittenton","Los Angeles Lakers"
"740",2007,20,"Jason Smith","Miami Heat"
"741",2007,21,"Daequan Cook","Philadelphia 76ers"
"742",2007,22,"Jared Dudley","Charlotte Bobcats"
"743",2007,23,"Wilson Chandler","New York Knicks"
"744",2007,24,"Rudy Fernandez","Phoenix Suns"
"745",2007,25,"Morris Almond","Utah Jazz"
"746",2007,26,"Aaron Brooks","Houston Rockets"
"747",2007,27,"Arron Afflalo","Detroit Pistons"
"748",2007,28,"Tiago Splitter","San Antonio Spurs"
"749",2007,29,"Alando Tucker","Phoenix Suns"
"750",2007,30,"Petteri Koponen","Philadelphia 76ers"
"751",2007,31,"Carl Landry","Seattle SuperSonics"
"752",2007,32,"Gabe Pruitt","Boston Celtics"
"753",2007,33,"Marcus Williams","San Antonio Spurs"
"754",2007,34,"Nick Fazekas","Dallas Mavericks"
"755",2007,35,"Glen Davis","Seattle SuperSonics"
"756",2007,36,"Jermareo Davidson","Golden State Warriors"
"757",2007,37,"Josh McRoberts","Portland Trail Blazers"
"758",2007,38,"Kyrylo Fesenko","Philadelphia 76ers"
"759",2007,39,"Stanko Barac","Miami Heat"
"760",2007,40,"Sun Sun","Los Angeles Lakers"
"761",2007,41,"Chris Richard","Minnesota Timberwolves"
"762",2007,42,"Derrick Byars","Portland Trail Blazers"
"763",2007,43,"Adam Haluska","New Orleans Hornets"
"764",2007,44,"Reyshawn Terry","Orlando Magic"
"765",2007,45,"Jared Jordan","Los Angeles Clippers"
"766",2007,46,"Stephane Lasme","Golden State Warriors"
"767",2007,47,"Dominic McGuire","Washington Wizards"
"768",2007,48,"Marc Gasol","Los Angeles Lakers"
"769",2007,49,"Aaron Gray","Chicago Bulls"
"770",2007,50,"Renaldas Seibutis","Dallas Mavericks"
"771",2007,51,"JamesOn Curry","Chicago Bulls"
"772",2007,52,"Taurean Green","Portland Trail Blazers"
"773",2007,53,"Demetris Nichols","Portland Trail Blazers"
"774",2007,54,"Brad Newley","Houston Rockets"
"775",2007,55,"Herbert Hill","Utah Jazz"
"776",2007,56,"Ramon Sessions","Milwaukee Bucks"
"777",2007,57,"Sammy Mejia","Detroit Pistons"
"778",2007,58,"Giorgos Printezis","San Antonio Spurs"
"779",2007,59,"DJ Strawberry","Phoenix Suns"
"780",2007,60,"Milovan Rakovic","Dallas Mavericks"
"781",2006,1,"Andrea Bargnani","Toronto Raptors"
"782",2006,2,"LaMarcus Aldridge","Chicago Bulls"
"783",2006,3,"Adam Morrison","Charlotte Bobcats"
"784",2006,4,"Tyrus Thomas","Portland Trail Blazers"
"785",2006,5,"Shelden Williams","Atlanta Hawks"
"786",2006,6,"Brandon Roy","Minnesota Timberwolves"
"787",2006,7,"Randy Foye","Boston Celtics"
"788",2006,8,"Rudy Gay","Houston Rockets"
"789",2006,9,"Patrick O'Bryant","Golden State Warriors"
"790",2006,10,"Mouhamed Sene","Seattle SuperSonics"
"791",2006,11,"JJ Redick","Orlando Magic"
"792",2006,12,"Hilton Armstrong","New Orleans/Oklahoma City Hornets"
"793",2006,13,"Thabo Sefolosha","Philadelphia 76ers"
"794",2006,14,"Ronnie Brewer","Utah Jazz"
"795",2006,15,"Cedric Simmons","New Orleans/Oklahoma City Hornets"
"796",2006,16,"Rodney Carney","Chicago Bulls"
"797",2006,17,"Shawne Williams","Indiana Pacers"
"798",2006,18,"Oleksiy Pecherov","Washington Wizards"
"799",2006,19,"Quincy Douby","Sacramento Kings"
"800",2006,20,"Renaldo Balkman","New York Knicks"
"801",2006,21,"Rajon Rondo","Phoenix Suns"
"802",2006,22,"Marcus Williams","New Jersey Nets"
"803",2006,23,"Josh Boone","New Jersey Nets"
"804",2006,24,"Kyle Lowry","Memphis Grizzlies"
"805",2006,25,"Shannon Brown","Cleveland Cavaliers"
"806",2006,26,"Jordan Farmar","Los Angeles Lakers"
"807",2006,27,"Sergio Rodriguez","Phoenix Suns"
"808",2006,28,"Maurice Ager","Dallas Mavericks"
"809",2006,29,"Mardy Collins","New York Knicks"
"810",2006,30,"Joel Freeland","Portland Trail Blazers"
"811",2006,31,"James White","Portland Trail Blazers"
"812",2006,32,"Steve Novak","Houston Rockets"
"813",2006,33,"Solomon Jones","Atlanta Hawks"
"814",2006,34,"Paul Davis","Los Angeles Clippers"
"815",2006,35,"P.J. Tucker","Toronto Raptors"
"816",2006,36,"Craig Smith","Minnesota Timberwolves"
"817",2006,37,"Bobby Jones","Minnesota Timberwolves"
"818",2006,38,"Kosta Perovic","Golden State Warriors"
"819",2006,39,"David Noel","Milwaukee Bucks"
"820",2006,40,"Denham Brown","Seattle SuperSonics"
"821",2006,41,"James Augustine","Orlando Magic"
"822",2006,42,"Daniel Gibson","Cleveland Cavaliers"
"823",2006,43,"Marcus Vinicius","New Orleans/Oklahoma City Hornets"
"824",2006,44,"Lior Eliyahu","Orlando Magic"
"825",2006,45,"Alexander Johnson","Indiana Pacers"
"826",2006,46,"Dee Brown","Utah Jazz"
"827",2006,47,"Paul Millsap","Utah Jazz"
"828",2006,48,"Vladimir Veremeenko","Washington Wizards"
"829",2006,49,"Leon Powe","Denver Nuggets"
"830",2006,50,"Ryan Hollins","Charlotte Bobcats"
"831",2006,51,"Cheikh Samb","Los Angeles Lakers"
"832",2006,52,"Guillermo Diaz","Los Angeles Clippers"
"833",2006,53,"Yotam Halperin","Seattle SuperSonics"
"834",2006,54,"Hassan Adams","New Jersey Nets"
"835",2006,55,"Ejike Ugboaja","Cleveland Cavaliers"
"836",2006,56,"Edin Bavcic","Toronto Raptors"
"837",2006,57,"Loukas Mavrokefalidis","Minnesota Timberwolves"
"838",2006,58,"JR Pinnock","Dallas Mavericks"
"839",2006,59,"Damir Markota","San Antonio Spurs"
"840",2006,60,"Will Blalock","Detroit Pistons"
"841",2005,1,"Andrew Bogut","Milwaukee Bucks"
"842",2005,2,"Marvin Williams","Atlanta Hawks"
"843",2005,3,"Deron Williams","Utah Jazz"
"844",2005,4,"Chris Paul","New Orleans/Oklahoma City Hornets"
"845",2005,5,"Raymond Felton","Charlotte Bobcats"
"846",2005,6,"Martell Webster","Portland Trail Blazers"
"847",2005,7,"Charlie Villanueva","Toronto Raptors"
"848",2005,8,"Channing Frye","New York Knicks"
"849",2005,9,"Ike Diogu","Golden State Warriors"
"850",2005,10,"Andrew Bynum","Los Angeles Lakers"
"851",2005,11,"Fran Vazquez","Orlando Magic"
"852",2005,12,"Yaroslav Korolev","Los Angeles Clippers"
"853",2005,13,"Sean May","Charlotte Bobcats"
"854",2005,14,"Rashad McCants","Minnesota Timberwolves"
"855",2005,15,"Antoine Wright","New Jersey Nets"
"856",2005,16,"Joey Graham","Toronto Raptors"
"857",2005,17,"Danny Granger","Indiana Pacers"
"858",2005,18,"Gerald Green","Boston Celtics"
"859",2005,19,"Hakim Warrick","Memphis Grizzlies"
"860",2005,20,"Julius Hodge","Denver Nuggets"
"861",2005,21,"Nate Robinson","Phoenix Suns"
"862",2005,22,"Jarrett Jack","Denver Nuggets"
"863",2005,23,"Francisco Garcia","Sacramento Kings"
"864",2005,24,"Luther Head","Houston Rockets"
"865",2005,25,"Johan Petro","Seattle SuperSonics"
"866",2005,26,"Jason Maxiell","Detroit Pistons"
"867",2005,27,"Linas Kleiza","Portland Trail Blazers"
"868",2005,28,"Ian Mahinmi","San Antonio Spurs"
"869",2005,29,"Wayne Simien","Miami Heat"
"870",2005,30,"David Lee","New York Knicks"
"871",2005,31,"Salim Stoudamire","Atlanta Hawks"
"872",2005,32,"Daniel Ewing","Los Angeles Clippers"
"873",2005,33,"Brandon Bass","New Orleans/Oklahoma City Hornets"
"874",2005,34,"CJ Miles","Utah Jazz"
"875",2005,35,"Ricky Sanchez","Portland Trail Blazers"
"876",2005,36,"Ersan Ilyasova","Milwaukee Bucks"
"877",2005,37,"Ronny Turiaf","Los Angeles Lakers"
"878",2005,38,"Travis Diener","Orlando Magic"
"879",2005,39,"Von Wafer","Los Angeles Lakers"
"880",2005,40,"Monta Ellis","Golden State Warriors"
"881",2005,41,"Roko Ukic","Toronto Raptors"
"882",2005,42,"Chris Taft","Golden State Warriors"
"883",2005,43,"Mile Ilic","New Jersey Nets"
"884",2005,44,"Martynas Andriuskevicius","Orlando Magic"
"885",2005,45,"Lou Williams","Philadelphia 76ers"
"886",2005,46,"Erazem Lorbek","Indiana Pacers"
"887",2005,47,"Bracey Wright","Minnesota Timberwolves"
"888",2005,48,"Mickael Gelabale","Seattle SuperSonics"
"889",2005,49,"Andray Blatche","Washington Wizards"
"890",2005,50,"Ryan Gomes","Boston Celtics"
"891",2005,51,"Robert Whaley","Utah Jazz"
"892",2005,52,"Axel Hervelle","Denver Nuggets"
