,Team,rating,Unnamed: 0,Type,mu,sd,name
121,Oklahoma City Thunder,2.082185522,8793,Non-rookie,6.502986,5,Paul George
122,Oklahoma City Thunder,2.082185522,9206,Non-rookie,0.776217333,5,Raymond Felton
123,Oklahoma City Thunder,2.082185522,9754,Non-rookie,9.510202667,5,Russell Westbrook
124,Oklahoma City Thunder,2.082185522,10533,Non-rookie,7.490636667,5,Steven Adams
125,Oklahoma City Thunder,2.082185522,10637,Rookie,0.595,5,Terrance Ferguson
126,Memphis Grizzlies,1.934503325,531,Rookie,0.437537,5,Andrew Harrison
127,Memphis Grizzlies,1.934503325,963,Non-rookie,1.733333333,5,Ben McLemore
128,Memphis Grizzlies,1.934503325,1261,Non-rookie,1.985253333,5,Brandan Wright
129,Memphis Grizzlies,1.934503325,1766,Non-rookie,7.704001333,5,Chandler Parsons
130,Memphis Grizzlies,1.934503325,3226,Rookie,0.437537,5,Deyonta Davis
131,Memphis Grizzlies,1.934503325,3265,Rookie,0.271871667,5,Dillon Brooks
132,Memphis Grizzlies,1.934503325,4752,Rookie,0.316666667,5,Ivan Rabb
133,Memphis Grizzlies,1.934503325,5080,Rookie,2.844444333,5,JaMychal Green
134,Memphis Grizzlies,1.934503325,5128,Rookie,0.490460667,5,Jarell Martin
135,Memphis Grizzlies,1.934503325,7453,Non-rookie,7.54745,5,Marc Gasol
136,Memphis Grizzlies,1.934503325,7570,Non-rookie,0.702135667,5,Mario Chalmers
137,Memphis Grizzlies,1.934503325,8130,Non-rookie,9.510202667,5,Mike Conley
138,Memphis Grizzlies,1.934503325,11298,Non-rookie,1.096666667,5,Tyreke Evans
139,Memphis Grizzlies,1.934503325,11606,Rookie,0.437537,5,Wayne Selden
140,Miami Heat,1.904907009,925,Rookie,0.83012,5,Bam Adebayo
141,Miami Heat,1.904907009,3285,Non-rookie,3.666666667,5,Dion Waiters
142,Miami Heat,1.904907009,4316,Non-rookie,5.666816667,5,Goran Dragic
143,Miami Heat,1.904907009,4541,Non-rookie,7.925168667,5,Hassan Whiteside
144,Miami Heat,1.904907009,5011,Non-rookie,4.651333333,5,James Johnson
145,Miami Heat,1.904907009,6059,Rookie,0.490460667,5,Jordan Mickey
146,Miami Heat,1.904907009,6145,Rookie,0.490460667,5,Josh Richardson
147,Miami Heat,1.904907009,6243,Rookie,0.90168,5,Justise Winslow
148,Miami Heat,1.904907009,6370,Non-rookie,3.535723,5,Kelly Olynyk
149,Miami Heat,1.904907009,8598,Rookie,0.437537,5,Okaro White
150,Miami Heat,1.904907009,9527,Rookie,0.437537,5,Rodney McGruder
151,Miami Heat,1.904907009,11280,Rookie,1.96042,5,Tyler Johnson
152,Miami Heat,1.904907009,11376,Non-rookie,0.776217333,5,Udonis Haslem
153,Miami Heat,1.904907009,11603,Non-rookie,2.09,5,Wayne Ellington
154,Denver Nuggets,1.813798095,2724,Non-rookie,2.488304,5,Darrell Arthur
155,Denver Nuggets,1.813798095,3796,Rookie,1.12716,5,Emmanuel Mudiay
156,Denver Nuggets,1.813798095,4125,Rookie,0.850018333,5,Gary Harris
157,Denver Nuggets,1.813798095,4947,Rookie,1.11844,5,Jamal Murray
158,Denver Nuggets,1.813798095,4969,Non-rookie,1.578683333,5,Jameer Nelson
159,Denver Nuggets,1.813798095,6440,Non-rookie,4.307116,5,Kenneth Faried
160,Denver Nuggets,1.813798095,7398,Rookie,0.56688,5,Malik Beasley
161,Denver Nuggets,1.813798095,7781,Non-rookie,4.680365333,5,Mason Plumlee
162,Denver Nuggets,1.813798095,8545,Rookie,0.490460667,5,Nikola Jokic
163,Denver Nuggets,1.813798095,8811,Non-rookie,10.423077,5,Paul Millsap
164,Denver Nuggets,1.813798095,9338,Non-rookie,0.833333333,5,Richard Jefferson
165,Denver Nuggets,1.813798095,11211,Rookie,0.8138,5,Trey Lyles
166,Denver Nuggets,1.813798095,11281,Rookie,0.52648,5,Tyler Lydon
167,Denver Nuggets,1.813798095,11645,Non-rookie,1.177777667,5,Will Barton
168,Denver Nuggets,1.813798095,11717,Non-rookie,4.005618,5,Wilson Chandler
169,Charlotte Hornets,1.065368971,2239,Rookie,4.194756667,5,Cody Zeller
170,Charlotte Hornets,1.065368971,3527,Rookie,0.271871667,5,Dwayne Bacon
171,Charlotte Hornets,1.065368971,3554,Non-rookie,7.833333333,5,Dwight Howard
172,Charlotte Hornets,1.065368971,4059,Rookie,0.9492,5,Frank Kaminsky
173,Charlotte Hornets,1.065368971,5464,Non-rookie,2.333333333,5,Jeremy Lamb
174,Charlotte Hornets,1.065368971,6209,Non-rookie,0.508101667,5,Julyan Stone
175,Charlotte Hornets,1.065368971,6386,Rookie,4,5,Kemba Walker
176,Charlotte Hornets,1.065368971,7401,Rookie,0.96816,5,Malik Monk
177,Charlotte Hornets,1.065368971,7776,Non-rookie,4.389583333,5,Marvin Williams
178,Charlotte Hornets,1.065368971,7978,Non-rookie,0.9,5,Michael Carter-Williams
179,Charlotte Hornets,1.065368971,8033,Rookie,4.333333333,5,Michael Kidd-Gilchrist
