"","Name","Team","Season","Salary"
"4374","Danilo Gallinari","Denver Nuggets",2014,10854850
"4375","Danilo Gallinari","Denver Nuggets",2015,14000000
"4376","Danilo Gallinari","Denver Nuggets",2016,15050000
"4377","Danilo Gallinari","Los Angeles Clippers",2017,20559599
"4378","Langston Galloway","New York Knicks",2014,235762
"4379","Langston Galloway","New York Knicks",2015,845059
"4380","Langston Galloway","Sacramento Kings",2016,5200000
"4381","Langston Galloway","Detroit Pistons",2017,6666667
"4382","Kevin Gamble","Boston Celtics",1988,100000
"4383","Kevin Gamble","Boston Celtics",1990,375000
"4384","Kevin Gamble","Boston Celtics",1991,1400000
"4385","Kevin Gamble","Boston Celtics",1992,1200000
"4386","Kevin Gamble","Boston Celtics",1993,1100000
"4387","Kevin Gamble","Miami Heat",1994,650000
"4388","Kevin Gamble","Miami Heat",1995,845000
"4389","Kevin Gamble","Sacramento Kings",1996,1196000
"4390","Kevin Gamble","Sacramento Kings",1997,1420250
"4391","Kevin Gamble","Sacramento Kings",1998,1645000
"4392","Kevin Gamble","Sacramento Kings",1999,1868750
"4393","Jorge Garbajosa","Toronto Raptors",2006,3750000
"4394","Jorge Garbajosa","Toronto Raptors",2007,4000000
"4395","Jorge Garbajosa","Toronto Raptors",2008,4350000
"4396","Ruben Garces","Phoenix Suns",2000,316969
"4397","Alex Garcia","San Antonio Spurs",2003,366931
"4398","Alex Garcia","New Orleans Hornets",2004,620046
"4399","Francisco Garcia","Sacramento Kings",2005,1016400
"4400","Francisco Garcia","Sacramento Kings",2006,1092600
"4401","Francisco Garcia","Sacramento Kings",2007,1168800
"4402","Francisco Garcia","Sacramento Kings",2008,1983454
"4403","Francisco Garcia","Sacramento Kings",2009,5800000
"4404","Francisco Garcia","Sacramento Kings",2010,5500000
"4405","Francisco Garcia","Sacramento Kings",2011,5800000
"4406","Francisco Garcia","Houston Rockets",2012,6100000
"4407","Francisco Garcia","Houston Rockets",2013,1265977
"4408","Francisco Garcia","Houston Rockets",2014,1316809
"4409","Thomas Gardner","Chicago Bulls",2007,101451
"4410","Thomas Gardner","Atlanta Hawks",2008,711517
"4411","Patricio Garino","San Antonio Spurs",2016,100000
"4412","Patricio Garino","Orlando Magic",2016,31969
"4413","Winston Garland","Golden State Warriors",1987,75000
"4414","Winston Garland","Golden State Warriors",1988,100000
"4415","Winston Garland","Los Angeles Clippers",1990,450000
"4416","Winston Garland","Denver Nuggets",1991,450000
"4417","Winston Garland","Denver Nuggets",1992,625000
"4418","Winston Garland","Houston Rockets",1992,134000
"4419","Winston Garland","Minnesota Timberwolves",1994,143860
"4420","Bill Garnett","Indiana Pacers",1984,269000
"4421","Bill Garnett","Indiana Pacers",1985,294000
"4422","Chris Garner","Toronto Raptors",1997,242000
"4423","Kevin Garnett","Minnesota Timberwolves",1995,1622000
"4424","Kevin Garnett","Minnesota Timberwolves",1996,1666000
"4425","Kevin Garnett","Minnesota Timberwolves",1997,2109120
"4426","Kevin Garnett","Minnesota Timberwolves",1998,14000000
"4427","Kevin Garnett","Minnesota Timberwolves",1999,16806300
"4428","Kevin Garnett","Minnesota Timberwolves",2000,19610000
"4429","Kevin Garnett","Minnesota Timberwolves",2001,22400000
"4430","Kevin Garnett","Minnesota Timberwolves",2002,25200000
"4431","Kevin Garnett","Minnesota Timberwolves",2003,28000000
"4432","Kevin Garnett","Minnesota Timberwolves",2004,16000000
"4433","Kevin Garnett","Minnesota Timberwolves",2005,18000000
"4434","Kevin Garnett","Minnesota Timberwolves",2006,21000000
"4435","Kevin Garnett","Boston Celtics",2007,23750000
"4436","Kevin Garnett","Boston Celtics",2008,24751934
"4437","Kevin Garnett","Boston Celtics",2009,16400000
"4438","Kevin Garnett","Boston Celtics",2010,18800000
"4439","Kevin Garnett","Boston Celtics",2011,21247044
"4440","Kevin Garnett","Boston Celtics",2012,11566265
"4441","Kevin Garnett","Brooklyn Nets",2013,12443735
"4442","Kevin Garnett","Minnesota Timberwolves",2014,12000000
"4443","Kevin Garnett","Minnesota Timberwolves",2015,8500000
"4444","Kevin Garnett","Minnesota Timberwolves",2016,8000000
"4445","Marlon Garnett","Boston Celtics",1998,287500
"4446","Dean Garrett","Phoenix Suns",1988,100000
"4447","Dean Garrett","Minnesota Timberwolves",1996,247500
"4448","Dean Garrett","Denver Nuggets",1997,1800000
"4449","Dean Garrett","Minnesota Timberwolves",1998,2160000
"4450","Dean Garrett","Minnesota Timberwolves",1999,2520000
"4451","Dean Garrett","Minnesota Timberwolves",2000,2880000
"4452","Dean Garrett","Minnesota Timberwolves",2001,3240000
"4453","Diante Garrett","Phoenix Suns",2012,473604
"4454","Diante Garrett","Portland Trail Blazers",2014,915243
"4455","Kiwane Garris","Orlando Magic",1999,61147
"4456","Pat Garrity","Phoenix Suns",1998,740000
"4457","Pat Garrity","Orlando Magic",1999,952800
"4458","Pat Garrity","Orlando Magic",2000,1019280
"4459","Pat Garrity","Orlando Magic",2001,1569691
"4460","Pat Garrity","Orlando Magic",2002,2350000
"4461","Pat Garrity","Orlando Magic",2003,2643750
"4462","Pat Garrity","Orlando Magic",2004,2937500
"4463","Pat Garrity","Orlando Magic",2005,3231250
"4464","Pat Garrity","Orlando Magic",2006,3525000
"4465","Pat Garrity","Orlando Magic",2007,3818750
"4466","Tom Garrick","Los Angeles Clippers",1988,100000
"4467","Tom Garrick","Los Angeles Clippers",1990,340000
"4468","Tom Garrick","Minnesota Timberwolves",1991,200000
"4469","Marc Gasol","Memphis Grizzlies",2008,3093333
"4470","Marc Gasol","Memphis Grizzlies",2009,3240000
"4471","Marc Gasol","Memphis Grizzlies",2010,3480000
"4472","Marc Gasol","Memphis Grizzlies",2011,12922194
"4473","Marc Gasol","Memphis Grizzlies",2012,13891359
"4474","Marc Gasol","Memphis Grizzlies",2013,14860523
"4475","Marc Gasol","Memphis Grizzlies",2014,15829688
"4476","Marc Gasol","Memphis Grizzlies",2015,19700000
"4477","Marc Gasol","Memphis Grizzlies",2016,21165675
"4478","Marc Gasol","Memphis Grizzlies",2017,22642350
"4479","Pau Gasol","Memphis Grizzlies",2001,2970840
"4480","Pau Gasol","Memphis Grizzlies",2002,3193680
"4481","Pau Gasol","Memphis Grizzlies",2003,3417000
"4482","Pau Gasol","Memphis Grizzlies",2004,4318481
"4483","Pau Gasol","Memphis Grizzlies",2005,10993000
"4484","Pau Gasol","Memphis Grizzlies",2006,12364000
"4485","Pau Gasol","Los Angeles Lakers",2007,13735000
"4486","Pau Gasol","Los Angeles Lakers",2008,15106000
"4487","Pau Gasol","Los Angeles Lakers",2009,16452000
"4488","Pau Gasol","Los Angeles Lakers",2010,17823000
"4489","Pau Gasol","Los Angeles Lakers",2011,18714150
"4490","Pau Gasol","Los Angeles Lakers",2012,19000000
"4491","Pau Gasol","Los Angeles Lakers",2013,19285850
"4492","Pau Gasol","Chicago Bulls",2014,7128000
"4493","Pau Gasol","Chicago Bulls",2015,7448760
"4494","Pau Gasol","San Antonio Spurs",2016,15500000
"4495","Pau Gasol","San Antonio Spurs",2017,16000000
"4496","Chris Gatling","Golden State Warriors",1991,700000
"4497","Chris Gatling","Golden State Warriors",1992,910000
"4498","Chris Gatling","Golden State Warriors",1993,1120000
"4499","Chris Gatling","Golden State Warriors",1994,1330000
"4500","Chris Gatling","Golden State Warriors",1995,1540000
"4501","Chris Gatling","Dallas Mavericks",1996,3047000
"4502","Chris Gatling","New Jersey Nets",1997,3656400
"4503","Chris Gatling","Milwaukee Bucks",1998,4266000
"4504","Chris Gatling","Denver Nuggets",1999,4875200
"4505","Chris Gatling","Cleveland Cavaliers",2000,5550000
"4506","Chris Gatling","Miami Heat",2001,2504227
"4507","Kenny Gattison","Phoenix Suns",1987,110000
"4508","Kenny Gattison","Charlotte Hornets",1990,355000
"4509","Kenny Gattison","Charlotte Hornets",1991,456000
"4510","Kenny Gattison","Charlotte Hornets",1992,598000
"4511","Kenny Gattison","Charlotte Hornets",1993,1250000
"4512","Kenny Gattison","Charlotte Hornets",1994,1250000
"4513","Kenny Gattison","Vancouver Grizzlies",1995,1450000
"4514","Kenny Gattison","Utah Jazz",1996,1450000
"4515","Rudy Gay","Memphis Grizzlies",2006,2242290
"4516","Rudy Gay","Memphis Grizzlies",2007,2411160
"4517","Rudy Gay","Memphis Grizzlies",2008,2579400
"4518","Rudy Gay","Memphis Grizzlies",2009,3280997
"4519","Rudy Gay","Memphis Grizzlies",2010,13603750
"4520","Rudy Gay","Memphis Grizzlies",2011,15032144
"4521","Rudy Gay","Toronto Raptors",2012,16460538
"4522","Rudy Gay","Sacramento Kings",2013,17888931
"4523","Rudy Gay","Sacramento Kings",2014,19317325
"4524","Rudy Gay","Sacramento Kings",2015,12403101
"4525","Rudy Gay","Sacramento Kings",2016,13333333
"4526","Rudy Gay","San Antonio Spurs",2017,8406000
"4527","Andrew Gaze","San Antonio Spurs",1998,350000
"4528","Andrew Gaze","San Antonio Spurs",1999,460000
"4529","Michael Gbinije","Detroit Pistons",2016,650000
"4530","Michael Gbinije","Detroit Pistons",2017,500000
"4531","Reggie Geary","Cleveland Cavaliers",1996,220000
"4532","Reggie Geary","San Antonio Spurs",1997,272250
"4533","Alonzo Gee","Cleveland Cavaliers",2010,479735
"4534","Alonzo Gee","Washington Wizards",2010,125538
"4535","Alonzo Gee","San Antonio Spurs",2010,76219
"4536","Alonzo Gee","Cleveland Cavaliers",2011,854389
"4537","Alonzo Gee","Cleveland Cavaliers",2012,3500000
"4538","Alonzo Gee","Cleveland Cavaliers",2013,3250000
"4539","Alonzo Gee","Portland Trail Blazers",2014,1063384
"4540","Alonzo Gee","New Orleans Pelicans",2015,1375000
"4541","Alonzo Gee","New Orleans Pelicans",2016,1400000
"4542","Alonzo Gee","Denver Nuggets",2016,495227
"4543","Matt Geiger","Miami Heat",1992,140000
"4544","Matt Geiger","Miami Heat",1993,250000
"4545","Matt Geiger","Miami Heat",1994,1402000
"4546","Matt Geiger","Charlotte Hornets",1995,1532000
"4547","Matt Geiger","Charlotte Hornets",1996,1562000
"4548","Matt Geiger","Charlotte Hornets",1997,1402000
"4549","Matt Geiger","Philadelphia 76ers",1998,6800000
"4550","Matt Geiger","Philadelphia 76ers",1999,6889520
"4551","Matt Geiger","Philadelphia 76ers",2000,7515840
"4552","Matt Geiger","Philadelphia 76ers",2001,8142160
"4553","Matt Geiger","Philadelphia 76ers",2002,8768480
"4554","Mickael Gelabale","Seattle SuperSonics",2006,802000
"4555","Mickael Gelabale","Seattle SuperSonics",2007,802000
"4556","Mickael Gelabale","Minnesota Timberwolves",2012,447298
"4557","Devean George","Los Angeles Lakers",1999,790440
"4558","Devean George","Los Angeles Lakers",2000,849720
"4559","Devean George","Los Angeles Lakers",2001,834250
"4560","Devean George","Los Angeles Lakers",2002,4546000
"4561","Devean George","Los Angeles Lakers",2003,4546000
"4562","Devean George","Los Angeles Lakers",2004,4546000
"4563","Devean George","Los Angeles Lakers",2005,5000600
"4564","Devean George","Dallas Mavericks",2006,1974259
"4565","Devean George","Dallas Mavericks",2007,2369111
"4566","Devean George","Dallas Mavericks",2008,1600000
"4567","Devean George","Golden State Warriors",2009,1600000
"4568","Marcus Georges-Hunt","Miami Heat",2016,31969
"4569","Marcus Georges-Hunt","Orlando Magic",2016,31969
"4570","Marcus Georges-Hunt","Boston Celtics",2016,25000
"4571","Marcus Georges-Hunt","Minnesota Timberwolves",2017,1312611
"4572","Paul George","Indiana Pacers",2010,2238360
"4573","Paul George","Indiana Pacers",2011,2406240
"4574","Paul George","Indiana Pacers",2012,2574120
"4575","Paul George","Indiana Pacers",2013,3282003
"4576","Paul George","Indiana Pacers",2014,15925680
"4577","Paul George","Indiana Pacers",2015,17120106
"4578","Paul George","Indiana Pacers",2016,18314532
"4579","Paul George","Oklahoma City Thunder",2017,19508958
"4580","Tate George","New Jersey Nets",1990,410000
"4581","Tate George","New Jersey Nets",1991,481000
"4582","Tate George","New Jersey Nets",1992,551000
"4583","Tate George","New Jersey Nets",1993,626000
"4584","Tate George","Philadelphia 76ers",1994,5260
"4585","Derrick Gervin","New Jersey Nets",1990,155000
"4586","George Gervin","San Antonio Spurs",1984,831000
"4587","George Gervin","Chicago Bulls",1985,806000
"4588","Daniel Gibson","Cleveland Cavaliers",2006,412718
"4589","Daniel Gibson","Cleveland Cavaliers",2007,687456
"4590","Daniel Gibson","Cleveland Cavaliers",2008,3700000
"4591","Daniel Gibson","Cleveland Cavaliers",2009,4088500
"4592","Daniel Gibson","Cleveland Cavaliers",2010,4015334
"4593","Daniel Gibson","Cleveland Cavaliers",2011,4403834
"4594","Daniel Gibson","Cleveland Cavaliers",2012,4792332
"4595","Jonathan Gibson","Dallas Mavericks",2016,680937
"4596","Jonathan Gibson","Boston Celtics",2017,44495
"4597","Mike Gibson","Detroit Pistons",1985,80000
"4598","Taj Gibson","Chicago Bulls",2009,1039800
"4599","Taj Gibson","Chicago Bulls",2010,1117680
"4600","Taj Gibson","Chicago Bulls",2011,1195680
"4601","Taj Gibson","Chicago Bulls",2012,2155811
"4602","Taj Gibson","Chicago Bulls",2013,7550000
"4603","Taj Gibson","Chicago Bulls",2014,8000000
"4604","Taj Gibson","Chicago Bulls",2015,8500000
"4605","Taj Gibson","Oklahoma City Thunder",2016,8950000
"4606","Taj Gibson","Minnesota Timberwolves",2017,14000000
"4607","J.R. Giddens","Boston Celtics",2008,957120
"4608","J.R. Giddens","New York Knicks",2009,1028880
"4609","Trey Gilder","Memphis Grizzlies",2009,26917
"4610","Harry Giles","Sacramento Kings",2017,1859400
"4611","Ben Gillery","Sacramento Kings",1988,100000
"4612","Eddie Gill","Indiana Pacers",2004,720046
"4613","Eddie Gill","Indiana Pacers",2005,819551
"4614","Eddie Gill","New Jersey Nets",2007,151089
"4615","Eddie Gill","Milwaukee Bucks",2008,387613
"4616","Armen Gilliam","Phoenix Suns",1987,700000
"4617","Armen Gilliam","Phoenix Suns",1988,900000
"4618","Armen Gilliam","Charlotte Hornets",1989,1100000
"4619","Armen Gilliam","Philadelphia 76ers",1990,1200000
"4620","Armen Gilliam","Philadelphia 76ers",1991,1350000
"4621","Armen Gilliam","Philadelphia 76ers",1992,2300000
"4622","Armen Gilliam","New Jersey Nets",1993,1200000
"4623","Armen Gilliam","New Jersey Nets",1994,1560000
"4624","Armen Gilliam","New Jersey Nets",1995,1920000
"4625","Armen Gilliam","Milwaukee Bucks",1996,2317000
"4626","Armen Gilliam","Milwaukee Bucks",1997,2780400
"4627","Armen Gilliam","Milwaukee Bucks",1998,3244000
"4628","Armen Gilliam","Orlando Magic",1999,3707200
"4629","Armen Gilliam","Utah Jazz",1999,312000
"4630","Kendall Gill","Charlotte Hornets",1990,1500000
"4631","Kendall Gill","Charlotte Hornets",1991,1908000
"4632","Kendall Gill","Charlotte Hornets",1992,1908000
"4633","Kendall Gill","Seattle SuperSonics",1993,2000000
"4634","Kendall Gill","Seattle SuperSonics",1994,2600000
"4635","Kendall Gill","Charlotte Hornets",1995,3200000
"4636","Kendall Gill","New Jersey Nets",1996,3800000
"4637","Kendall Gill","New Jersey Nets",1997,4400000
"4638","Kendall Gill","New Jersey Nets",1998,5000000
"4639","Kendall Gill","New Jersey Nets",1999,5600000
"4640","Kendall Gill","New Jersey Nets",2000,7000000
"4641","Kendall Gill","Miami Heat",2001,1538000
"4642","Kendall Gill","Minnesota Timberwolves",2002,1030000
"4643","Kendall Gill","Chicago Bulls",2003,1070000
"4644","Kendall Gill","Milwaukee Bucks",2004,912195
"4645","Artis Gilmore","San Antonio Spurs",1984,600000
"4646","Artis Gilmore","San Antonio Spurs",1985,669000
"4647","Artis Gilmore","Boston Celtics",1987,863000
"4648","Manu Ginobili","San Antonio Spurs",2002,1325000
"4649","Manu Ginobili","San Antonio Spurs",2003,1457500
"4650","Manu Ginobili","San Antonio Spurs",2004,6603500
"4651","Manu Ginobili","San Antonio Spurs",2005,7428937
"4652","Manu Ginobili","San Antonio Spurs",2006,8254375
"4653","Manu Ginobili","San Antonio Spurs",2007,9079811
"4654","Manu Ginobili","San Antonio Spurs",2008,9905248
"4655","Manu Ginobili","San Antonio Spurs",2009,10728130
"4656","Manu Ginobili","San Antonio Spurs",2010,11854584
"4657","Manu Ginobili","San Antonio Spurs",2011,12981038
"4658","Manu Ginobili","San Antonio Spurs",2012,14107492
"4659","Manu Ginobili","San Antonio Spurs",2013,7500000
"4660","Manu Ginobili","San Antonio Spurs",2014,7000000
"4661","Manu Ginobili","San Antonio Spurs",2015,2814000
"4662","Manu Ginobili","San Antonio Spurs",2016,14000000
"4663","Manu Ginobili","San Antonio Spurs",2017,2500000
"4664","Gordan Giricek","Memphis Grizzlies",2002,1400000
"4665","Gordan Giricek","Orlando Magic",2003,1540000
"4666","Gordan Giricek","Utah Jazz",2004,4000000
"4667","Gordan Giricek","Utah Jazz",2005,4000000
"4668","Gordan Giricek","Utah Jazz",2006,4000000
"4669","Gordan Giricek","Philadelphia 76ers",2007,4000000
"4670","Mickell Gladness","Miami Heat",2011,248263
"4671","Gerald Glass","Minnesota Timberwolves",1990,575000
"4672","Gerald Glass","Minnesota Timberwolves",1991,705000
"4673","Gerald Glass","Detroit Pistons",1992,903000
"4674","Gerald Glass","New Jersey Nets",1995,475000
"4675","Georgi Glouchkov","Phoenix Suns",1985,175000
"4676","Dion Glover","Atlanta Hawks",1999,893400
"4677","Dion Glover","Atlanta Hawks",2000,960480
"4678","Dion Glover","Atlanta Hawks",2001,1027440
"4679","Dion Glover","Atlanta Hawks",2002,1584312
"4680","Dion Glover","Atlanta Hawks",2003,1000000
"4681","Dion Glover","Houston Rockets",2005,163085
"4682","Andreas Glyniadakis","Seattle SuperSonics",2006,161061
"4683","Mike Gminski","New Jersey Nets",1984,350000
"4684","Mike Gminski","New Jersey Nets",1985,700000
"4685","Mike Gminski","Philadelphia 76ers",1987,675000
"4686","Mike Gminski","Philadelphia 76ers",1988,675000
"4687","Mike Gminski","Philadelphia 76ers",1989,1700000
"4688","Mike Gminski","Charlotte Hornets",1990,1650000
"4689","Mike Gminski","Charlotte Hornets",1991,1850000
"4690","Mike Gminski","Charlotte Hornets",1992,1415000
"4691","Mike Gminski","Charlotte Hornets",1993,1850000
"4692","Mike Gminski","Milwaukee Bucks",1994,1000000
"4693","Rudy Gobert","Utah Jazz",2013,1078800
"4694","Rudy Gobert","Utah Jazz",2014,1127400
"4695","Rudy Gobert","Utah Jazz",2015,1175880
"4696","Rudy Gobert","Utah Jazz",2016,2121288
"4697","Rudy Gobert","Utah Jazz",2017,21974719
"4698","Dan Godfread","Minnesota Timberwolves",1991,100000
"4699","Anthony Goldwire","Charlotte Hornets",1996,250000
"4700","Anthony Goldwire","Denver Nuggets",1997,330000
"4701","Anthony Goldwire","San Antonio Spurs",2002,139925
"4702","Anthony Goldwire","Milwaukee Bucks",2004,116713
"4703","Anthony Goldwire","Los Angeles Clippers",2005,74652
"4704","Ryan Gomes","Boston Celtics",2005,428762
"4705","Ryan Gomes","Boston Celtics",2006,664209
"4706","Ryan Gomes","Minnesota Timberwolves",2007,770610
"4707","Ryan Gomes","Minnesota Timberwolves",2008,3650000
"4708","Ryan Gomes","Minnesota Timberwolves",2009,3867500
"4709","Ryan Gomes","Los Angeles Clippers",2010,4000000
"4710","Ryan Gomes","Los Angeles Clippers",2011,4000000
"4711","Ryan Gomes","Los Angeles Clippers",2012,4000000
"4712","Ryan Gomes","Oklahoma City Thunder",2013,1186459
"4713","Grant Gondrezick","Los Angeles Clippers",1988,125000
"4714","Drew Gooden","Memphis Grizzlies",2002,2794920
"4715","Drew Gooden","Orlando Magic",2003,3004560
"4716","Drew Gooden","Cleveland Cavaliers",2004,3214080
"4717","Drew Gooden","Cleveland Cavaliers",2005,4065811
"4718","Drew Gooden","Cleveland Cavaliers",2006,6645402
"4719","Drew Gooden","Chicago Bulls",2007,6453416
"4720","Drew Gooden","Sacramento Kings",2008,7151183
"4721","Drew Gooden","Los Angeles Clippers",2009,4500000
"4722","Drew Gooden","Milwaukee Bucks",2010,5760000
"4723","Drew Gooden","Milwaukee Bucks",2011,6226200
"4724","Drew Gooden","Milwaukee Bucks",2012,6687400
"4725","Drew Gooden","Milwaukee Bucks",2014,6680000
"4726","Drew Gooden","Washington Wizards",2014,1448000
"4727","Drew Gooden","Washington Wizards",2015,3300000
"4728","Steve Goodrich","Philadelphia 76ers",1999,4529
"4729","Steve Goodrich","New Jersey Nets",2001,465850
"4730","Archie Goodwin","Phoenix Suns",2013,1064400
"4731","Archie Goodwin","Phoenix Suns",2014,1112280
"4732","Archie Goodwin","Phoenix Suns",2015,1160160
"4733","Archie Goodwin","Phoenix Suns",2016,2094089
"4734","Archie Goodwin","Brooklyn Nets",2016,194494
"4735","Archie Goodwin","New Orleans Pelicans",2016,95600
"4736","Aaron Gordon","Orlando Magic",2014,3992040
"4737","Aaron Gordon","Orlando Magic",2015,4171680
"4738","Aaron Gordon","Orlando Magic",2016,4351320
"4739","Aaron Gordon","Orlando Magic",2017,5504420
"4740","Ben Gordon","Chicago Bulls",2004,3358320
"4741","Ben Gordon","Chicago Bulls",2005,3610200
"4742","Ben Gordon","Chicago Bulls",2006,3862080
"4743","Ben Gordon","Chicago Bulls",2007,4881669
"4744","Ben Gordon","Chicago Bulls",2008,6404750
"4745","Ben Gordon","Detroit Pistons",2009,10000000
"4746","Ben Gordon","Detroit Pistons",2010,10800000
"4747","Ben Gordon","Detroit Pistons",2011,11600000
"4748","Ben Gordon","Charlotte Bobcats",2012,12400000
"4749","Ben Gordon","Charlotte Bobcats",2013,13200000
"4750","Ben Gordon","Orlando Magic",2014,4500000
"4751","Drew Gordon","Philadelphia 76ers",2014,40000
"4752","Eric Gordon","Los Angeles Clippers",2008,2623200
"4753","Eric Gordon","Los Angeles Clippers",2009,2819880
"4754","Eric Gordon","Los Angeles Clippers",2010,3016680
"4755","Eric Gordon","New Orleans Hornets",2011,3831184
"4756","Eric Gordon","New Orleans Hornets",2012,13668750
"4757","Eric Gordon","New Orleans Pelicans",2013,14283844
"4758","Eric Gordon","New Orleans Pelicans",2014,14898938
"4759","Eric Gordon","New Orleans Pelicans",2015,15514031
"4760","Eric Gordon","Houston Rockets",2016,12385364
"4761","Eric Gordon","Houston Rockets",2017,12943020
"4762","Lancaster Gordon","Los Angeles Clippers",1985,200000
"4763","Marcin Gortat","Orlando Magic",2007,427163
"4764","Marcin Gortat","Orlando Magic",2008,711517
"4765","Marcin Gortat","Orlando Magic",2009,5854000
"4766","Marcin Gortat","Phoenix Suns",2010,6322320
"4767","Marcin Gortat","Phoenix Suns",2011,6790640
"4768","Marcin Gortat","Phoenix Suns",2012,7258960
"4769","Marcin Gortat","Washington Wizards",2013,7727280
"4770","Marcin Gortat","Washington Wizards",2014,10434782
"4771","Marcin Gortat","Washington Wizards",2015,11217391
"4772","Marcin Gortat","Washington Wizards",2016,12000000
"4773","Marcin Gortat","Washington Wizards",2017,12782609
"4774","Andrew Goudelock","Los Angeles Lakers",2011,473604
"4775","Andrew Goudelock","Houston Rockets",2015,200600
"4776","Greg Graham","Philadelphia 76ers",1993,700000
"4777","Greg Graham","Philadelphia 76ers",1994,910000
"4778","Greg Graham","New Jersey Nets",1995,1120000
"4779","Greg Graham","Seattle SuperSonics",1996,1330000
"4780","Greg Graham","Cleveland Cavaliers",1997,1540000
"4781","Joey Graham","Toronto Raptors",2005,1388400
"4782","Joey Graham","Toronto Raptors",2006,1492440
"4783","Joey Graham","Toronto Raptors",2007,1596600
"4784","Joey Graham","Toronto Raptors",2008,2449184
"4785","Joey Graham","Denver Nuggets",2009,884881
"4786","Joey Graham","Cleveland Cavaliers",2010,992680
"4787","Paul Graham","Atlanta Hawks",1991,125000
"4788","Paul Graham","Atlanta Hawks",1992,500000
"4789","Paul Graham","Atlanta Hawks",1993,600000
"4790","Stephen Graham","Houston Rockets",2005,48630
"4791","Stephen Graham","Portland Trail Blazers",2006,259204
"4792","Stephen Graham","Indiana Pacers",2007,770610
"4793","Stephen Graham","Indiana Pacers",2008,826269
"4794","Stephen Graham","Charlotte Bobcats",2009,884881
"4795","Stephen Graham","New Jersey Nets",2010,992680
"4796","Treveon Graham","Utah Jazz",2015,75000
"4797","Treveon Graham","Charlotte Hornets",2016,543471
"4798","Treveon Graham","Charlotte Hornets",2017,1312611
"4799","Jim Grandholm","Dallas Mavericks",1990,115000
"4800","Ron Grandison","Boston Celtics",1988,100000
"4801","Ron Grandison","Orlando Magic",1992,15000
"4802","Ron Grandison","New York Knicks",1994,150000
"4803","Ron Grandison","Miami Heat",1995,225000
"4804","Ron Grandison","New York Knicks",1997,272250
"4805","Danny Granger","Indiana Pacers",2005,1318920
"4806","Danny Granger","Indiana Pacers",2006,1417800
"4807","Danny Granger","Indiana Pacers",2007,1516800
"4808","Danny Granger","Indiana Pacers",2008,2329805
"4809","Danny Granger","Indiana Pacers",2009,9930500
"4810","Danny Granger","Indiana Pacers",2010,10973202
"4811","Danny Granger","Indiana Pacers",2011,12015904
"4812","Danny Granger","Indiana Pacers",2012,13058606
"4813","Danny Granger","Philadelphia 76ers",2013,14021788
"4814","Danny Granger","Phoenix Suns",2014,2077000
"4815","Danny Granger","Detroit Pistons",2015,2170465
"4816","Brian Grant","Sacramento Kings",1994,808000
"4817","Brian Grant","Sacramento Kings",1995,1050000
"4818","Brian Grant","Sacramento Kings",1996,1293000
"4819","Brian Grant","Portland Trail Blazers",1997,5000000
"4820","Brian Grant","Portland Trail Blazers",1998,6000000
"4821","Brian Grant","Portland Trail Blazers",1999,7680862
"4822","Brian Grant","Miami Heat",2000,8900000
"4823","Brian Grant","Miami Heat",2001,9925076
"4824","Brian Grant","Miami Heat",2002,11027862
"4825","Brian Grant","Miami Heat",2003,12130648
"4826","Brian Grant","Los Angeles Lakers",2004,13233434
"4827","Brian Grant","Los Angeles Lakers",2005,14336220
"4828","Brian Grant","Phoenix Suns",2005,1670000
"4829","Brian Grant","Los Angeles Lakers",2006,14848080
"4830","Brian Grant","Boston Celtics",2006,1938870
"4831","Gary Grant","Los Angeles Clippers",1988,250000
"4832","Gary Grant","Los Angeles Clippers",1990,530000
"4833","Gary Grant","Los Angeles Clippers",1991,928000
"4834","Gary Grant","Los Angeles Clippers",1992,1128000
"4835","Gary Grant","Los Angeles Clippers",1993,1128000
"4836","Gary Grant","Los Angeles Clippers",1994,1100000
"4837","Gary Grant","New York Knicks",1995,500000
"4838","Gary Grant","Miami Heat",1996,500000
"4839","Gary Grant","Sacramento Kings",1997,600000
"4840","Gary Grant","Portland Trail Blazers",1998,1000000
"4841","Gary Grant","Portland Trail Blazers",1999,1200000
"4842","Gary Grant","Portland Trail Blazers",2000,1000000
"4843","Gary Grant","Cleveland Cavaliers",2000,316969
"4844","Greg Grant","New York Knicks",1990,300000
"4845","Greg Grant","Philadelphia 76ers",1992,270000
"4846","Greg Grant","Orlando Magic",1994,150000
"4847","Harvey Grant","Washington Bullets",1988,425000
"4848","Harvey Grant","Washington Bullets",1990,475000
"4849","Harvey Grant","Washington Bullets",1991,450000
"4850","Harvey Grant","Washington Bullets",1992,1625000
"4851","Harvey Grant","Portland Trail Blazers",1993,2429000
"4852","Harvey Grant","Portland Trail Blazers",1994,2990000
"4853","Harvey Grant","Portland Trail Blazers",1995,3551000
"4854","Harvey Grant","Washington Bullets",1996,4111000
"4855","Harvey Grant","Washington Wizards",1997,4671875
"4856","Harvey Grant","Philadelphia 76ers",1998,1000000
"4857","Harvey Grant","Orlando Magic",1999,1200000
"4858","Horace Grant","Chicago Bulls",1987,500000
"4859","Horace Grant","Chicago Bulls",1988,380000
"4860","Horace Grant","Chicago Bulls",1990,1000000
"4861","Horace Grant","Chicago Bulls",1991,1750000
"4862","Horace Grant","Chicago Bulls",1992,1900000
