"","Name","Team","Season","Salary"
"100","Arron Afflalo","Orlando Magic",2017,1471382
"101","Maurice Ager","Dallas Mavericks",2006,906480
"102","Maurice Ager","New Jersey Nets",2007,974400
"103","Maurice Ager","New Jersey Nets",2008,1042440
"104","Maurice Ager","Minnesota Timberwolves",2010,83305
"105","Mark Aguirre","Dallas Mavericks",1984,800000
"106","Mark Aguirre","Dallas Mavericks",1985,626240
"107","Mark Aguirre","Dallas Mavericks",1987,715700
"108","Mark Aguirre","Dallas Mavericks",1988,715700
"109","Mark Aguirre","Detroit Pistons",1990,1115000
"110","Mark Aguirre","Detroit Pistons",1991,1232000
"111","Mark Aguirre","Detroit Pistons",1992,1351000
"112","Mark Aguirre","Detroit Pistons",1993,1471000
"113","Mark Aguirre","Los Angeles Clippers",1993,150000
"114","Blake Ahearn","San Antonio Spurs",2008,125562
"115","Danny Ainge","Boston Celtics",1984,400000
"116","Danny Ainge","Boston Celtics",1985,550000
"117","Danny Ainge","Boston Celtics",1987,625000
"118","Danny Ainge","Boston Celtics",1988,675000
"119","Danny Ainge","Portland Trail Blazers",1990,725000
"120","Danny Ainge","Portland Trail Blazers",1991,725000
"121","Danny Ainge","Phoenix Suns",1992,1330000
"122","Danny Ainge","Phoenix Suns",1993,1690000
"123","Danny Ainge","Phoenix Suns",1994,2080000
"124","Alexis Ajinca","Charlotte Bobcats",2008,1276320
"125","Alexis Ajinca","Charlotte Bobcats",2009,1372080
"126","Alexis Ajinca","Toronto Raptors",2010,1467840
"127","Alexis Ajinca","New Orleans Pelicans",2014,981084
"128","Alexis Ajinca","New Orleans Pelicans",2015,4300000
"129","Alexis Ajinca","New Orleans Pelicans",2016,4600000
"130","Alexis Ajinca","New Orleans Pelicans",2017,4961798
"131","Josh Akognon","Memphis Grizzlies",2013,788872
"132","Solomon Alabi","Toronto Raptors",2010,770000
"133","Solomon Alabi","Toronto Raptors",2011,830000
"134","Mark Alarie","Washington Bullets",1987,232500
"135","Mark Alarie","Washington Bullets",1988,250000
"136","Mark Alarie","Washington Bullets",1990,500000
"137","Mark Alarie","Washington Bullets",1991,550000
"138","Furkan Aldemir","Philadelphia 76ers",2014,3000000
"139","Furkan Aldemir","Philadelphia 76ers",2015,3000000
"140","Cole Aldrich","Oklahoma City Thunder",2010,2126520
"141","Cole Aldrich","Oklahoma City Thunder",2011,2286000
"142","Cole Aldrich","Sacramento Kings",2012,2445480
"143","Cole Aldrich","New York Knicks",2014,981084
"144","Cole Aldrich","Los Angeles Clippers",2015,1100600
"145","Cole Aldrich","Minnesota Timberwolves",2016,7643979
"146","Cole Aldrich","Minnesota Timberwolves",2017,7300000
"147","LaMarcus Aldridge","Portland Trail Blazers",2006,4027320
"148","LaMarcus Aldridge","Portland Trail Blazers",2007,4329360
"149","LaMarcus Aldridge","Portland Trail Blazers",2008,4631400
"150","LaMarcus Aldridge","Portland Trail Blazers",2009,5844827
"151","LaMarcus Aldridge","Portland Trail Blazers",2010,11244000
"152","LaMarcus Aldridge","Portland Trail Blazers",2011,12372000
"153","LaMarcus Aldridge","Portland Trail Blazers",2012,13500000
"154","LaMarcus Aldridge","Portland Trail Blazers",2013,14128000
"155","LaMarcus Aldridge","Portland Trail Blazers",2014,16006000
"156","LaMarcus Aldridge","San Antonio Spurs",2015,19500000
"157","LaMarcus Aldridge","San Antonio Spurs",2016,20575005
"158","LaMarcus Aldridge","San Antonio Spurs",2017,21461010
"159","Cliff Alexander","Portland Trail Blazers",2015,525093
"160","Cliff Alexander","Brooklyn Nets",2016,51449
