,mu,sd,name
252,10.423077,5,Paul Millsap
253,5.151042,5,Tony Parker
254,0.03333333333333333,5,Quinn Cook
255,2.6666666666666665,5,Vince Carter
256,0.0,5,Kevin Huerter
257,0.0,5,Derrick Jones Jr.
258,0.0,5,Shaquille Harrison
259,0.0,5,Marcus Derrickson
260,0.46484,5,Josh Hart
261,7.833333333333333,5,Dwight Howard
262,0.0,5,Dzanan Musa
263,4.260869666666666,5,Marcin Gortat
264,3.5,5,Bojan Bogdanovic
265,0.0,5,Brad Wanamaker
266,0.49046066666666666,5,Salah Mejri
267,0.50152,5,Malachi Richardson
268,0.31666666666666665,5,Ike Anigbogu
269,0.0,5,CJ McCollum
270,0.0,5,Tyler Davis
271,0.64564,5,John Collins
272,0.0,5,Jaron Blossomgame
273,0.0,5,Jalen Jones
274,0.2718716666666667,5,Jawun Evans
275,3.3333333333333335,5,Jared Dudley
276,1.7306666666666666,5,Nick Young
277,0.0,5,Josh Okogie
278,1.7333333333333334,5,Ben McLemore
279,1.96042,5,Tyler Johnson
280,4.0,5,Derrick Favors
281,0.0,5,Naz Mitrou-Long
282,0.0,5,Kelly Oubre Jr.
283,0.0,5,J.P. Macura
284,4.333333333333333,5,Tyson Chandler
285,0.56688,5,Malik Beasley
286,0.437537,5,Patrick McCaw
287,0.50544,5,Bobby Portis
288,0.569846,5,Quincy Acy
289,0.0,5,Brandon Goodwin
290,1.1777776666666666,5,Will Barton
291,9.837633333333333,5,Blake Griffin
292,1.1592,5,Zaza Pachulia
293,6.687243,5,Serge Ibaka
294,2.2607973333333335,5,Jabari Parker
295,1.27388,5,Lauri Markkanen
296,0.0,5,Theo Pinson
297,0.0,5,Gary Payton II
298,5.73,5,Luol Deng
299,5.183333333333334,5,Dwyane Wade
300,2.0,5,Alan Williams
301,0.982435,5,Jusuf Nurkic
302,2.1,5,Jonathon Simmons
303,0.437537,5,Cheick Diallo
304,0.52648,5,Tyler Lydon
305,0.0,5,Tahjere McCall
306,0.4622,5,Timothe Luwawu-Cabarrot
307,7.704001333333333,5,Chandler Parsons
308,0.0,5,CJ Miles
309,0.0,5,Troy Brown Jr.
310,0.0,5,Moritz Wagner
311,0.9492,5,Frank Kaminsky
312,0.47858333333333336,5,Willy Hernangomez
313,2.3333333333333335,5,Lou Williams
314,0.0,5,BJ Johnson
315,0.0,5,Anfernee Simons
316,0.0,5,Jonah Bolden
317,11.56085,5,Stephen Curry
318,2.6666666666666665,5,Garrett Temple
319,1.0983313333333333,5,Doug McDermott
320,0.0,5,Torrey Craig
321,9.244801666666667,5,Al Horford
322,5.666666666666667,5,Evan Fournier
323,0.0,5,Malcolm Miller
324,0.0,5,Ray Spalding
325,3.3876406666666665,5,Maurice Harkless
326,4.389583333333333,5,Marvin Williams
327,1.3166663333333333,5,Nemanja Bjelica
328,0.437537,5,David Nwaba
329,0.0,5,Luke Kornet
330,0.0,5,Yuta Watanabe
331,0.85664,5,Myles Turner
332,0.0,5,Scott Machado
333,0.0,5,Jevon Carter
334,1.0326,5,Stanley Johnson
335,9.510202666666666,5,Mike Conley
336,0.5257433333333333,5,Ian Clark
337,1.75,5,Thabo Sefolosha
338,0.0,5,D'Angelo Russell
339,0.0,5,Glenn Robinson III
340,0.5081016666666667,5,Jerami Grant
341,0.0,5,Jerome Robinson
342,0.0,5,JJ Redick
343,0.0,5,Jemerrio Jones
344,0.0,5,Melvin Frazier Jr.
345,0.2718716666666667,5,Maxi Kleber
346,0.2718716666666667,5,Davon Reed
347,6.666666666666667,5,George Hill
348,0.0,5,Dennis Smith Jr.
349,0.0,5,Brandon Sampson
350,0.0,5,Mitchell Creek
351,4.70412,5,Gorgui Dieng
352,2.524774,5,Andrew Wiggins
353,0.0,5,Isaiah Hicks
354,0.0,5,Donatas Motiejunas
355,5.333333333333333,5,Reggie Jackson
356,1.4426666666666668,5,Ron Baker
357,8.74792,5,Carmelo Anthony
358,8.199831666666666,5,Chris Paul
359,2.4736373333333335,5,Trevor Ariza
360,5.553880333333334,5,Ian Mahinmi
361,0.437537,5,Malcolm Brogdon
362,0.0,5,Antonio Blakeney
363,1.3933333333333333,5,Lance Stephenson
364,0.0,5,Hamidou Diallo
365,0.437537,5,Dorian Finney-Smith
366,0.49046066666666666,5,Josh Richardson
367,1.96042,5,Wesley Johnson
368,0.0,5,MarShon Brooks
369,0.7666666666666667,5,Dante Cunningham
370,0.2718716666666667,5,Zhou Qi
371,0.0,5,Jaren Jackson Jr.
372,0.48864,5,Caleb Swanigan
373,0.7762173333333333,5,Raymond Felton
374,3.6475873333333335,5,Jamal Crawford
