,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[415],-0.928,2.279,-5.342,3.09,0.032,0.052,5209.0,1320.0,1.0
x[416],0.722,2.156,-3.396,4.69,0.031,0.052,4704.0,1430.0,1.0
x[417],2.862,2.135,-1.435,6.57,0.032,0.032,4494.0,1292.0,1.0
x[418],4.861,2.167,0.865,8.972,0.033,0.026,4336.0,1823.0,1.0
x[419],-0.348,2.638,-5.233,4.646,0.038,0.061,4931.0,1619.0,1.0
x[420],-1.371,2.214,-5.845,2.536,0.031,0.052,5098.0,932.0,1.0
x[421],-0.472,3.005,-6.271,4.972,0.037,0.079,6602.0,1269.0,1.0
x[422],-0.876,3.842,-8.143,6.302,0.061,0.099,4027.0,1332.0,1.0
x[423],-0.386,2.262,-4.565,3.822,0.03,0.056,5642.0,1562.0,1.0
x[424],0.026,2.921,-5.66,5.001,0.036,0.078,6602.0,1409.0,1.0
x[425],1.725,2.324,-2.519,6.234,0.033,0.044,4989.0,1554.0,1.0
x[426],0.375,2.329,-4.187,4.666,0.033,0.062,5094.0,1241.0,1.0
x[427],-0.752,2.167,-4.863,3.273,0.031,0.055,4819.0,1335.0,1.0
x[428],0.593,2.141,-3.471,4.579,0.031,0.048,4711.0,1529.0,1.0
x[429],-0.34,3.066,-6.232,5.282,0.047,0.097,4235.0,1052.0,1.0
x[430],3.317,2.224,-0.798,7.581,0.033,0.031,4425.0,1590.0,1.0
x[431],0.222,2.175,-4.144,4.004,0.034,0.052,4010.0,1361.0,1.0
x[432],-0.13,4.087,-7.726,7.124,0.052,0.118,6129.0,1178.0,1.0
x[433],3.884,2.157,-0.115,7.814,0.033,0.028,4179.0,1614.0,1.01
x[434],0.075,2.325,-4.283,4.372,0.036,0.059,4217.0,1545.0,1.0
x[435],5.963,2.152,2.036,10.109,0.035,0.028,3920.0,1318.0,1.0
x[436],0.767,3.427,-5.56,7.092,0.049,0.087,4880.0,1267.0,1.0
x[437],0.851,2.578,-3.845,6.061,0.036,0.064,5150.0,1389.0,1.0
x[438],-0.643,2.884,-6.173,4.456,0.047,0.072,3756.0,1328.0,1.0
x[439],2.405,2.217,-1.9,6.508,0.034,0.034,4313.0,1571.0,1.0
x[440],-1.129,3.939,-8.477,6.25,0.055,0.111,5112.0,1290.0,1.0
x[441],-0.708,3.689,-7.295,6.756,0.049,0.09,5729.0,1337.0,1.0
x[442],0.002,2.904,-5.749,5.115,0.046,0.071,3921.0,1280.0,1.0
x[443],0.305,3.266,-5.898,6.9,0.049,0.086,4502.0,1195.0,1.0
x[444],1.27,3.691,-5.862,8.045,0.045,0.087,6602.0,1351.0,1.0
x[445],-0.251,2.757,-5.479,4.975,0.043,0.07,4107.0,1293.0,1.0
x[446],1.297,2.198,-2.79,5.297,0.032,0.041,4770.0,1531.0,1.0
x[447],2.122,2.433,-2.378,6.827,0.036,0.041,4708.0,1537.0,1.0
x[448],2.714,2.187,-1.349,6.87,0.034,0.034,4187.0,1539.0,1.0
x[449],-0.618,3.071,-6.282,5.227,0.044,0.074,4850.0,1373.0,1.0
x[450],-1.911,3.54,-8.057,5.167,0.05,0.072,4965.0,1444.0,1.0
x[451],-1.138,2.68,-6.168,3.737,0.035,0.061,5947.0,1440.0,1.01
x[452],-0.509,2.334,-4.713,4.174,0.033,0.062,5059.0,1379.0,1.0
x[453],3.448,3.143,-2.685,9.311,0.041,0.049,5777.0,1401.0,1.0
x[454],-0.048,2.86,-5.675,5.294,0.04,0.075,5141.0,1377.0,1.0
x[455],0.04,2.577,-4.835,4.734,0.036,0.064,5101.0,1397.0,1.0
x[456],-0.252,3.112,-6.449,5.235,0.039,0.091,6299.0,1136.0,1.0
x[457],1.086,2.111,-3.094,4.921,0.032,0.046,4429.0,1336.0,1.01
x[458],-0.76,2.327,-4.894,3.591,0.032,0.056,5206.0,1440.0,1.0
x[459],-3.488,2.578,-8.262,1.04,0.035,0.036,5450.0,1565.0,1.0
x[460],1.204,2.257,-2.994,5.3,0.036,0.049,3938.0,1499.0,1.0
x[461],0.784,2.485,-3.865,5.476,0.037,0.058,4473.0,1591.0,1.0
x[462],-0.17,3.514,-6.46,6.999,0.045,0.092,6065.0,1404.0,1.01
x[463],2.158,2.3,-1.892,6.465,0.032,0.043,5173.0,1415.0,1.0
x[464],-0.941,2.913,-6.476,4.597,0.041,0.075,4986.0,914.0,1.0
x[465],0.574,2.935,-4.548,6.044,0.043,0.071,4562.0,1433.0,1.0
x[466],0.951,3.982,-6.192,8.763,0.056,0.096,5073.0,1333.0,1.0
x[467],0.128,3.955,-6.77,8.033,0.059,0.101,4529.0,1541.0,1.0
x[468],0.125,2.986,-4.959,5.89,0.042,0.084,5017.0,1405.0,1.0
x[469],1.454,2.691,-3.355,6.794,0.036,0.062,5653.0,1306.0,1.0
x[470],-1.135,2.133,-5.091,2.925,0.029,0.043,5412.0,1382.0,1.0
