,rating,Team,mu,sd,name,Contract Value,Year,Type
181,6.065728513,Washington Wizards,5.553880333,5,Ian Mahinmi,"$16,661,641.00 ",2017,Non-rookie
182,6.065728513,Washington Wizards,1.741666667,5,Jason Smith,"$5,225,000.00 ",2017,Non-rookie
183,6.065728513,Washington Wizards,1.096666667,5,Jodie Meeks,"$3,290,000.00 ",2017,Non-rookie
184,6.065728513,Washington Wizards,6.021283333,5,John Wall,"$18,063,850.00 ",2017,Non-rookie
185,6.065728513,Washington Wizards,4.260869667,5,Marcin Gortat,"$12,782,609.00 ",2017,Non-rookie
186,6.065728513,Washington Wizards,2.666666667,5,Markieff Morris,"$8,000,000.00 ",2017,Non-rookie
187,6.065728513,Washington Wizards,0.569846,5,Mike Scott,"$1,709,538.00 ",2017,Non-rookie
190,5.484227899,Los Angeles Clippers,3.941666667,5,Austin Rivers,"$11,825,000.00 ",2017,Non-rookie
191,5.484227899,Los Angeles Clippers,9.837633333,5,Blake Griffin,"$29,512,900.00 ",2017,Non-rookie
193,5.484227899,Los Angeles Clippers,6.853199667,5,Danilo Gallinari,"$20,559,599.00 ",2017,Non-rookie
194,5.484227899,Los Angeles Clippers,7.54745,5,DeAndre Jordan,"$22,642,350.00 ",2017,Non-rookie
196,5.484227899,Los Angeles Clippers,2.333333333,5,Lou Williams,"$7,000,000.00 ",2017,Non-rookie
197,5.484227899,Los Angeles Clippers,2,5,Milos Teodosic,"$6,000,000.00 ",2017,Non-rookie
199,5.484227899,Los Angeles Clippers,1.837838,5,Patrick Beverley,"$5,513,514.00 ",2017,Non-rookie
202,5.484227899,Los Angeles Clippers,1.96042,5,Wesley Johnson,"$5,881,260.00 ",2017,Non-rookie
204,5.37038963,Charlotte Hornets,4.194756667,5,Cody Zeller,"$12,584,270.00 ",2017,Non-rookie
206,5.37038963,Charlotte Hornets,7.833333333,5,Dwight Howard,"$23,500,000.00 ",2017,Non-rookie
208,5.37038963,Charlotte Hornets,2.333333333,5,Jeremy Lamb,"$7,000,000.00 ",2017,Non-rookie
209,5.37038963,Charlotte Hornets,0.508101667,5,Julyan Stone,"$1,524,305.00 ",2017,Non-rookie
210,5.37038963,Charlotte Hornets,4,5,Kemba Walker,"$12,000,000.00 ",2017,Non-rookie
212,5.37038963,Charlotte Hornets,4.389583333,5,Marvin Williams,"$13,168,750.00 ",2017,Non-rookie
213,5.37038963,Charlotte Hornets,0.9,5,Michael Carter-Williams,"$2,700,000.00 ",2017,Non-rookie
214,5.37038963,Charlotte Hornets,4.333333333,5,Michael Kidd-Gilchrist,"$13,000,000.00 ",2017,Non-rookie
215,5.37038963,Charlotte Hornets,7.478261,5,Nicolas Batum,"$22,434,783.00 ",2017,Non-rookie
218,5.129756323,Miami Heat,3.666666667,5,Dion Waiters,"$11,000,000.00 ",2017,Non-rookie
219,5.129756323,Miami Heat,5.666816667,5,Goran Dragic,"$17,000,450.00 ",2017,Non-rookie
220,5.129756323,Miami Heat,7.925168667,5,Hassan Whiteside,"$23,775,506.00 ",2017,Non-rookie
221,5.129756323,Miami Heat,4.651333333,5,James Johnson,"$13,954,000.00 ",2017,Non-rookie
225,5.129756323,Miami Heat,3.535723,5,Kelly Olynyk,"$10,607,169.00 ",2017,Non-rookie
228,5.129756323,Miami Heat,1.96042,5,Tyler Johnson,"$5,881,260.00 ",2017,Non-rookie
229,5.129756323,Miami Heat,0.776217333,5,Udonis Haslem,"$2,328,652.00 ",2017,Non-rookie
230,5.129756323,Miami Heat,2.09,5,Wayne Ellington,"$6,270,000.00 ",2017,Non-rookie
232,5.107920036,Milwaukee Bucks,0.525743333,5,DeAndre Liggins,"$1,577,230.00 ",2017,Non-rookie
234,5.107920036,Milwaukee Bucks,4.833333333,5,Eric Bledsoe,"$14,500,000.00 ",2017,Non-rookie
235,5.107920036,Milwaukee Bucks,7.490636667,5,Giannis Antetokounmpo,"$22,471,910.00 ",2017,Non-rookie
236,5.107920036,Milwaukee Bucks,2.260797333,5,Jabari Parker,"$6,782,392.00 ",2017,Non-rookie
237,5.107920036,Milwaukee Bucks,0.776217333,5,Jason Terry,"$2,328,652.00 ",2017,Non-rookie
238,5.107920036,Milwaukee Bucks,3.807512,5,John Henson,"$11,422,536.00 ",2017,Non-rookie
239,5.107920036,Milwaukee Bucks,4.7,5,Khris Middleton,"$14,100,000.00 ",2017,Non-rookie
241,5.107920036,Milwaukee Bucks,3.2025,5,Matthew Dellavedova,"$9,607,500.00 ",2017,Non-rookie
242,5.107920036,Milwaukee Bucks,3.5,5,Mirza Teletovic,"$10,500,000.00 ",2017,Non-rookie
246,5.107920036,Milwaukee Bucks,3.273809667,5,Tony Snell,"$9,821,429.00 ",2017,Non-rookie
247,5.049265225,Detroit Pistons,7.925168667,5,Andre Drummond,"$23,775,506.00 ",2017,Non-rookie
