X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
66,119,0.655602464,Portland Trail Blazers,8.717685667,5,Damian Lillard,"$26,153,057.00 ",2017,Non-rookie,7.915807696,122,203081,Damian Lillard
67,120,0.655602464,Portland Trail Blazers,2.117510333,5,Ed Davis,"$6,352,531.00 ",2017,Non-rookie,-5.063954717,303,202334,Ed Davis
68,121,0.655602464,Portland Trail Blazers,5.710382667,5,Evan Turner,"$17,131,148.00 ",2017,Non-rookie,-0.038754784,326,202323,Evan Turner
69,124,0.655602464,Portland Trail Blazers,3.387640667,5,Maurice Harkless,"$10,162,922.00 ",2017,Non-rookie,-2.477722322,327,203090,Maurice Harkless
70,125,0.655602464,Portland Trail Blazers,3.301498333,5,Meyers Leonard,"$9,904,495.00 ",2017,Non-rookie,-2.373206391,124,203086,Meyers Leonard
71,130,-0.562154828,New Orleans Pelicans,7.925168667,5,Anthony Davis,"$23,775,506.00 ",2017,Non-rookie,5.381461205,62,203076,Anthony Davis
72,132,-0.562154828,New Orleans Pelicans,0.766666667,5,Dante Cunningham,"$2,300,000.00 ",2017,Non-rookie,-6.099927255,63,201967,Dante Cunningham
73,133,-0.562154828,New Orleans Pelicans,0.7,5,Darius Miller,"$2,100,000.00 ",2017,Non-rookie,-5.38473835,296,203121,Darius Miller
74,134,-0.562154828,New Orleans Pelicans,6.021283333,5,DeMarcus Cousins,"$18,063,850.00 ",2017,Non-rookie,9.935191988,297,202326,DeMarcus Cousins
75,138,-0.562154828,New Orleans Pelicans,0.083333333,5,Jordan Crawford,"$250,000.00 ",2017,Non-rookie,-1.238604944,274,202348,Jordan Crawford
76,141,-0.562154828,New Orleans Pelicans,8.562222333,5,Jrue Holiday,"$25,686,667.00 ",2017,Non-rookie,7.436850254,507,201950,Jrue Holiday
77,142,-0.562154828,New Orleans Pelicans,3.531835,5,Omer Asik,"$10,595,505.00 ",2017,Non-rookie,-4.047849855,172,201600,Omer Asik
78,145,-0.562154828,New Orleans Pelicans,1.1,5,Rajon Rondo,"$3,300,000.00 ",2017,Non-rookie,-3.516790574,476,200765,Rajon Rondo
79,147,-0.562154828,New Orleans Pelicans,4.078845,5,Solomon Hill,"$12,236,535.00 ",2017,Non-rookie,-2.893633486,245,203524,Solomon Hill
80,148,-0.562154828,New Orleans Pelicans,0.705651667,5,Tony Allen,"$2,116,955.00 ",2017,Non-rookie,-1.386439355,284,2754,Tony Allen
81,149,0.567018304,Indiana Pacers,3.256607,5,Al Jefferson,"$9,769,821.00 ",2017,Non-rookie,-1.973212858,475,2744,Al Jefferson
82,150,0.567018304,Indiana Pacers,3.5,5,Bojan Bogdanovic,"$10,500,000.00 ",2017,Non-rookie,-1.498055125,170,202711,Bojan Bogdanovic
83,151,0.567018304,Indiana Pacers,2.543333333,5,Cory Joseph,"$7,630,000.00 ",2017,Non-rookie,-3.865759661,169,202709,Cory Joseph
84,152,0.567018304,Indiana Pacers,0.705651667,5,Damien Wilkins,"$2,116,955.00 ",2017,Non-rookie,-0.852361105,277,2863,Damien Wilkins
85,153,0.567018304,Indiana Pacers,3.333333333,5,Darren Collison,"$10,000,000.00 ",2017,Non-rookie,6.387595449,12,201954,Darren Collison
86,158,0.567018304,Indiana Pacers,1.393333333,5,Lance Stephenson,"$4,180,000.00 ",2017,Non-rookie,-0.886756572,339,202362,Lance Stephenson
87,160,0.567018304,Indiana Pacers,4.932116,5,Thaddeus Young,"$14,796,348.00 ",2017,Non-rookie,-0.628089211,0,201152,Thaddeus Young
88,161,0.567018304,Indiana Pacers,7,5,Victor Oladipo,"$21,000,000.00 ",2017,Non-rookie,9.613063744,1,203506,Victor Oladipo
89,162,1.813798095,Denver Nuggets,2.488304,5,Darrell Arthur,"$7,464,912.00 ",2017,Non-rookie,-0.88280655,424,201589,Darrell Arthur
90,166,1.813798095,Denver Nuggets,1.578683333,5,Jameer Nelson,"$4,736,050.00 ",2017,Non-rookie,-7.247404026,301,2749,Jameer Nelson
91,168,1.813798095,Denver Nuggets,4.307116,5,Kenneth Faried,"$12,921,348.00 ",2017,Non-rookie,-0.995160843,313,202702,Kenneth Faried
92,170,1.813798095,Denver Nuggets,4.680365333,5,Mason Plumlee,"$14,041,096.00 ",2017,Non-rookie,-7.768498585,471,203486,Mason Plumlee
93,172,1.813798095,Denver Nuggets,10.423077,5,Paul Millsap,"$31,269,231.00 ",2017,Non-rookie,2.884274343,489,200794,Paul Millsap
94,177,1.813798095,Denver Nuggets,1.177777667,5,Will Barton,"$3,533,333.00 ",2017,Non-rookie,4.286903762,33,203115,Will Barton
95,178,1.813798095,Denver Nuggets,4.005618,5,Wilson Chandler,"$12,016,854.00 ",2017,Non-rookie,-7.77543657,121,201163,Wilson Chandler
96,179,2.37472787,Washington Wizards,7.925168667,5,Bradley Beal,"$23,775,506.00 ",2017,Non-rookie,3.288229817,57,203078,Bradley Beal
97,181,2.37472787,Washington Wizards,5.553880333,5,Ian Mahinmi,"$16,661,641.00 ",2017,Non-rookie,-0.488784364,73,101133,Ian Mahinmi
98,182,2.37472787,Washington Wizards,1.741666667,5,Jason Smith,"$5,225,000.00 ",2017,Non-rookie,-6.830056658,254,201160,Jason Smith
99,183,2.37472787,Washington Wizards,1.096666667,5,Jodie Meeks,"$3,290,000.00 ",2017,Non-rookie,-3.076912456,485,201975,Jodie Meeks
100,184,2.37472787,Washington Wizards,6.021283333,5,John Wall,"$18,063,850.00 ",2017,Non-rookie,5.649190039,392,202322,John Wall
101,185,2.37472787,Washington Wizards,4.260869667,5,Marcin Gortat,"$12,782,609.00 ",2017,Non-rookie,-2.594445396,279,101162,Marcin Gortat
102,186,2.37472787,Washington Wizards,2.666666667,5,Markieff Morris,"$8,000,000.00 ",2017,Non-rookie,-7.28155908,55,202693,Markieff Morris
103,187,2.37472787,Washington Wizards,0.569846,5,Mike Scott,"$1,709,538.00 ",2017,Non-rookie,1.059685167,213,203118,Mike Scott
104,190,5.382403139,Los Angeles Clippers,3.941666667,5,Austin Rivers,"$11,825,000.00 ",2017,Non-rookie,0.807119444,232,203085,Austin Rivers
105,191,5.382403139,Los Angeles Clippers,9.837633333,5,Blake Griffin,"$29,512,900.00 ",2017,Non-rookie,4.258515979,72,201933,Blake Griffin
106,193,5.382403139,Los Angeles Clippers,6.853199667,5,Danilo Gallinari,"$20,559,599.00 ",2017,Non-rookie,-1.031592604,180,201568,Danilo Gallinari
107,194,5.382403139,Los Angeles Clippers,7.54745,5,DeAndre Jordan,"$22,642,350.00 ",2017,Non-rookie,2.509292874,513,201599,DeAndre Jordan
108,196,5.382403139,Los Angeles Clippers,2.333333333,5,Lou Williams,"$7,000,000.00 ",2017,Non-rookie,2.933650332,289,101150,Lou Williams
109,197,5.382403139,Los Angeles Clippers,2,5,Milos Teodosic,"$6,000,000.00 ",2017,Non-rookie,-2.062912208,318,1628462,Milos Teodosic
