Name,Contract Value,Year,Team,Type
Shane Battier,3000000,2011,Miami Heat,Non-rookie
Shane Battier,3135000,2012,Miami Heat,Non-rookie
Shane Battier,3270000,2013,Miami Heat,Non-rookie
Tony Battie,"$1,352,181.00 ",2010,Philadelphia 76ers,Non-rookie
Tony Battie,1352181,2011,Philadelphia 76ers,Non-rookie
Nicolas Batum,"$1,196,760.00 ",2010,Portland Trailblazers,Rookie
Nicolas Batum,2155365,2011,Portland Trailblazers,Rookie
Nicolas Batum,10850000,2012,Portland Trailblazers,Non-rookie
Nicolas Batum,11295250,2013,Portland Trailblazers,Non-rookie
Nicolas Batum,11765500,2014,Portland Trailblazers,Non-rookie
Nicolas Batum,12235750,2015,Charlotte Hornets,Non-rookie
Nicolas Batum,20869566,2016,Charlotte Hornets,Non-rookie
Nicolas Batum,22434783,2017,Charlotte Hornets,Non-rookie
Jerryd Bayless,"$2,292,600.00 ",2010,Toronto Raptors,Rookie
Jerryd Bayless,3042280,2011,Toronto Raptors,Rookie
Jerryd Bayless,3000000,2012,Memphis Grizzlies,Non-rookie
Jerryd Bayless,3135000,2013,Memphis Grizzlies,Non-rookie
Jerryd Bayless,3000000,2014,Milwaukee Bucks,Non-rookie
Jerryd Bayless,3000000,2015,Milwaukee Bucks,Non-rookie
Jerryd Bayless,9424084,2016,Philadelphia 76ers,Non-rookie
Jerryd Bayless,9000000,2017,Philadelphia 76ers,Non-rookie
Aron Baynes,401170,2012,San Antonio Spurs,Rookie
Aron Baynes,788872,2013,San Antonio Spurs,Rookie
Aron Baynes,2077000,2014,San Antonio Spurs,Rookie
Aron Baynes,6500000,2015,Detroit Pistons,Rookie
Aron Baynes,6500000,2016,Detroit Pistons,Non-rookie
Aron Baynes,4328000,2017,Boston Celtics,Non-rookie
Kent Bazemore,473604,2012,Golden State Warriors,Rookie
Kent Bazemore,788872,2013,Golden State Warriors,Rookie
Kent Bazemore,2000000,2014,Atlanta Hawks,Rookie
Kent Bazemore,2000000,2015,Atlanta Hawks,Rookie
Kent Bazemore,15730338,2016,Atlanta Hawks,Non-rookie
Kent Bazemore,16910113,2017,Atlanta Hawks,Non-rookie
Bradley Beal,4133280,2012,Washington Wizards,Rookie
Bradley Beal,4319280,2013,Washington Wizards,Rookie
Bradley Beal,4505280,2014,Washington Wizards,Rookie
Bradley Beal,5694674,2015,Washington Wizards,Rookie
Bradley Beal,22116750,2016,Washington Wizards,Non-rookie
Bradley Beal,23775506,2017,Washington Wizards,Non-rookie
Malik Beasley,1627320,2016,Denver Nuggets,Rookie
Malik Beasley,1700640,2017,Denver Nuggets,Rookie
Michael Beasley,"$4,962,240.00 ",2010,Minnesota Timberwolves,Rookie
Michael Beasley,6262347,2011,Minnesota Timberwolves,Rookie
Michael Beasley,5750000,2012,Phoenix Suns,Non-rookie
Michael Beasley,4666667,2013,Phoenix Suns,Non-rookie
Michael Beasley,777778,2014,Phoenix Suns,Non-rookie
Michael Beasley,306527,2015,Houston Rockets,Non-rookie
Michael Beasley,1403611,2016,Milwaukee Bucks,Non-rookie
Michael Beasley,1471382,2017,New York Knicks,Non-rookie
Rodrigue Beaubois,"$1,156,080.00 ",2010,Dallas Mavericks,Rookie
Rodrigue Beaubois,1236720,2011,Dallas Mavericks,Rookie
Rodrigue Beaubois,2227333,2012,Dallas Mavericks,Rookie
Marco Belinelli,"$2,380,270.00 ",2010,New Orleans Pelicans,Rookie
Marco Belinelli,3377604,2011,New Orleans Pelicans,Non-rookie
Marco Belinelli,1957000,2012,Chicago Bulls,Non-rookie
Marco Belinelli,2750000,2013,San Antonio Spurs,Non-rookie
Marco Belinelli,2873750,2014,San Antonio Spurs,Non-rookie
Marco Belinelli,6333333,2015,Sacramento Kings,Non-rookie
Marco Belinelli,6333333,2016,Charlotte Hornets,Non-rookie
Marco Belinelli,6306060,2017,Atlanta Hawks,Non-rookie
Charlie Bell,"$4,447,792.00 ",2010,Golden State Warriors,Non-rookie
Charlie Bell,4099920,2011,Golden State Warriors,Non-rookie
Jordan Bell,815615,2017,Golden State Warriors,Rookie
Raja Bell,"$3,000,000.00 ",2010,Utah Jazz,Non-rookie
Raja Bell,3240000,2011,Utah Jazz,Non-rookie
Raja Bell,3480000,2012,Utah Jazz,Non-rookie
DeAndre' Bembry,1499760,2016,Atlanta Hawks,Rookie
DeAndre' Bembry,1567200,2017,Atlanta Hawks,Rookie
Dragan Bender,4276320,2016,Phoenix Suns,Rookie
Dragan Bender,4468800,2017,Phoenix Suns,Rookie
Jerrelle Benimon,35000,2014,Denver Nuggets,Rookie
Anthony Bennett,5324280,2013,Cleveland Cavaliers,Rookie
Anthony Bennett,5563920,2014,Minnesota Timberwolves,Rookie
Anthony Bennett,3650000,2015,Minnesota Timberwolves,Rookie
Anthony Bennett,1015696,2016,Brooklyn Nets,Rookie
Keith Benson,75000,2016,Miami Heat,Rookie
Ben Bentil,250000,2016,Boston Celtics,Rookie
Davis Bertans,543471,2016,San Antonio Spurs,Rookie
Davis Bertans,1312611,2017,San Antonio Spurs,Rookie
Patrick Beverley,281377,2012,Houston Rockets,Rookie
Patrick Beverley,788872,2013,Houston Rockets,Rookie
Patrick Beverley,915243,2014,Houston Rockets,Rookie
Patrick Beverley,6500000,2015,Houston Rockets,Rookie
Patrick Beverley,6000000,2016,Houston Rockets,Non-rookie
Patrick Beverley,5513514,2017,Los Angeles Clippers,Non-rookie
Sim Bhullar,29843,2014,Sacramento Kings,Rookie
Mike Bibby,"$5,564,767.00 ",2010,Washington Wizards,Non-rookie
Mike Bibby,1352181,2011,New York Knicks,Non-rookie
Andris Biedrins,"$9,000,000.00 ",2010,Golden State Warriors,Non-rookie
Andris Biedrins,9000000,2011,Golden State Warriors,Non-rookie
Andris Biedrins,9000000,2012,Golden State Warriors,Non-rookie
Andris Biedrins,9000000,2013,Utah Jazz,Non-rookie
Chauncey Billups,"$13,150,000.00 ",2010,New York Knicks,Non-rookie
Chauncey Billups,12199968,2011,New York Knicks,Non-rookie
Chauncey Billups,4000000,2012,Los Angeles Clippers,Non-rookie
Chauncey Billups,2500000,2013,Detroit Pistons,Non-rookie
Khem Birch,50000,2014,Miami Heat,Rookie
Khem Birch,815615,2017,Orlando Magic,Rookie
Bismack Biyombo,2798040,2011,Charlotte Hornets,Rookie
Bismack Biyombo,3007920,2012,Charlotte Hornets,Rookie
Bismack Biyombo,3049920,2013,Charlotte Hornets,Rookie
Bismack Biyombo,3873398,2014,Charlotte Hornets,Rookie
Bismack Biyombo,3000000,2015,Toronto Raptors,Non-rookie
Bismack Biyombo,17000000,2016,Orlando Magic,Non-rookie
Bismack Biyombo,17000000,2017,Orlando Magic,Non-rookie
Nemanja Bjelica,4000000,2015,Minnesota Timberwolves,Rookie
Nemanja Bjelica,3800000,2016,Minnesota Timberwolves,Rookie
Nemanja Bjelica,3949999,2017,Minnesota Timberwolves,Rookie
Tarik Black,507336,2014,Los Angeles Lakers,Rookie
Tarik Black,845059,2015,Los Angeles Lakers,Rookie
Tarik Black,6191000,2016,Los Angeles Lakers,Rookie
Tarik Black,3290000,2017,Houston Rockets,Rookie
DeJuan Blair,"$918,000.00 ",2010,San Antonio Spurs,Rookie
DeJuan Blair,986000,2011,San Antonio Spurs,Rookie
DeJuan Blair,1054000,2012,San Antonio Spurs,Rookie
DeJuan Blair,947907,2013,Dallas Mavericks,Non-rookie
DeJuan Blair,2000000,2014,Washington Wizards,Non-rookie
DeJuan Blair,2000000,2015,Phoenix Suns,Non-rookie
Steve Blake,"$4,000,000.00 ",2010,Los Angeles Lakers,Non-rookie
Steve Blake,4000000,2011,Los Angeles Lakers,Non-rookie
Steve Blake,4000000,2012,Los Angeles Lakers,Non-rookie
Steve Blake,4000000,2013,Los Angeles Lakers,Non-rookie
Steve Blake,2077000,2014,Portland Trailblazers,Non-rookie
Steve Blake,2170465,2015,Detroit Pistons,Non-rookie
Andray Blatche,"$5,900,000.00 ",2010,Washington Wizards,Non-rookie
Andray Blatche,6442083,2011,Washington Wizards,Non-rookie
Andray Blatche,7118502,2012,Washington Wizards,Non-rookie
Andray Blatche,1375604,2013,Brooklyn Nets,Non-rookie
Andray Blatche,8471339,2014,Washington Wizards,Non-rookie
Eric Bledsoe,"$1,485,000.00 ",2010,Los Angeles Clippers,Rookie
Eric Bledsoe,1596360,2011,Los Angeles Clippers,Rookie
Eric Bledsoe,1707720,2012,Los Angeles Clippers,Rookie
Eric Bledsoe,2626473,2013,Phoenix Suns,Rookie
Eric Bledsoe,12173913,2014,Phoenix Suns,Non-rookie
Eric Bledsoe,13086957,2015,Phoenix Suns,Non-rookie
Eric Bledsoe,14000000,2016,Phoenix Suns,Non-rookie
Eric Bledsoe,14500000,2017,Milwaukee Bucks,Non-rookie
Keith Bogans,"$1,600,000.00 ",2010,Chicago Bulls,Non-rookie
Keith Bogans,848266,2011,Brooklyn Nets,Non-rookie
Keith Bogans,1229225,2012,Brooklyn Nets,Non-rookie
Keith Bogans,5058198,2013,Boston Celtics,Non-rookie
Bogdan Bogdanovic,9470614,2017,Sacramento Kings,Non-rookie
Bojan Bogdanovic,3278000,2014,Brooklyn Nets,Rookie
Bojan Bogdanovic,3425510,2015,Brooklyn Nets,Rookie
Bojan Bogdanovic,3730653,2016,Washington Wizards,Rookie
Bojan Bogdanovic,10500000,2017,Indiana Pacers,Non-rookie
Andrew Bogut,"$11,000,000.00 ",2010,Milwaukee Bucks,Non-rookie
Andrew Bogut,12000000,2011,Milwaukee Bucks,Non-rookie
Andrew Bogut,13000000,2012,Golden State Warriors,Non-rookie
Andrew Bogut,14000000,2013,Golden State Warriors,Non-rookie
Andrew Bogut,12972973,2014,Golden State Warriors,Non-rookie
Andrew Bogut,12000000,2015,Golden State Warriors,Non-rookie
Andrew Bogut,11027027,2016,Philadelphia 76ers,Non-rookie
Andrew Bogut,1105123,2017,Los Angeles Lakers,Non-rookie
Matt Bonner,"$3,000,000.00 ",2010,San Antonio Spurs,Non-rookie
Matt Bonner,3315000,2011,San Antonio Spurs,Non-rookie
Matt Bonner,3630000,2012,San Antonio Spurs,Non-rookie
Matt Bonner,3945000,2013,San Antonio Spurs,Non-rookie
