rating,Team,mu,sd,name,coefs,index,player_id,finalpriors,finalse
-6.899803629,Denver Nuggets,0.850018333,5,Gary Harris,1.525194389,251,203914,-0.69357881,0.258110712
-6.899803629,Denver Nuggets,1.11844,5,Jamal Murray,5.935951734,124,1627750,-0.554319987,0.246907263
-6.899803629,Denver Nuggets,4.307116,5,Kenneth Faried,1.655013482,393,202702,1.099984865,0.243424826
-6.899803629,Denver Nuggets,0.56688,5,Malik Beasley,-5.375058331,285,1627736,-0.84047273,0.271140706
-6.899803629,Denver Nuggets,4.680365333,5,Mason Plumlee,-1.677844341,460,203486,1.29362893,0.258758488
-6.899803629,Denver Nuggets,0.490460667,5,Nikola Jokic,3.969039156,505,203999,-0.880119553,0.27484875
-6.899803629,Denver Nuggets,10.423077,5,Paul Millsap,6.290998011,252,200794,4.272983299,0.627803243
-6.899803629,Denver Nuggets,0.8138,5,Trey Lyles,0.034277737,445,1626168,-0.712369105,0.259711637
-6.899803629,Denver Nuggets,0.52648,5,Tyler Lydon,-3.287277809,304,1628399,-0.8614325,0.273091449
-6.899803629,Denver Nuggets,1.177777667,5,Will Barton,-4.092775517,290,203115,-0.523535238,0.244597654
-6.899803629,Denver Nuggets,4.005618,5,Wilson Chandler,0.995237766,116,201163,0.943565836,0.232904421
-6.065728513,Washington Wizards,7.925168667,5,Bradley Beal,8.518778081,30,203078,2.976973821,0.450127673
-6.065728513,Washington Wizards,5.553880333,5,Ian Mahinmi,-0.742276996,360,101133,1.746734752,0.298059021
-6.065728513,Washington Wizards,1.741666667,5,Jason Smith,-1.234149999,140,201160,-0.231065302,0.214484279
-6.065728513,Washington Wizards,1.096666667,5,Jodie Meeks,1.653681857,471,201975,-0.565695295,0.236303829
-6.065728513,Washington Wizards,6.021283333,5,John Wall,-1.048476963,434,202322,1.989226322,0.325541867
-6.065728513,Washington Wizards,4.260869667,5,Marcin Gortat,-0.623731453,263,101162,1.075912812,0.234423157
-6.065728513,Washington Wizards,2.666666667,5,Markieff Morris,-3.114956375,144,202693,0.248830425,0.201313952
-6.065728513,Washington Wizards,0.569846,5,Mike Scott,-4.329307041,93,203118,-0.839013119,0.259887882
-6.065728513,Washington Wizards,0.666666667,5,Tim Frazier,-3.23716631,382,204025,-0.788781958,0.25523254
-6.065728513,Washington Wizards,1,5,Tomas Satoransky,4.213512972,29,203107,-0.615846561,0.240290775
-5.484227899,Los Angeles Clippers,3.941666667,5,Austin Rivers,1.107680165,131,203085,0.910253125,0.221069508
-5.484227899,Los Angeles Clippers,9.837633333,5,Blake Griffin,4.529567932,291,201933,3.969117137,0.58736324
-5.484227899,Los Angeles Clippers,6.853199667,5,Danilo Gallinari,4.226132739,81,201568,2.420774472,0.37877273
-5.484227899,Los Angeles Clippers,7.54745,5,DeAndre Jordan,1.286988851,502,201599,2.780955844,0.425324246
-5.484227899,Los Angeles Clippers,0.271871667,5,Jawun Evans,-1.114003439,274,1628393,-0.993659243,0.27047586
-5.484227899,Los Angeles Clippers,2.333333333,5,Lou Williams,5.145053176,313,101150,0.075839833,0.199532917
-5.484227899,Los Angeles Clippers,2,5,Milos Teodosic,0.485562941,441,1628462,-0.097095564,0.204406426
-5.484227899,Los Angeles Clippers,0.490460667,5,Montrezl Harrell,-3.627043648,82,1626149,-0.880253916,0.25928326
-5.484227899,Los Angeles Clippers,1.837838,5,Patrick Beverley,1.066915944,457,201976,-0.181226214,0.207887349
-5.484227899,Los Angeles Clippers,0.5982,5,Sam Dekker,-2.367740746,150,1626155,-0.824358083,0.253996504
