,Team,rating,Type,mu,sd,name,finalpriors,finalse,player_id,index,player_name
69,Miami Heat,1.904907009,Rookie,0.9016799999999999,5,Justise Winslow,-0.1252990794803328,3.3994436861887696,1626159.0,221,Justise Winslow
70,Denver Nuggets,1.813798095,Rookie,0.56688,5,Malik Beasley,-0.5589131440845226,3.3994436861887696,1627736.0,208,Malik Beasley
71,Denver Nuggets,1.813798095,Rookie,0.8500183333333333,5,Gary Harris,-0.05217634582936249,3.3994436861887696,203914.0,32,Gary Harris
72,Denver Nuggets,1.813798095,Rookie,0.4904606666666666,5,Nikola Jokic,-0.8136412273721847,3.3994436861887696,203999.0,503,Nikola Jokic
73,Denver Nuggets,1.813798095,Rookie,0.5264800000000001,5,Tyler Lydon,-0.6422529673158653,3.3994436861887696,1628399.0,537,Tyler Lydon
74,Denver Nuggets,1.813798095,Rookie,0.8138,5,Trey Lyles,-0.1756311400832953,3.3994436861887696,1626168.0,448,Trey Lyles
75,Denver Nuggets,1.813798095,Rookie,1.1184399999999999,5,Jamal Murray,-0.320129883637495,3.3994436861887696,1627750.0,31,Jamal Murray
76,Charlotte Hornets,1.0653689709999998,Rookie,0.2718716666666667,5,Dwayne Bacon,-0.6949881229754962,3.3994436861887696,1628407.0,461,Dwayne Bacon
77,Charlotte Hornets,1.0653689709999998,Rookie,0.437537,5,Treveon Graham,-0.6575520540022329,3.3994436861887696,1626203.0,474,Treveon Graham
78,Charlotte Hornets,1.0653689709999998,Rookie,0.4785833333333334,5,Willy Hernangomez,-0.8399385596449982,3.3994436861887696,1626195.0,341,Willy Hernangomez
79,Charlotte Hornets,1.0653689709999998,Rookie,0.9492,5,Frank Kaminsky,-0.12143132190026992,3.3994436861887696,1626163.0,233,Frank Kaminsky
80,Charlotte Hornets,1.0653689709999998,Rookie,0.96816,5,Malik Monk,-0.12143132190026992,3.3994436861887696,1628370.0,212,Malik Monk
81,Milwaukee Bucks,0.8606942540000001,Rookie,0.437537,5,Malcolm Brogdon,-0.6575520540022329,3.3994436861887696,1627763.0,452,Malcolm Brogdon
82,Milwaukee Bucks,0.8606942540000001,Rookie,0.2718716666666667,5,Sterling Brown,-0.6949881229754962,3.3994436861887696,1628425.0,174,Sterling Brown
83,Milwaukee Bucks,0.8606942540000001,Rookie,0.8947200000000001,5,Thon Maker,-0.1252990794803328,3.3994436861887696,1627748.0,26,Thon Maker
84,Milwaukee Bucks,0.8606942540000001,Rookie,2.260797333333333,5,Jabari Parker,0.3498864981243576,3.3994436861887696,203953.0,352,Jabari Parker
85,Milwaukee Bucks,0.8606942540000001,Rookie,0.71168,5,D.J. Wilson,-0.4038185451054741,3.3994436861887696,1628391.0,304,D.J. Wilson
86,Chicago Bulls,0.8249325909999999,Rookie,1.3489200000000001,5,Kris Dunn,-0.32408973707283173,3.3994436861887696,1627739.0,434,Kris Dunn
87,Chicago Bulls,0.8249325909999999,Rookie,0.033451,5,Jarell Eddie,-0.5999047172518958,3.3994436861887696,204067.0,226,Jarell Eddie
88,Chicago Bulls,0.8249325909999999,Rookie,0.57128,5,Jerian Grant,-0.5589131440845226,3.3994436861887696,1626170.0,258,Jerian Grant
89,Chicago Bulls,0.8249325909999999,Rookie,1.5384616666666666,5,Justin Holiday,-0.4080202893486841,3.3994436861887696,203200.0,76,Justin Holiday
90,Chicago Bulls,0.8249325909999999,Rookie,0.721002,5,Sean Kilpatrick,-0.3849200941415901,3.3994436861887696,203930.0,263,Sean Kilpatrick
91,Chicago Bulls,0.8249325909999999,Rookie,1.0674056666666667,5,Zach LaVine,-0.1423970282764242,3.3994436861887696,203897.0,354,Zach LaVine
92,Chicago Bulls,0.8249325909999999,Rookie,1.27388,5,Lauri Markkanen,-0.35266406503147424,3.3994436861887696,1628374.0,335,Lauri Markkanen
93,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,David Nwaba,-0.6575520540022329,3.3994436861887696,1628021.0,203,David Nwaba
94,Chicago Bulls,0.8249325909999999,Rookie,0.73448,5,Cameron Payne,-0.31573343440713564,3.3994436861887696,1626166.0,355,Cameron Payne
95,Chicago Bulls,0.8249325909999999,Rookie,0.50544,5,Bobby Portis,-0.8129507485908668,3.3994436861887696,1626171.0,126,Bobby Portis
96,Chicago Bulls,0.8249325909999999,Rookie,0.4904606666666666,5,Willie Reed,-0.8136412273721847,3.3994436861887696,203186.0,344,Willie Reed
97,Chicago Bulls,0.8249325909999999,Rookie,0.7288,5,Denzel Valentine,-0.364672981941894,3.3994436861887696,1627756.0,78,Denzel Valentine
98,Chicago Bulls,0.8249325909999999,Rookie,1.168411,5,Noah Vonleh,-0.35266406503147424,3.3994436861887696,203943.0,162,Noah Vonleh
99,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Paul Zipser,-0.6575520540022329,3.3994436861887696,1627835.0,514,Paul Zipser
100,Chicago Bulls,0.8249325909999999,Rookie,0.437537,5,Kay Felder,-0.6575520540022329,3.3994436861887696,1627770.0,464,Kay Felder
101,Indiana Pacers,0.567018304,Rookie,0.31666666666666665,5,Ike Anigbogu,-0.702624252113519,3.3994436861887696,1628387.0,271,Ike Anigbogu
102,Indiana Pacers,0.567018304,Rookie,0.015359999999999999,5,Trey McKinney-Jones,-0.6193475742806888,3.3994436861887696,203590.0,408,Trey McKinney-Jones
103,Indiana Pacers,0.567018304,Rookie,0.259556,5,Alex Poythress,-0.6774172232936604,3.3994436861887696,1627816.0,305,Alex Poythress
104,Indiana Pacers,0.567018304,Rookie,0.5081016666666667,5,Glenn Robinson III,-0.30213397630035926,3.3994436861887696,203922.0,2,Glenn Robinson III
105,Indiana Pacers,0.567018304,Rookie,0.85,5,Domantas Sabonis,-0.05217634582936249,3.3994436861887696,1627734.0,348,Domantas Sabonis
106,Indiana Pacers,0.567018304,Rookie,0.85664,5,Myles Turner,-0.0987163608044529,3.3994436861887696,1626167.0,309,Myles Turner
107,Indiana Pacers,0.567018304,Rookie,0.4904606666666666,5,Joe Young,-0.8136412273721847,3.3994436861887696,1626202.0,3,Joe Young
108,Indiana Pacers,0.567018304,Rookie,0.03333333333333333,5,Georges Niang,-0.5999047172518958,3.3994436861887696,1627777.0,179,Georges Niang
109,Minnesota Timberwolves,0.487595368,Rookie,1.3166663333333333,5,Nemanja Bjelica,-0.3335407677458378,3.3994436861887696,202357.0,415,Nemanja Bjelica
110,Minnesota Timberwolves,0.487595368,Rookie,0.437537,5,Marcus Georges-Hunt,-0.6575520540022329,3.3994436861887696,1627875.0,30,Marcus Georges-Hunt
111,Minnesota Timberwolves,0.487595368,Rookie,0.4904606666666666,5,Tyus Jones,-0.8136412273721847,3.3994436861887696,1626145.0,28,Tyus Jones
112,Minnesota Timberwolves,0.487595368,Rookie,0.74916,5,Justin Patton,-0.3094272976543182,3.3994436861887696,1628383.0,523,Justin Patton
113,Minnesota Timberwolves,0.487595368,Rookie,2.07228,5,Karl-Anthony Towns,0.3784744953517037,3.3994436861887696,1626157.0,29,Karl-Anthony Towns
114,Atlanta Hawks,0.0,Rookie,0.5224,5,DeAndre' Bembry,-0.6493074934584031,3.3994436861887696,1627761.0,299,DeAndre' Bembry
115,Atlanta Hawks,0.0,Rookie,0.3017496666666667,5,Nicolas Brussino,-0.6939251006552897,3.3994436861887696,1627852.0,497,Nicolas Brussino
116,Atlanta Hawks,0.0,Rookie,0.2433063333333333,5,Tyler Cavanaugh,-0.668571813436721,3.3994436861887696,1628463.0,381,Tyler Cavanaugh
117,Atlanta Hawks,0.0,Rookie,0.64564,5,John Collins,-0.5250971635205111,3.3994436861887696,1628381.0,420,John Collins
118,Atlanta Hawks,0.0,Rookie,2.0,5,Dewayne Dedmon,0.5957405779334113,3.3994436861887696,203473.0,364,Dewayne Dedmon
119,Atlanta Hawks,0.0,Rookie,0.8333333333333334,5,Malcolm Delaney,-0.06320061734730686,3.3994436861887696,1627098.0,423,Malcolm Delaney
120,Atlanta Hawks,0.0,Rookie,0.2718716666666667,5,Tyler Dorsey,-0.6949881229754962,3.3994436861887696,1628416.0,60,Tyler Dorsey
121,Atlanta Hawks,0.0,Rookie,0.04608,5,Damion Lee,-0.5999047172518958,3.3994436861887696,1627814.0,237,Damion Lee
122,Atlanta Hawks,0.0,Rookie,0.064512,5,Jaylen Morris,-0.6283157552444657,3.3994436861887696,1628537.0,438,Jaylen Morris
123,Atlanta Hawks,0.0,Rookie,1.6666666666666667,5,Mike Muscala,-0.4502000373828298,3.3994436861887696,203488.0,59,Mike Muscala
124,Atlanta Hawks,0.0,Rookie,0.80752,5,Taurean Prince,-0.14684053128802105,3.3994436861887696,1627752.0,58,Taurean Prince
125,Atlanta Hawks,0.0,Rookie,0.437537,5,Isaiah Taylor,-0.6575520540022329,3.3994436861887696,1627819.0,225,Isaiah Taylor
126,Atlanta Hawks,0.0,Rookie,0.437537,5,Okaro White,-0.6575520540022329,3.3994436861887696,1627855.0,390,Okaro White
127,Atlanta Hawks,0.0,Rookie,0.03333333333333333,5,Quinn Cook,-0.5999047172518958,3.3994436861887696,1626188.0,255,Quinn Cook
128,Detroit Pistons,-0.16488799,Rookie,0.2493866666666667,5,Dwight Buycks,-0.668571813436721,3.3994436861887696,202779.0,343,Dwight Buycks
129,Detroit Pistons,-0.16488799,Rookie,0.5936,5,Henry Ellenson,-0.5097552222688291,3.3994436861887696,1627740.0,451,Henry Ellenson
130,Detroit Pistons,-0.16488799,Rookie,2.2222223333333333,5,Langston Galloway,0.3587893350402848,3.3994436861887696,204038.0,138,Langston Galloway
131,Detroit Pistons,-0.16488799,Rookie,1.0326,5,Stanley Johnson,-0.1423970282764242,3.3994436861887696,1626169.0,328,Stanley Johnson
132,Detroit Pistons,-0.16488799,Rookie,0.91976,5,Luke Kennard,-0.11394243268131475,3.3994436861887696,1628379.0,205,Luke Kennard
133,Detroit Pistons,-0.16488799,Rookie,0.5797776666666666,5,Eric Moreland,-0.4925103093379676,3.3994436861887696,203961.0,178,Eric Moreland
134,New Orleans Pelicans,-0.5621548279999999,Rookie,0.4904606666666666,5,Ian Clark,-0.8136412273721847,3.3994436861887696,203546.0,427,Ian Clark
135,New Orleans Pelicans,-0.5621548279999999,Rookie,0.437537,5,Cheick Diallo,-0.6575520540022329,3.3994436861887696,1627767.0,372,Cheick Diallo
