,name,mu,sd
229,Devonte' Graham,-1.6627014892795395,5
432,Henry Ellenson,-1.114563005146206,5
502,Edmond Sumner,-2.115322672612873,5
301,Christian Wood,-1.868972084812873,5
392,Kelly Olynyk,1.3585086387871272,5
186,Jodie Meeks,-3.1084879906128733,5
445,Justin Jackson,-0.6303079048795395,5
271,Deyonta Davis,-1.9483636652068126,5
286,Treveon Graham,-0.7745094542128729,5
458,DeMar DeRozan,4.942612025787127,5
90,Tyler Cavanaugh,0.0,5
91,JaKarr Sampson,0.0,5
393,Udonis Haslem,-1.474804961212873,5
92,C.J. Williams,0.0,5
93,Drew Eubanks,0.0,5
328,Buddy Hield,0.4217197769204606,5
94,J.J. Barea,0.0,5
243,Jose Calderon,-1.458706741612873,5
272,Miles Plumlee,1.378133134793188,5
95,Vincent Edwards,0.0,5
96,Jaylen Morris,0.0,5
97,Okaro White,0.0,5
446,Ryan Broekhoff,-1.1554855048795396,5
98,Daniel Hamilton,0.0,5
99,Trevon Duval,0.0,5
100,Jordan Sibert,0.0,5
129,Marcus Smart,0.603715922187127,5
101,Justin Patton,0.0,5
200,Dario Saric,-1.6799566644795398,5
230,Bismack Biyombo,2.607041444053795,5
287,Ed Davis,0.008530279120460449,5
302,Jahlil Okafor,-1.8544638181462063,5
356,Pau Gasol,-1.7849219704795396,5
370,Jake Layman,-1.9355219513462063,5
215,Kevon Looney,-2.9866430866128733,5
407,Sindarius Thornwell,-1.5815283430795397,5
433,DeAndre Jordan,4.900202061520461,5
488,Joe Ingles,0.6914434641204606,5
503,Aaron Holiday,-1.7254117392795398,5
516,Nikola Jokic,4.559091977587127,5
102,Thomas Welsh,0.0,5
459,Lonnie Walker IV,-1.8261386408795395,5
528,Patrick Patterson,-1.1037518530795396,5
394,James Johnson,2.02895477212046,5
381,Michael Carter-Williams,-0.9151182060795395,5
103,Rawle Alkins,0.0,5
104,Lorenzo Brown,0.0,5
316,T.J. Warren,2.975176321653794,5
342,Brandon Ingram,-0.09710169047953948,5
143,Chandler Hutchison,-0.013333569479539342,5
105,Demetrius Jackson,0.0,5
106,Donte Grantham,0.0,5
107,Emanuel Terry,0.0,5
108,Andre Ingram,0.0,5
109,Kostas Antetokounmpo,0.0,5
110,John Holland,0.0,5
111,Tyler Ulis,0.0,5
112,George King,0.0,5
113,RJ Hunter,0.0,5
114,Kalin Lucas,0.0,5
115,Angel Delgado,0.0,5
116,Dusty Hannahs,0.0,5
117,Joe Chealey,0.0,5
