,rating,Team,mu,sd,name
190,5.107920036,Milwaukee Bucks,7.490636667,5,Giannis Antetokounmpo
191,5.107920036,Milwaukee Bucks,2.260797333,5,Jabari Parker
192,5.107920036,Milwaukee Bucks,3.807512,5,John Henson
193,5.107920036,Milwaukee Bucks,4.7,5,Khris Middleton
194,5.107920036,Milwaukee Bucks,0.437537,5,Malcolm Brogdon
195,5.107920036,Milwaukee Bucks,3.2025,5,Matthew Dellavedova
196,5.107920036,Milwaukee Bucks,0.271871667,5,Sterling Brown
197,5.107920036,Milwaukee Bucks,0.89472,5,Thon Maker
198,5.107920036,Milwaukee Bucks,3.273809667,5,Tony Snell
199,5.049265225,Detroit Pistons,7.925168667,5,Andre Drummond
200,5.049265225,Detroit Pistons,1.096666667,5,Anthony Tolliver
201,5.049265225,Detroit Pistons,2.936329667,5,Avery Bradley
202,5.049265225,Detroit Pistons,2.333333333,5,Boban Marjanovic
203,5.049265225,Detroit Pistons,0.579777667,5,Eric Moreland
204,5.049265225,Detroit Pistons,0.5936,5,Henry Ellenson
205,5.049265225,Detroit Pistons,2,5,Ish Smith
206,5.049265225,Detroit Pistons,3.499106333,5,Jon Leuer
207,5.049265225,Detroit Pistons,2.222222333,5,Langston Galloway
208,5.049265225,Detroit Pistons,0.91976,5,Luke Kennard
209,5.049265225,Detroit Pistons,0.833333333,5,Reggie Bullock
210,5.049265225,Detroit Pistons,5.333333333,5,Reggie Jackson
211,5.049265225,Detroit Pistons,1.0326,5,Stanley Johnson
212,5.049265225,Detroit Pistons,5.333333333,5,Tobias Harris
213,3.900598636,Los Angeles Lakers,0.776217333,5,Andrew Bogut
214,3.900598636,Los Angeles Lakers,1.8398,5,Brandon Ingram
215,3.900598636,Los Angeles Lakers,7.54745,5,Brook Lopez
216,3.900598636,Los Angeles Lakers,2.526455333,5,Corey Brewer
217,3.900598636,Los Angeles Lakers,0.437537,5,Ivica Zubac
218,3.900598636,Los Angeles Lakers,3.854166667,5,Jordan Clarkson
219,3.900598636,Los Angeles Lakers,0.46484,5,Josh Hart
220,3.900598636,Los Angeles Lakers,1.383080667,5,Julius Randle
221,3.900598636,Los Angeles Lakers,5.915298,5,Kentavious Caldwell-Pope
222,3.900598636,Los Angeles Lakers,0.47452,5,Kyle Kuzma
223,3.900598636,Los Angeles Lakers,2.09552,5,Lonzo Ball
224,3.900598636,Los Angeles Lakers,5.73,5,Luol Deng
225,3.900598636,Los Angeles Lakers,0.271871667,5,Thomas Bryant
226,2.634309708,Dallas Mavericks,1.467515333,5,Devin Harris
227,2.634309708,Dallas Mavericks,1.666666667,5,Dirk Nowitzki
228,2.634309708,Dallas Mavericks,0.437537,5,Dorian Finney-Smith
229,2.634309708,Dallas Mavericks,3.001041667,5,Dwight Powell
230,2.634309708,Dallas Mavericks,7.704001333,5,Harrison Barnes
231,2.634309708,Dallas Mavericks,1.3013,5,J.J. Barea
232,2.634309708,Dallas Mavericks,0.271871667,5,Maxi Kleber
233,2.634309708,Dallas Mavericks,1.395866333,5,Nerlens Noel
234,2.634309708,Dallas Mavericks,0.490460667,5,Salah Mejri
235,2.634309708,Dallas Mavericks,1.00947,5,Seth Curry
236,2.634309708,Dallas Mavericks,5.961392,5,Wesley Matthews
237,2.634309708,Dallas Mavericks,0.437537,5,Yogi Ferrell
238,1.767519876,New York Knicks,0.437537,5,Chasson Randle
239,1.767519876,New York Knicks,3.915963333,5,Courtney Lee
240,1.767519876,New York Knicks,0.366666667,5,Damyean Dotson
241,1.767519876,New York Knicks,1.098331333,5,Doug McDermott
242,1.767519876,New York Knicks,6.855600667,5,Enes Kanter
243,1.767519876,New York Knicks,1.16704,5,Frank Ntilikina
244,1.767519876,New York Knicks,5.921666667,5,Joakim Noah
245,1.767519876,New York Knicks,2.218441667,5,Lance Thomas
246,1.767519876,New York Knicks,0.705651667,5,Michael Beasley
247,1.767519876,New York Knicks,1.442666667,5,Ron Baker
248,1.767519876,New York Knicks,0.478583333,5,Willy Hernangomez
249,1.628278788,Brooklyn Nets,6.444166667,5,Allen Crabbe
250,1.628278788,Brooklyn Nets,0.54416,5,Caris LeVert
251,1.628278788,Brooklyn Nets,4.933333333,5,DeMarre Carroll
252,1.628278788,Brooklyn Nets,0.57124,5,Jarrett Allen
253,1.628278788,Brooklyn Nets,4,5,Jeremy Lin
254,1.628278788,Brooklyn Nets,0.508101667,5,Joe Harris
255,1.628278788,Brooklyn Nets,0.569846,5,Quincy Acy
256,1.628278788,Brooklyn Nets,0.490460667,5,Rondae Hollis-Jefferson
257,1.628278788,Brooklyn Nets,0.508101667,5,Spencer Dinwiddie
258,1.628278788,Brooklyn Nets,0.569846,5,Tyler Zeller
259,0.394281214,Orlando Magic,1.834806667,5,Aaron Gordon
260,0.394281214,Orlando Magic,5.666666667,5,Bismack Biyombo
261,0.394281214,Orlando Magic,2.416666667,5,D.J. Augustin
262,0.394281214,Orlando Magic,1.11078,5,Elfrid Payton
263,0.394281214,Orlando Magic,5.666666667,5,Evan Fournier
264,0.394281214,Orlando Magic,1.39544,5,Jonathan Isaac
265,0.394281214,Orlando Magic,2.1,5,Jonathon Simmons
266,0.394281214,Orlando Magic,0.271871667,5,Khem Birch
267,0.394281214,Orlando Magic,1.35944,5,Mario Hezonja
268,0.394281214,Orlando Magic,4.083333333,5,Nikola Vucevic
269,0.394281214,Orlando Magic,2,5,Shelvin Mack
270,0.394281214,Orlando Magic,3.5,5,Terrence Ross
271,-0.49881092,Memphis Grizzlies,0.437537,5,Andrew Harrison
272,-0.49881092,Memphis Grizzlies,1.733333333,5,Ben McLemore
273,-0.49881092,Memphis Grizzlies,7.704001333,5,Chandler Parsons
274,-0.49881092,Memphis Grizzlies,0.437537,5,Deyonta Davis
275,-0.49881092,Memphis Grizzlies,0.271871667,5,Dillon Brooks
276,-0.49881092,Memphis Grizzlies,0.316666667,5,Ivan Rabb
277,-0.49881092,Memphis Grizzlies,2.844444333,5,JaMychal Green
278,-0.49881092,Memphis Grizzlies,0.490460667,5,Jarell Martin
279,-0.49881092,Memphis Grizzlies,7.54745,5,Marc Gasol
280,-0.49881092,Memphis Grizzlies,9.510202667,5,Mike Conley
281,-0.49881092,Memphis Grizzlies,1.096666667,5,Tyreke Evans
282,-0.49881092,Memphis Grizzlies,0.437537,5,Wayne Selden
283,-1.257988701,Sacramento Kings,1.096666667,5,Anthony Tolliver
284,-1.257988701,Sacramento Kings,3.156871333,5,Bogdan Bogdanovic
285,-1.257988701,Sacramento Kings,1.22516,5,Buddy Hield
286,-1.257988701,Sacramento Kings,0.394795,5,Frank Mason
287,-1.257988701,Sacramento Kings,2.666666667,5,Garrett Temple
288,-1.257988701,Sacramento Kings,6.666666667,5,George Hill
289,-1.257988701,Sacramento Kings,0.78852,5,Justin Jackson
290,-1.257988701,Sacramento Kings,2.797666667,5,Kosta Koufos
291,-1.257988701,Sacramento Kings,0.50152,5,Malachi Richardson
292,-1.257988701,Sacramento Kings,0.437537,5,Skal Labissiere
293,-1.257988701,Sacramento Kings,2.666666667,5,Vince Carter
294,-1.257988701,Sacramento Kings,1.23472,5,Willie Cauley-Stein
295,-1.539041969,Chicago Bulls,0.50544,5,Bobby Portis
296,-1.539041969,Chicago Bulls,0.73448,5,Cameron Payne
297,-1.539041969,Chicago Bulls,2.6145,5,Cristiano Felicio
298,-1.539041969,Chicago Bulls,0.437537,5,David Nwaba
299,-1.539041969,Chicago Bulls,5.183333333,5,Dwyane Wade
300,-1.539041969,Chicago Bulls,0.066666667,5,Isaiah Canaan
301,-1.539041969,Chicago Bulls,0.57128,5,Jerian Grant
302,-1.539041969,Chicago Bulls,1.538461667,5,Justin Holiday
303,-1.539041969,Chicago Bulls,1.34892,5,Kris Dunn
304,-1.539041969,Chicago Bulls,1.27388,5,Lauri Markkanen
305,-1.539041969,Chicago Bulls,4.166666667,5,Nikola Mirotic
306,-1.539041969,Chicago Bulls,1.284643667,5,Quincy Pondexter
307,-1.539041969,Chicago Bulls,1.1,5,Rajon Rondo
308,-1.539041969,Chicago Bulls,4.596166667,5,Robin Lopez
309,-1.539041969,Chicago Bulls,1.067405667,5,Zach LaVine
310,-3.470284758,Phoenix Suns,2,5,Alan Williams
311,-3.470284758,Phoenix Suns,1.395866333,5,Alex Len
312,-3.470284758,Phoenix Suns,4.539583333,5,Brandon Knight
313,-3.470284758,Phoenix Suns,0.271871667,5,Davon Reed
314,-3.470284758,Phoenix Suns,0.77312,5,Devin Booker
315,-3.470284758,Phoenix Suns,1.4896,5,Dragan Bender
