,rating,Unnamed: 0,Team,Type,mu,sd,name
98,0.593227333,6914,Indiana Pacers,Rookie,0.29,5,Lance Stephenson
99,0.593227333,8232,Indiana Pacers,Rookie,0.35776,5,Miles Plumlee
100,0.593227333,8642,Indiana Pacers,Rookie,0.183333333,5,Orlando Johnson
101,0.593227333,8788,Indiana Pacers,Rookie,0.85804,5,Paul George
102,0.593227333,9667,Indiana Pacers,Non-rookie,4.56225,5,Roy Hibbert
103,0.593227333,9871,Indiana Pacers,Rookie,0.241238667,5,Sam Young
104,0.593227333,11271,Indiana Pacers,Rookie,1.018419667,5,Tyler Hansbrough
105,0.110018763,874,Memphis Grizzlies,Rookie,0.986025667,5,Austin Daye
106,0.110018763,2001,Memphis Grizzlies,Rookie,0.149099333,5,Chris Johnson
107,0.110018763,2001,Memphis Grizzlies,Rookie,0.149099333,5,Chris Johnson
108,0.110018763,2719,Memphis Grizzlies,Non-rookie,1.002072333,5,Darrell Arthur
109,0.110018763,3224,Memphis Grizzlies,Rookie,0.284796333,5,Dexter Pittman
110,0.110018763,3618,Memphis Grizzlies,Rookie,0.73568,5,Ed Davis
111,0.110018763,5585,Memphis Grizzlies,Non-rookie,1,5,Jerryd Bayless
112,0.110018763,5977,Memphis Grizzlies,Rookie,0.254065,5,Jon Leuer
113,0.110018763,7448,Memphis Grizzlies,Non-rookie,4.630453,5,Marc Gasol
114,0.110018763,8125,Memphis Grizzlies,Non-rookie,2.435262,5,Mike Conley
115,0.110018763,8963,Memphis Grizzlies,Rookie,0.41144,5,Quincy Pondexter
116,0.110018763,10629,Memphis Grizzlies,Non-rookie,2.254681667,5,Tayshaun Prince
117,0.110018763,10981,Memphis Grizzlies,Non-rookie,1.1,5,Tony Allen
118,0.110018763,11069,Memphis Grizzlies,Rookie,0.37004,5,Tony Wroten
119,0.110018763,11777,Memphis Grizzlies,Non-rookie,5.5,5,Zach Randolph
120,0.080305063,1085,Los Angeles Clippers,Rookie,2.408964,5,Blake Griffin
121,0.080305063,1716,Los Angeles Clippers,Non-rookie,2.666666667,5,Caron Butler
122,0.080305063,1879,Los Angeles Clippers,Non-rookie,1.333333333,5,Chauncey Billups
123,0.080305063,2069,Los Angeles Clippers,Non-rookie,5.926486,5,Chris Paul
124,0.080305063,2882,Los Angeles Clippers,Non-rookie,3.510992333,5,DeAndre Jordan
125,0.080305063,3810,Los Angeles Clippers,Rookie,0.56924,5,Eric Bledsoe
126,0.080305063,4350,Los Angeles Clippers,Non-rookie,0.658333333,5,Grant Hill
127,0.080305063,4928,Los Angeles Clippers,Non-rookie,1.666666667,5,Jamal Crawford
128,0.080305063,6880,Los Angeles Clippers,Non-rookie,2.733333333,5,Lamar Odom
129,0.080305063,7796,Los Angeles Clippers,Non-rookie,0.409751667,5,Matt Barnes
130,0.080305063,9644,Los Angeles Clippers,Non-rookie,0.382112333,5,Ronny Turiaf
131,0.080305063,9791,Los Angeles Clippers,Non-rookie,0.356503,5,Ryan Hollins
132,0.080305063,11699,Los Angeles Clippers,Non-rookie,0.491702,5,Willie Green
133,0,160,Atlanta Hawks,Non-rookie,4,5,Al Horford
134,0,723,Atlanta Hawks,Non-rookie,0.305284,5,Anthony Tolliver
135,0,2402,Atlanta Hawks,Non-rookie,0.966666667,5,Dahntay Jones
136,0,3153,Atlanta Hawks,Non-rookie,0.746816667,5,DeShawn Stevenson
137,0,3210,Atlanta Hawks,Non-rookie,2.833333333,5,Devin Harris
138,0,4750,Atlanta Hawks,Rookie,0.320731667,5,Ivan Johnson
139,0,5091,Atlanta Hawks,Non-rookie,0.055162333,5,Jannero Pargo
140,0,5417,Atlanta Hawks,Rookie,0.811025667,5,Jeff Teague
141,0,5482,Atlanta Hawks,Rookie,0.254065,5,Jeremy Tyler
142,0,5796,Atlanta Hawks,Non-rookie,1.166666667,5,Johan Petro
143,0,5836,Atlanta Hawks,Rookie,0.40152,5,John Jenkins
144,0,6156,Atlanta Hawks,Non-rookie,4.4,5,Josh Smith
145,0,6821,Atlanta Hawks,Non-rookie,1.666666667,5,Kyle Korver
146,0,8195,Atlanta Hawks,Rookie,0.157868,5,Mike Scott
147,0,11801,Atlanta Hawks,Non-rookie,1.749583333,5,Zaza Pachulia
148,-0.542028136,1700,New York Knicks,Non-rookie,6.483333333,5,Carmelo Anthony
149,-0.542028136,1938,New York Knicks,Rookie,0.157868,5,Chris Copeland
150,-0.542028136,4683,New York Knicks,Rookie,0.56012,5,Iman Shumpert
151,-0.542028136,5053,New York Knicks,Non-rookie,0.284796333,5,James White
152,-0.542028136,5236,New York Knicks,Non-rookie,1.03,5,Jason Kidd
153,-0.542028136,6509,New York Knicks,Non-rookie,0.145823333,5,Kenyon Martin
154,-0.542028136,7506,New York Knicks,Non-rookie,1.530112667,5,Marcus Camby
155,-0.542028136,8698,New York Knicks,Rookie,0.157868,5,Pablo Prigioni
156,-0.542028136,9143,New York Knicks,Non-rookie,0.450727,5,Rasheed Wallace
157,-0.542028136,9201,New York Knicks,Rookie,1.160151,5,Raymond Felton
158,-0.542028136,10504,New York Knicks,Non-rookie,1.351351667,5,Steve Novak
159,-0.542028136,11352,New York Knicks,Non-rookie,4.534729333,5,Tyson Chandler
160,-0.593134507,598,Los Angeles Lakers,Non-rookie,0.450727,5,Antawn Jamison
161,-0.593134507,1976,Los Angeles Lakers,Non-rookie,1.166666667,5,Chris Duhon
162,-0.593134507,2658,Los Angeles Lakers,Rookie,0.064076,5,Darius Johnson-Odom
163,-0.593134507,2675,Los Angeles Lakers,Rookie,0.320731667,5,Darius Morris
164,-0.593134507,3199,Los Angeles Lakers,Rookie,0.351463,5,Devin Ebanks
165,-0.593134507,3549,Los Angeles Lakers,Non-rookie,6.51212,5,Dwight Howard
166,-0.593134507,3598,Los Angeles Lakers,Rookie,0.413333333,5,Earl Clark
167,-0.593134507,5659,Los Angeles Lakers,Rookie,0.5,5,Jodie Meeks
168,-0.593134507,6049,Los Angeles Lakers,Rookie,1.210842333,5,Jordan Hill
169,-0.593134507,6738,Los Angeles Lakers,Non-rookie,9.283049667,5,Kobe Bryant
170,-0.593134507,7931,Los Angeles Lakers,Non-rookie,2.419653333,5,Metta World Peace
171,-0.593134507,8777,Los Angeles Lakers,Non-rookie,6.333333333,5,Pau Gasol
172,-0.593134507,9459,Los Angeles Lakers,Rookie,0.157868,5,Robert Sacre
173,-0.593134507,10450,Los Angeles Lakers,Non-rookie,1.333333333,5,Steve Blake
174,-0.593134507,10495,Los Angeles Lakers,Non-rookie,2.966666667,5,Steve Nash
175,-0.623984687,681,Dallas Mavericks,Rookie,1.333333333,5,Anthony Morrow
176,-0.623984687,1000,Dallas Mavericks,Rookie,0.157868,5,Bernard James
177,-0.623984687,1329,Dallas Mavericks,Non-rookie,2.099666667,5,Brendan Haywood
178,-0.623984687,1955,Dallas Mavericks,Non-rookie,0.024297333,5,Chris Douglas-Roberts
179,-0.623984687,2015,Dallas Mavericks,Non-rookie,2.666666667,5,Chris Kaman
180,-0.623984687,2732,Dallas Mavericks,Rookie,0.773114667,5,Darren Collison
181,-0.623984687,3034,Dallas Mavericks,Non-rookie,0.137869333,5,Derek Fisher
182,-0.623984687,3299,Dallas Mavericks,Non-rookie,6.969042667,5,Dirk Nowitzki
183,-0.623984687,3323,Dallas Mavericks,Rookie,0.42552,5,Dominique Jones
184,-0.623984687,3698,Dallas Mavericks,Non-rookie,0.007950667,5,Eddy Curry
185,-0.623984687,3779,Dallas Mavericks,Non-rookie,5.353284667,5,Elton Brand
186,-0.623984687,4848,Dallas Mavericks,Rookie,0.200163667,5,Jae Crowder
187,-0.623984687,5093,Dallas Mavericks,Rookie,0.38544,5,Jared Cunningham
188,-0.623984687,8164,Dallas Mavericks,Non-rookie,0.265133667,5,Mike James
189,-0.623984687,8587,Dallas Mavericks,Non-rookie,1.34,5,O.J. Mayo
190,-0.623984687,9556,Dallas Mavericks,Rookie,0.742444333,5,Rodrigue Beaubois
191,-0.623984687,10238,Dallas Mavericks,Non-rookie,2.882121333,5,Shawn Marion
192,-0.623984687,11249,Dallas Mavericks,Non-rookie,0.071586,5,Troy Murphy
193,-0.623984687,11445,Dallas Mavericks,Non-rookie,1.03,5,Vince Carter
194,-1.938441846,173,Utah Jazz,Non-rookie,5,5,Al Jefferson
195,-1.938441846,211,Utah Jazz,Rookie,0.72388,5,Alec Burks
196,-1.938441846,3101,Utah Jazz,Rookie,1.58444,5,Derrick Favors
197,-1.938441846,3614,Utah Jazz,Non-rookie,0.666666667,5,Earl Watson
198,-1.938441846,3798,Utah Jazz,Rookie,1.48112,5,Enes Kanter
199,-1.938441846,4323,Utah Jazz,Rookie,0.90324,5,Gordon Hayward
200,-1.938441846,5453,Utah Jazz,Rookie,0.598290667,5,Jeremy Evans
201,-1.938441846,6624,Utah Jazz,Rookie,0.157868,5,Kevin Murphy
202,-1.938441846,7772,Utah Jazz,Non-rookie,2.7625,5,Marvin Williams
203,-1.938441846,8298,Utah Jazz,Non-rookie,2.833333333,5,Mo Williams
204,-1.938441846,8807,Utah Jazz,Non-rookie,2.867877667,5,Paul Millsap
205,-1.938441846,9085,Utah Jazz,Non-rookie,0.833333333,5,Randy Foye
206,-2.073691149,3230,Phoenix Suns,Rookie,0.157868,5,Diante Garrett
207,-2.073691149,4311,Phoenix Suns,Non-rookie,2.5,5,Goran Dragic
208,-2.073691149,4503,Phoenix Suns,Non-rookie,0.433333333,5,Hamed Haddadi
209,-2.073691149,5100,Phoenix Suns,Non-rookie,1.416666667,5,Jared Dudley
210,-2.073691149,6103,Phoenix Suns,Non-rookie,2.333333333,5,Josh Childress
211,-2.073691149,6416,Phoenix Suns,Rookie,0.63972,5,Kendall Marshall
212,-2.073691149,7286,Phoenix Suns,Non-rookie,1.382836667,5,Luis Scola
213,-2.073691149,7331,Phoenix Suns,Rookie,0.157868,5,Luke Zeller
214,-2.073691149,7466,Phoenix Suns,Non-rookie,2.419653333,5,Marcin Gortat
215,-2.073691149,7530,Phoenix Suns,Rookie,0.65332,5,Marcus Morris
216,-2.073691149,7688,Phoenix Suns,Rookie,0.68768,5,Markieff Morris
217,-2.073691149,7950,Phoenix Suns,Rookie,1.916666667,5,Michael Beasley
218,-2.073691149,10146,Phoenix Suns,Non-rookie,1.166666667,5,Shannon Brown
219,-2.073691149,11612,Phoenix Suns,Rookie,1.42852,5,Wesley Johnson
220,-2.354783037,151,Orlando Magic,Non-rookie,2.229133333,5,Al Harrington
221,-2.354783037,541,Orlando Magic,Rookie,0.47272,5,Andrew Nicholson
222,-2.354783037,841,Orlando Magic,Non-rookie,2.583333333,5,Arron Afflalo
223,-2.354783037,988,Orlando Magic,Non-rookie,2.457333333,5,Beno Udrih
224,-2.354783037,3006,Orlando Magic,Rookie,0.157834667,5,DeQuan Jones
225,-2.354783037,3425,Orlando Magic,Rookie,0.216666667,5,Doron Lamb
226,-2.354783037,4276,Orlando Magic,Non-rookie,2.133333333,5,Glen Davis
227,-2.354783037,4496,Orlando Magic,Non-rookie,1.333333333,5,Hakim Warrick
228,-2.354783037,4561,Orlando Magic,Non-rookie,3.938616667,5,Hedo Turkoglu
229,-2.354783037,4964,Orlando Magic,Non-rookie,2.866666667,5,Jameer Nelson
230,-2.354783037,7885,Orlando Magic,Rookie,0.57732,5,Maurice Harkless
231,-2.354783037,8559,Orlando Magic,Rookie,0.5896,5,Nikola Vucevic
232,-2.354783037,8938,Orlando Magic,Non-rookie,0.8758,5,Quentin Richardson
233,-2.354783037,10885,Orlando Magic,Rookie,0.50816,5,Tobias Harris
234,-2.576153007,1285,Milwaukee Bucks,Rookie,1.059831,5,Brandon Jennings
235,-2.576153007,3501,Milwaukee Bucks,Non-rookie,2.229133333,5,Drew Gooden
236,-2.576153007,3714,Milwaukee Bucks,Rookie,1.17496,5,Ekpe Udoh
237,-2.576153007,3942,Milwaukee Bucks,Non-rookie,2.633333333,5,Ersan Ilyasova
238,-2.576153007,4473,Milwaukee Bucks,Rookie,0.5,5,Gustavo Ayon
239,-2.576153007,5773,Milwaukee Bucks,Non-rookie,0.450727,5,Joel Przybilla
240,-2.576153007,5829,Milwaukee Bucks,Rookie,0.60776,5,John Henson
