,Team,rating,Type,mu,sd,name
352,New York Knicks,-2.7420113280000002,Non-rookie,3.9159633333333335,5,Courtney Lee
354,New York Knicks,-2.7420113280000002,Non-rookie,5.921666666666667,5,Joakim Noah
356,New York Knicks,-2.7420113280000002,Non-rookie,1.3625,5,Kyle O'Quinn
358,New York Knicks,-2.7420113280000002,Non-rookie,0.49046066666666666,5,Ramon Sessions
359,New York Knicks,-2.7420113280000002,Non-rookie,2.2184416666666666,5,Lance Thomas
364,Phoenix Suns,-4.014177796,Non-rookie,4.333333333333333,5,Tyson Chandler
367,Phoenix Suns,-4.014177796,Non-rookie,3.3333333333333335,5,Jared Dudley
371,Phoenix Suns,-4.014177796,Non-rookie,1.3958663333333334,5,Alex Len
372,Phoenix Suns,-4.014177796,Non-rookie,5.461391666666667,5,Greg Monroe
379,Philadelphia 76ers,-4.722418349,Non-rookie,3.0,5,Jerryd Bayless
380,Philadelphia 76ers,-4.722418349,Non-rookie,2.908333333333333,5,Trevor Booker
381,Philadelphia 76ers,-4.722418349,Non-rookie,5.5660343333333335,5,Robert Covington
385,Philadelphia 76ers,-4.722418349,Non-rookie,3.6666666666666665,5,Amir Johnson
392,Los Angeles Lakers,-5.179052184,Non-rookie,0.36837433333333336,5,Andrew Bogut
393,Los Angeles Lakers,-5.179052184,Non-rookie,2.293122,5,Corey Brewer
395,Los Angeles Lakers,-5.179052184,Non-rookie,5.915298,5,Kentavious Caldwell-Pope
396,Los Angeles Lakers,-5.179052184,Non-rookie,5.73,5,Luol Deng
398,Los Angeles Lakers,-5.179052184,Non-rookie,2.4736373333333335,5,Channing Frye
403,Los Angeles Lakers,-5.179052184,Non-rookie,7.54745,5,Brook Lopez
405,Los Angeles Lakers,-5.179052184,Non-rookie,2.0871316666666666,5,Isaiah Thomas
407,Los Angeles Lakers,-5.179052184,Non-rookie,0.027709666666666667,5,Derrick Williams
411,Orlando Magic,-5.4976070560000005,Non-rookie,2.4166666666666665,5,D.J. Augustin
413,Orlando Magic,-5.4976070560000005,Non-rookie,5.666666666666667,5,Bismack Biyombo
414,Orlando Magic,-5.4976070560000005,Non-rookie,5.666666666666667,5,Evan Fournier
418,Orlando Magic,-5.4976070560000005,Non-rookie,2.0,5,Shelvin Mack
