"X","Unnamed..0","rating","Team","mu","sd","name","Contract.Value","Year","Type","coefs","index","player_id","player_name","finalpriors","finalse"
58,135,0.562154828,"New Orleans Pelicans",0.525743333,5,"Ian Clark","$1,577,230.00 ",2017,"Rookie",-0.57254736,427,203546,"Ian Clark",-0.370774289107666,0.26251551694063
59,143,0.562154828,"New Orleans Pelicans",0.033333333,5,"Quinn Cook","$100,000.00 ",2017,"Rookie",3.547307082,255,1626188,"Quinn Cook",-0.731397992969847,0.320088377568141
60,154,-0.567018304,"Indiana Pacers",0.85,5,"Domantas Sabonis","$2,550,000.00 ",2017,"Rookie",-0.726083448,348,1627734,"Domantas Sabonis",-0.068473431788343,0.247585979837631
61,155,-0.567018304,"Indiana Pacers",0.033333333,5,"Georges Niang","$100,000.00 ",2017,"Rookie",-0.050207905,179,1627777,"Georges Niang",-0.666571273575315,0.31507777162524
62,156,-0.567018304,"Indiana Pacers",0.316666667,5,"Ike Anigbogu","$950,000.00 ",2017,"Rookie",-3.113020699,271,1628387,"Ike Anigbogu",-0.459067940306899,0.273659370369874
63,157,-0.567018304,"Indiana Pacers",0.490460667,5,"Joe Young","$1,471,382.00 ",2017,"Rookie",-5.991034292,3,1626202,"Joe Young",-0.331787348952085,0.256564873453655
64,159,-0.567018304,"Indiana Pacers",0.85664,5,"Myles Turner","$2,569,920.00 ",2017,"Rookie",1.372436443,309,1626167,"Myles Turner",-0.0636105301542477,0.247781319382348
65,163,-1.813798095,"Denver Nuggets",1.12716,5,"Emmanuel Mudiay","$3,381,480.00 ",2017,"Rookie",-4.77066208,142,1626144,"Emmanuel Mudiay",0.206087379924876,0.272965835784933
66,164,-1.813798095,"Denver Nuggets",0.850018333,5,"Gary Harris","$2,550,055.00 ",2017,"Rookie",5.139888355,32,203914,"Gary Harris",0.0031186050257489,0.25623217969609
67,165,-1.813798095,"Denver Nuggets",1.11844,5,"Jamal Murray","$3,355,320.00 ",2017,"Rookie",4.613053365,31,1627750,"Jamal Murray",0.199701159706607,0.272136162111099
68,169,-1.813798095,"Denver Nuggets",0.56688,5,"Malik Beasley","$1,700,640.00 ",2017,"Rookie",-3.742299388,208,1627736,"Malik Beasley",-0.204241916393036,0.261487369866468
69,171,-1.813798095,"Denver Nuggets",0.490460667,5,"Nikola Jokic","$1,471,382.00 ",2017,"Rookie",5.796173083,503,203999,"Nikola Jokic",-0.260208738580111,0.266736266074684
70,175,-1.813798095,"Denver Nuggets",0.8138,5,"Trey Lyles","$2,441,400.00 ",2017,"Rookie",0.858827884,448,1626168,"Trey Lyles",-0.023406423698635,0.255616038096538
71,176,-1.813798095,"Denver Nuggets",0.52648,5,"Tyler Lydon","$1,579,440.00 ",2017,"Rookie",0,537,1628399,"Tyler Lydon",-0.233829450431809,0.264070941723624
72,180,-2.37472787,"Washington Wizards",0.490460667,5,"Chris McCullough","$1,471,382.00 ",2017,"Rookie",0.406465405,356,1626191,"Chris McCullough",-0.228005318136023,0.27746807207776
73,188,-2.37472787,"Washington Wizards",0.666666667,5,"Tim Frazier","$2,000,000.00 ",2017,"Rookie",3.022018886,515,204025,"Tim Frazier",-0.0989582631153298,0.267743713537287
74,189,-2.37472787,"Washington Wizards",1,5,"Tomas Satoransky","$3,000,000.00 ",2017,"Rookie",-0.40876592,56,203107,"Tomas Satoransky",0.145163304617222,0.27250020823402
75,192,-5.382403139,"Los Angeles Clippers",0.44372,5,"Brice Johnson","$1,331,160.00 ",2017,"Rookie",-6.82164963,222,1627744,"Brice Johnson",-0.0895635253825765,0.383742391452301
76,195,-5.382403139,"Los Angeles Clippers",0.271871667,5,"Jawun Evans","$815,615.00 ",2017,"Rookie",8.963091005,70,1628393,"Jawun Evans",-0.215419178900989,0.398964017288929
77,198,-5.382403139,"Los Angeles Clippers",0.490460667,5,"Montrezl Harrell","$1,471,382.00 ",2017,"Rookie",2.782002989,71,1626149,"Montrezl Harrell",-0.0553323106336298,0.380493945890083
78,200,-5.382403139,"Los Angeles Clippers",0.5982,5,"Sam Dekker","$1,794,600.00 ",2017,"Rookie",-2.81447274,181,1626155,"Sam Dekker",0.0235721740805331,0.374550145718334
79,201,-5.382403139,"Los Angeles Clippers",0.271871667,5,"Sindarius Thornwell","$815,615.00 ",2017,"Rookie",-7.060799435,182,1628414,"Sindarius Thornwell",-0.215419178900989,0.398964017288929
80,203,-5.382403139,"Los Angeles Clippers",0.525743333,5,"Willie Reed","$1,577,230.00 ",2017,"Rookie",0.634957709,344,203186,"Willie Reed",-0.029492531394678,0.378307177291982
81,205,-1.065368971,"Charlotte Hornets",0.271871667,5,"Dwayne Bacon","$815,615.00 ",2017,"Rookie",6.775430898,461,1628407,"Dwayne Bacon",-0.463263512683405,0.281153143236134
82,207,-1.065368971,"Charlotte Hornets",0.9492,5,"Frank Kaminsky","$2,847,600.00 ",2017,"Rookie",2.393027289,233,1626163,"Frank Kaminsky",0.0327878513775552,0.252572090943298
83,211,-1.065368971,"Charlotte Hornets",0.96816,5,"Malik Monk","$2,904,480.00 ",2017,"Rookie",-8.572503289,212,1628370,"Malik Monk",0.0466734861640684,0.253663076570993
84,216,-1.065368971,"Charlotte Hornets",0.437537,5,"Treveon Graham","$1,312,611.00 ",2017,"Rookie",-2.442165165,474,1626203,"Treveon Graham",-0.341936070129391,0.26273213078393
85,217,-1.904907009,"Miami Heat",0.83012,5,"Bam Adebayo","$2,490,360.00 ",2017,"Rookie",-6.887809352,84,1628389,"Bam Adebayo",-0.00622359717602683,0.257281926607152
86,222,-1.904907009,"Miami Heat",0.490460667,5,"Jordan Mickey","$1,471,382.00 ",2017,"Rookie",-2.42647485,516,1626175,"Jordan Mickey",-0.25497810402564,0.268237566837845
87,223,-1.904907009,"Miami Heat",0.490460667,5,"Josh Richardson","$1,471,382.00 ",2017,"Rookie",2.864861853,351,1626196,"Josh Richardson",-0.25497810402564,0.268237566837845
88,224,-1.904907009,"Miami Heat",0.90168,5,"Justise Winslow","$2,705,040.00 ",2017,"Rookie",-1.645799774,221,1626159,"Justise Winslow",0.0461844210372055,0.259160003218696
89,226,-1.904907009,"Miami Heat",0.437537,5,"Okaro White","$1,312,611.00 ",2017,"Rookie",-1.033198038,390,1627855,"Okaro White",-0.293737529738986,0.27274478490454
90,227,-1.904907009,"Miami Heat",0.437537,5,"Rodney McGruder","$1,312,611.00 ",2017,"Rookie",0.323404655,218,203585,"Rodney McGruder",-0.293737529738986,0.27274478490454
91,231,-0.860694254,"Milwaukee Bucks",0.71168,5,"D.J. Wilson","$2,135,040.00 ",2017,"Rookie",-5.040875024,304,1628391,"D.J. Wilson",-0.152913949904311,0.246846046868856
92,240,-0.860694254,"Milwaukee Bucks",0.437537,5,"Malcolm Brogdon","$1,312,611.00 ",2017,"Rookie",-0.457327765,452,1627763,"Malcolm Brogdon",-0.353686606933799,0.261624345496147
93,243,-0.860694254,"Milwaukee Bucks",0.62968,5,"Rashad Vaughn","$1,889,040.00 ",2017,"Rookie",-6.959130367,362,1626173,"Rashad Vaughn",-0.212967855626573,0.249021775320492
94,244,-0.860694254,"Milwaukee Bucks",0.271871667,5,"Sterling Brown","$815,615.00 ",2017,"Rookie",-1.625686266,174,1628425,"Sterling Brown",-0.475014049487812,0.279987652601904
95,245,-0.860694254,"Milwaukee Bucks",0.89472,5,"Thon Maker","$2,684,160.00 ",2017,"Rookie",-1.473464369,26,1627748,"Thon Maker",-0.0188619144969601,0.249245709114135
96,252,0.16488799,"Detroit Pistons",0.579777667,5,"Eric Moreland","$1,739,333.00 ",2017,"Rookie",-2.453173261,178,203961,"Eric Moreland",-0.308394047835378,0.254652830260144
97,253,0.16488799,"Detroit Pistons",0.5936,5,"Henry Ellenson","$1,780,800.00 ",2017,"Rookie",-1.337777145,451,1627740,"Henry Ellenson",-0.298271059020211,0.254016805329145
98,259,0.16488799,"Detroit Pistons",0.91976,5,"Luke Kennard","$2,759,280.00 ",2017,"Rookie",3.69935974,205,1628379,"Luke Kennard",-0.0594029871863955,0.255178718765414
99,262,0.16488799,"Detroit Pistons",1.0326,5,"Stanley Johnson","$3,097,800.00 ",2017,"Rookie",-1.34284732,328,1626169,"Stanley Johnson",0.023237046005068,0.26266999036017
100,265,5.179052184,"Los Angeles Lakers",1.8398,5,"Brandon Ingram","$5,519,400.00 ",2017,"Rookie",2.11931737,473,1627742,"Brandon Ingram",0.326534717043352,0.525965239710599
101,266,5.179052184,"Los Angeles Lakers",0.016666667,5,"Briante Weber","$50,000.00 ",2017,"Rookie",0.211006357,244,1627362,"Briante Weber",-1.00866378660415,0.455208113046146
102,269,5.179052184,"Los Angeles Lakers",0.437537,5,"Ivica Zubac","$1,312,611.00 ",2017,"Rookie",-1.113048166,261,1627826,"Ivica Zubac",-0.700433209783672,0.423629624829547
103,271,5.179052184,"Los Angeles Lakers",0.46484,5,"Josh Hart","$1,394,520.00 ",2017,"Rookie",1.77766154,302,1628404,"Josh Hart",-0.68043745627227,0.422574720944461
104,272,5.179052184,"Los Angeles Lakers",1.383080667,5,"Julius Randle","$4,149,242.00 ",2017,"Rookie",3.204982907,47,203944,"Julius Randle",-0.00795040204830988,0.461469316100139
105,274,5.179052184,"Los Angeles Lakers",0.47452,5,"Kyle Kuzma","$1,423,560.00 ",2017,"Rookie",-2.095265356,48,1628398,"Kyle Kuzma",-0.673348165938228,0.4222315313148
106,277,5.179052184,"Los Angeles Lakers",0.271871667,5,"Thomas Bryant","$815,615.00 ",2017,"Rookie",-1.220694852,215,1628418,"Thomas Bryant",-0.821760652337685,0.432723762526076
107,278,5.179052184,"Los Angeles Lakers",0.508101667,5,"Tyler Ennis","$1,524,305.00 ",2017,"Rookie",2.550984556,317,203898,"Tyler Ennis",-0.648754138328296,0.421166736745403
108,279,5.179052184,"Los Angeles Lakers",0.016666667,5,"Vander Blue","$50,000.00 ",2017,"Rookie",0,395,203505,"Vander Blue",-1.00866378660415,0.455208113046146
155,275,5.179052184,"Los Angeles Lakers",2.09552,5,"Lonzo Ball","$6,286,560.00 ",2017,"Rookie",1.867431783,49,1628366,"Lonzo Ball",0.513815019132337,0.570799355368495
109,282,1.412858355,"Dallas Mavericks",0.437537,5,"Dorian Finney-Smith","$1,312,611.00 ",2017,"Rookie",-0.262328915,388,1627827,"Dorian Finney-Smith",-0.484213053973233,0.284852013969953
110,284,1.412858355,"Dallas Mavericks",0.016666667,5,"Gian Clavell","$50,000.00 ",2017,"Rookie",1.546268806,283,1628492,"Gian Clavell",-0.792443630793707,0.335129309218932
111,286,1.412858355,"Dallas Mavericks",1.3013,5,"J.J. Barea","$3,903,900.00 ",2017,"Rookie",0.586407511,368,200826,"J.J. Barea",0.148376479787474,0.315403951265194
112,287,1.412858355,"Dallas Mavericks",0.525773333,5,"Jeff Withey","$1,577,320.00 ",2017,"Rookie",1.784170758,526,203481,"Jeff Withey",-0.419591878079817,0.279173638017412
113,289,1.412858355,"Dallas Mavericks",0.271871667,5,"Maxi Kleber","$815,615.00 ",2017,"Rookie",-3.256273159,329,1628467,"Maxi Kleber",-0.605540496527246,0.300456520267814
114,291,1.412858355,"Dallas Mavericks",0.490460667,5,"Salah Mejri","$1,471,382.00 ",2017,"Rookie",-2.500454056,336,1626257,"Salah Mejri",-0.445453628259887,0.281213520674763
115,293,1.412858355,"Dallas Mavericks",0.437537,5,"Yogi Ferrell","$1,312,611.00 ",2017,"Rookie",3.391779043,152,1627812,"Yogi Ferrell",-0.484213053973233,0.284852013969953
116,295,2.742011328,"New York Knicks",0.366666667,5,"Damyean Dotson","$1,100,000.00 ",2017,"Rookie",-4.58594244,197,1628422,"Damyean Dotson",-0.61242370408601,0.328692467646777
117,296,2.742011328,"New York Knicks",1.098331333,5,"Doug McDermott","$3,294,994.00 ",2017,"Rookie",4.760490287,478,203926,"Doug McDermott",-0.0765783275948618,0.332878107573069
118,298,2.742011328,"New York Knicks",1.16704,5,"Frank Ntilikina","$3,501,120.00 ",2017,"Rookie",-0.708732427,414,1628373,"Frank Ntilikina",-0.0262585250299803,0.339333532723474
119,301,2.742011328,"New York Knicks",1.5012,5,"Kristaps Porzingis","$4,503,600.00 ",2017,"Rookie",3.81078354,86,204001,"Kristaps Porzingis",0.218468464435276,0.382410835948233
