,rating,Team,Type,mu,sd,name
431,-13.0964578477965,Philadelphia 76ers,Rookie,0.3333333333333333,5,Robert Covington
432,-13.0964578477965,Philadelphia 76ers,Rookie,0.2816863333333333,5,Jerami Grant
433,-13.0964578477965,Philadelphia 76ers,Rookie,0.35,5,Richaun Holmes
435,-13.0964578477965,Philadelphia 76ers,Rookie,0.7149073333333333,5,Kendall Marshall
436,-13.0964578477965,Philadelphia 76ers,Rookie,0.175031,5,T.J. McConnell
438,-13.0964578477965,Philadelphia 76ers,Rookie,1.1526,5,Nerlens Noel
439,-13.0964578477965,Philadelphia 76ers,Rookie,1.52756,5,Jahlil Okafor
440,-13.0964578477965,Philadelphia 76ers,Rookie,0.05757966666666667,5,Phil Pressey
442,-13.0964578477965,Philadelphia 76ers,Rookie,0.95648,5,Nik Stauskas
443,-13.0964578477965,Philadelphia 76ers,Rookie,0.3157586666666667,5,Hollis Thompson
445,-13.0964578477965,Philadelphia 76ers,Rookie,0.10192966666666667,5,Christian Wood
446,-13.0964578477965,Philadelphia 76ers,Rookie,0.7264513333333333,5,Tony Wroten
447,-13.0964578477965,Philadelphia 76ers,Rookie,0.2816863333333333,5,JaKarr Sampson
450,-13.5988448234497,New York Knicks,Rookie,0.035296,5,Thanasis Antetokounmpo
453,-13.5988448234497,New York Knicks,Rookie,0.2816863333333333,5,Cleanthony Early
454,-13.5988448234497,New York Knicks,Rookie,0.2816863333333333,5,Langston Galloway
455,-13.5988448234497,New York Knicks,Rookie,0.52412,5,Jerian Grant
457,-13.5988448234497,New York Knicks,Rookie,1.25,5,Kyle O'Quinn
458,-13.5988448234497,New York Knicks,Rookie,1.37724,5,Kristaps Porzingis
