,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
x[473],-1.608,1.738,-4.956,1.426,0.032,0.037,2954.0,1128.0,1.0
x[474],-0.414,1.309,-2.775,2.196,0.023,0.041,3397.0,993.0,1.01
x[475],1.427,1.907,-2.212,4.905,0.031,0.034,3871.0,1434.0,1.0
x[476],-1.431,1.908,-4.941,2.36,0.032,0.047,3607.0,900.0,1.0
x[477],-0.259,1.591,-3.389,2.633,0.026,0.042,3834.0,1096.0,1.0
x[478],-0.869,1.248,-3.362,1.38,0.018,0.026,4629.0,1194.0,1.0
x[479],-0.489,1.614,-3.567,2.451,0.025,0.044,4083.0,1064.0,1.0
x[480],-0.22,1.557,-3.027,2.717,0.027,0.042,3384.0,1293.0,1.0
x[481],-0.211,2.37,-4.736,3.946,0.042,0.057,3287.0,1483.0,1.0
x[482],-0.168,1.137,-2.334,1.841,0.02,0.03,3318.0,1346.0,1.0
x[483],-1.454,1.186,-3.493,1.045,0.022,0.021,3037.0,1116.0,1.0
x[484],0.588,1.677,-2.709,3.635,0.032,0.042,2792.0,1156.0,1.0
x[485],-0.001,1.668,-3.157,2.952,0.028,0.058,3405.0,889.0,1.0
x[486],0.117,1.697,-3.249,3.383,0.031,0.05,3033.0,1211.0,1.0
x[487],-0.968,1.316,-3.389,1.574,0.024,0.027,2958.0,1417.0,1.0
x[488],0.935,1.508,-1.797,3.682,0.025,0.03,3540.0,1412.0,1.0
x[489],0.286,1.584,-2.556,3.273,0.028,0.045,3138.0,1212.0,1.0
x[490],-0.035,1.631,-3.126,2.903,0.028,0.047,3414.0,1236.0,1.0
x[491],-0.138,1.664,-3.294,2.8,0.028,0.047,3496.0,1081.0,1.0
x[492],-1.098,1.234,-3.327,1.242,0.018,0.021,4491.0,1596.0,1.0
x[493],-0.733,1.414,-3.131,2.023,0.023,0.035,3637.0,1190.0,1.0
x[494],-0.15,1.377,-2.811,2.361,0.022,0.039,4024.0,1447.0,1.0
x[495],0.604,1.819,-2.792,4.061,0.035,0.046,2788.0,1330.0,1.0
