,Team,rating,Type,mu,sd,name
254,Minnesota Timberwolves,0.487595368,Rookie,0.49046066666666666,5,Tyus Jones
256,Minnesota Timberwolves,0.487595368,Rookie,0.74916,5,Justin Patton
258,Minnesota Timberwolves,0.487595368,Rookie,2.07228,5,Karl-Anthony Towns
262,Atlanta Hawks,0.0,Rookie,0.5224,5,DeAndre' Bembry
263,Atlanta Hawks,0.0,Rookie,0.3017496666666667,5,Nicolas Brussino
264,Atlanta Hawks,0.0,Rookie,0.24330633333333335,5,Tyler Cavanaugh
265,Atlanta Hawks,0.0,Rookie,0.64564,5,John Collins
267,Atlanta Hawks,0.0,Rookie,2.0,5,Dewayne Dedmon
268,Atlanta Hawks,0.0,Rookie,0.8333333333333334,5,Malcolm Delaney
269,Atlanta Hawks,0.0,Rookie,0.2718716666666667,5,Tyler Dorsey
273,Atlanta Hawks,0.0,Rookie,0.04608,5,Damion Lee
274,Atlanta Hawks,0.0,Rookie,0.064512,5,Jaylen Morris
275,Atlanta Hawks,0.0,Rookie,1.6666666666666667,5,Mike Muscala
277,Atlanta Hawks,0.0,Rookie,0.80752,5,Taurean Prince
279,Atlanta Hawks,0.0,Rookie,0.437537,5,Isaiah Taylor
280,Atlanta Hawks,0.0,Rookie,0.437537,5,Okaro White
281,Atlanta Hawks,0.0,Rookie,0.03333333333333333,5,Quinn Cook
283,Detroit Pistons,-0.16488799,Rookie,0.24938666666666667,5,Dwight Buycks
285,Detroit Pistons,-0.16488799,Rookie,0.5936,5,Henry Ellenson
286,Detroit Pistons,-0.16488799,Rookie,2.2222223333333333,5,Langston Galloway
289,Detroit Pistons,-0.16488799,Rookie,1.0326,5,Stanley Johnson
290,Detroit Pistons,-0.16488799,Rookie,0.91976,5,Luke Kennard
292,Detroit Pistons,-0.16488799,Rookie,0.5797776666666666,5,Eric Moreland
296,New Orleans Pelicans,-0.5621548279999999,Rookie,0.49046066666666666,5,Ian Clark
300,New Orleans Pelicans,-0.5621548279999999,Rookie,0.437537,5,Cheick Diallo
301,New Orleans Pelicans,-0.5621548279999999,Rookie,0.049439333333333335,5,Larry Drew II
309,New Orleans Pelicans,-0.5621548279999999,Rookie,0.62968,5,Rashad Vaughn
312,Dallas Mavericks,-1.412858355,Rookie,0.437537,5,Yogi Ferrell
313,Dallas Mavericks,-1.412858355,Rookie,0.437537,5,Dorian Finney-Smith
314,Dallas Mavericks,-1.412858355,Rookie,0.05819033333333333,5,Aaron Harrison
315,Dallas Mavericks,-1.412858355,Rookie,0.024719666666666668,5,Scotty Hopson
316,Dallas Mavericks,-1.412858355,Rookie,0.2718716666666667,5,Maxi Kleber
318,Dallas Mavericks,-1.412858355,Rookie,1.0983313333333333,5,Doug McDermott
320,Dallas Mavericks,-1.412858355,Rookie,0.49046066666666666,5,Salah Mejri
324,Dallas Mavericks,-1.412858355,Rookie,1.07276,5,Dennis Smith Jr.
325,Dallas Mavericks,-1.412858355,Rookie,0.01536,5,Jameel Warney
326,Dallas Mavericks,-1.412858355,Rookie,0.5257733333333333,5,Jeff Withey
327,Dallas Mavericks,-1.412858355,Rookie,0.016666666666666666,5,Gian Clavell
330,Sacramento Kings,-2.167864662,Rookie,0.817075,5,Bruno Caboclo
332,Sacramento Kings,-2.167864662,Rookie,1.23472,5,Willie Cauley-Stein
333,Sacramento Kings,-2.167864662,Rookie,1.5364,5,De'Aaron Fox
334,Sacramento Kings,-2.167864662,Rookie,1.22516,5,Buddy Hield
335,Sacramento Kings,-2.167864662,Rookie,0.78852,5,Justin Jackson
338,Sacramento Kings,-2.167864662,Rookie,0.437537,5,Skal Labissiere
339,Sacramento Kings,-2.167864662,Rookie,0.76712,5,Georgios Papagiannis
343,Sacramento Kings,-2.167864662,Rookie,0.394795,5,Frank Mason
344,New York Knicks,-2.7420113280000002,Rookie,1.4426666666666668,5,Ron Baker
347,New York Knicks,-2.7420113280000002,Rookie,0.36666666666666664,5,Damyean Dotson
351,New York Knicks,-2.7420113280000002,Rookie,1.008345,5,Mindaugas Kuzminskas
353,New York Knicks,-2.7420113280000002,Rookie,1.12716,5,Emmanuel Mudiay
355,New York Knicks,-2.7420113280000002,Rookie,1.16704,5,Frank Ntilikina
357,New York Knicks,-2.7420113280000002,Rookie,1.5012,5,Kristaps Porzingis
360,New York Knicks,-2.7420113280000002,Rookie,0.03333333333333333,5,Marshall Plumlee
361,Phoenix Suns,-4.014177796,Rookie,1.4896,5,Dragan Bender
362,Phoenix Suns,-4.014177796,Rookie,0.77312,5,Devin Booker
363,Phoenix Suns,-4.014177796,Rookie,0.33251566666666665,5,Isaiah Canaan
365,Phoenix Suns,-4.014177796,Rookie,1.0246,5,Marquese Chriss
366,Phoenix Suns,-4.014177796,Rookie,1.1361733333333333,5,Troy Daniels
368,Phoenix Suns,-4.014177796,Rookie,0.033792,5,Josh Gray
369,Phoenix Suns,-4.014177796,Rookie,0.08905333333333333,5,Shaquille Harrison
370,Phoenix Suns,-4.014177796,Rookie,1.69668,5,Josh Jackson
373,Phoenix Suns,-4.014177796,Rookie,1.11078,5,Elfrid Payton
374,Phoenix Suns,-4.014177796,Rookie,0.2718716666666667,5,Davon Reed
375,Phoenix Suns,-4.014177796,Rookie,0.437537,5,Tyler Ulis
376,Phoenix Suns,-4.014177796,Rookie,1.050977,5,T.J. Warren
377,Phoenix Suns,-4.014177796,Rookie,2.0,5,Alan Williams
378,Philadelphia 76ers,-4.722418349,Rookie,0.52648,5,Justin Anderson
382,Philadelphia 76ers,-4.722418349,Rookie,2.033422,5,Joel Embiid
383,Philadelphia 76ers,-4.722418349,Rookie,2.34208,5,Markelle Fultz
384,Philadelphia 76ers,-4.722418349,Rookie,0.49046066666666666,5,Richaun Holmes
386,Philadelphia 76ers,-4.722418349,Rookie,0.48864,5,Furkan Korkmaz
387,Philadelphia 76ers,-4.722418349,Rookie,0.4622,5,Timothe Luwawu-Cabarrot
388,Philadelphia 76ers,-4.722418349,Rookie,0.49046066666666666,5,T.J. McConnell
389,Philadelphia 76ers,-4.722418349,Rookie,0.80752,5,Dario Saric
390,Philadelphia 76ers,-4.722418349,Rookie,2.05628,5,Ben Simmons
391,Los Angeles Lakers,-5.179052184,Rookie,2.09552,5,Lonzo Ball
394,Los Angeles Lakers,-5.179052184,Rookie,0.2718716666666667,5,Thomas Bryant
397,Los Angeles Lakers,-5.179052184,Rookie,0.5081016666666667,5,Tyler Ennis
399,Los Angeles Lakers,-5.179052184,Rookie,0.46484,5,Josh Hart
400,Los Angeles Lakers,-5.179052184,Rookie,0.004608,5,Andre Ingram
401,Los Angeles Lakers,-5.179052184,Rookie,1.8398,5,Brandon Ingram
402,Los Angeles Lakers,-5.179052184,Rookie,0.47452,5,Kyle Kuzma
404,Los Angeles Lakers,-5.179052184,Rookie,1.3830806666666666,5,Julius Randle
406,Los Angeles Lakers,-5.179052184,Rookie,0.09887866666666667,5,Travis Wear
408,Los Angeles Lakers,-5.179052184,Rookie,0.437537,5,Ivica Zubac
409,Los Angeles Lakers,-5.179052184,Rookie,0.016666666666666666,5,Briante Weber
410,Los Angeles Lakers,-5.179052184,Rookie,0.016666666666666666,5,Vander Blue
