rating,Unnamed: 0,Team,Type,mu,sd,name
-1.394684167,5010,Miami Heat,Non-rookie,1.333333333,5,James Johnson
-1.394684167,6135,Miami Heat,Non-rookie,1.927483333,5,Josh McRoberts
-1.394684167,6144,Miami Heat,Rookie,0.291545333,5,Josh Richardson
-1.394684167,6242,Miami Heat,Rookie,0.86448,5,Justise Winslow
-1.394684167,7298,Miami Heat,Non-rookie,0.409,5,Luke Babbitt
-1.394684167,7515,Miami Heat,Rookie,0.010656333,5,Marcus Georges-Hunt
-1.394684167,8597,Miami Heat,Rookie,0.124977667,5,Okaro White
-1.394684167,9526,Miami Heat,Rookie,0.181157,5,Rodney McGruder
-1.394684167,11279,Miami Heat,Rookie,1.876,5,Tyler Johnson
-1.394684167,11375,Miami Heat,Non-rookie,1.333333333,5,Udonis Haslem
-1.394684167,11601,Miami Heat,Non-rookie,2,5,Wayne Ellington
-1.394684167,11703,Miami Heat,Rookie,0.338565333,5,Willie Reed
-1.572589004,35,Indiana Pacers,Non-rookie,0.9,5,Aaron Brooks
-1.572589004,175,Indiana Pacers,Non-rookie,3.410059667,5,Al Jefferson
-1.572589004,244,Indiana Pacers,Rookie,0.012967667,5,Alex Poythress
-1.572589004,944,Indiana Pacers,Rookie,0.083333333,5,Ben Bentil
-1.572589004,4200,Indiana Pacers,Rookie,0.216666667,5,Georges Niang
-1.572589004,5421,Indiana Pacers,Non-rookie,2.933333333,5,Jeff Teague
-1.572589004,5743,Indiana Pacers,Rookie,0.350780667,5,Joe Young
-1.572589004,6649,Indiana Pacers,Non-rookie,0.6,5,Kevin Seraphin
-1.572589004,6917,Indiana Pacers,Non-rookie,1.333333333,5,Lance Stephenson
-1.572589004,7040,Indiana Pacers,Non-rookie,1.333333333,5,Lavoy Allen
-1.572589004,8312,Indiana Pacers,Non-rookie,3.59,5,Monta Ellis
-1.572589004,8384,Indiana Pacers,Rookie,0.82128,5,Myles Turner
-1.572589004,8792,Indiana Pacers,Non-rookie,6.104844,5,Paul George
-1.572589004,9040,Indiana Pacers,Rookie,0.350780667,5,Rakeem Christmas
-1.572589004,9547,Indiana Pacers,Non-rookie,2.333333333,5,Rodney Stuckey
-1.572589004,10746,Indiana Pacers,Non-rookie,4.717884,5,Thaddeus Young
-1.61856767,215,Utah Jazz,Non-rookie,3.384831667,5,Alec Burks
-1.61856767,1212,Utah Jazz,Non-rookie,2.333333333,5,Boris Diaw
-1.61856767,2650,Utah Jazz,Rookie,1.31344,5,Dante Exum
-1.61856767,3105,Utah Jazz,Non-rookie,3.683333333,5,Derrick Favors
-1.61856767,4173,Utah Jazz,Non-rookie,2.666666667,5,George Hill
-1.61856767,4327,Utah Jazz,Non-rookie,5.357713333,5,Gordon Hayward
-1.61856767,5431,Utah Jazz,Rookie,0.338565333,5,Jeff Withey
-1.61856767,5688,Utah Jazz,Rookie,0.75,5,Joe Ingles
-1.61856767,5706,Utah Jazz,Non-rookie,3.666666667,5,Joe Johnson
-1.61856767,5753,Utah Jazz,Rookie,0.2,5,Joel Bolomboy
-1.61856767,9173,Utah Jazz,Rookie,0.3126,5,Raul Neto
-1.61856767,9521,Utah Jazz,Rookie,0.46884,5,Rodney Hood
-1.61856767,9735,Utah Jazz,Rookie,0.707096,5,Rudy Gobert
-1.61856767,10271,Utah Jazz,Non-rookie,0.811111333,5,Shelvin Mack
-1.61856767,11210,Utah Jazz,Rookie,0.7802,5,Trey Lyles
-1.739854418,54,Charlotte Hornets,Rookie,0.125193,5,Aaron Harrison
-1.739854418,1413,Charlotte Hornets,Non-rookie,0.350320333,5,Brian Roberts
-1.739854418,1452,Charlotte Hornets,Rookie,0.109333333,5,Briante Weber
-1.739854418,1909,Charlotte Hornets,Non-rookie,0.517219667,5,Chris Andersen
-1.739854418,2143,Charlotte Hornets,Rookie,0.291545333,5,Christian Wood
-1.739854418,2238,Charlotte Hornets,Rookie,1.772771,5,Cody Zeller
-1.739854418,4058,Charlotte Hornets,Rookie,0.91,5,Frank Kaminsky
-1.739854418,5463,Charlotte Hornets,Non-rookie,2.170542667,5,Jeremy Lamb
-1.739854418,6385,Charlotte Hornets,Rookie,4,5,Kemba Walker
-1.739854418,7480,Charlotte Hornets,Non-rookie,2.111111,5,Marco Belinelli
-1.739854418,7775,Charlotte Hornets,Non-rookie,4.083333333,5,Marvin Williams
-1.739854418,8032,Charlotte Hornets,Rookie,4.333333333,5,Michael Kidd-Gilchrist
-1.739854418,8208,Charlotte Hornets,Rookie,0.046312667,5,Mike Tobey
-1.739854418,8533,Charlotte Hornets,Non-rookie,6.956522,5,Nicolas Batum
-1.739854418,9052,Charlotte Hornets,Non-rookie,2,5,Ramon Sessions
-1.739854418,11172,Charlotte Hornets,Rookie,0.181157,5,Treveon Graham
-2.099024487,266,Portland Trailblazers,Non-rookie,2.560321667,5,Al-Farouq Aminu
-2.099024487,281,Portland Trailblazers,Rookie,6.166666667,5,Allen Crabbe
-2.099024487,392,Portland Trailblazers,Non-rookie,0.661335,5,Anderson Varejao
-2.099024487,2445,Portland Trailblazers,Non-rookie,8.109475,5,Damian Lillard
-2.099024487,3622,Portland Trailblazers,Non-rookie,2.222222333,5,Ed Davis
-2.099024487,3995,Portland Trailblazers,Non-rookie,5.464481,5,Evan Turner
-2.099024487,4866,Portland Trailblazers,Rookie,0.2,5,Jake Layman
-2.099024487,6246,Portland Trailblazers,Rookie,0.64044,5,Jusuf Nurkic
-2.099024487,7889,Portland Trailblazers,Non-rookie,2.996254667,5,Maurice Harkless
-2.099024487,7939,Portland Trailblazers,Non-rookie,3.071161333,5,Meyers Leonard
-2.099024487,8569,Portland Trailblazers,Rookie,0.91712,5,Noah Vonleh
-2.099024487,8712,Portland Trailblazers,Rookie,0.291545333,5,Pat Connaughton
-2.099024487,10102,Portland Trailblazers,Rookie,0.45004,5,Shabazz Napier
-3.09098918,417,Detroit Pistons,Rookie,7.37225,5,Andre Drummond
-3.09098918,834,Detroit Pistons,Non-rookie,2.166666667,5,Aron Baynes
-3.09098918,992,Detroit Pistons,Non-rookie,0.517219667,5,Beno Udrih
-3.09098918,1139,Detroit Pistons,Rookie,2.333333333,5,Boban Marjanovic
-3.09098918,2752,Detroit Pistons,Rookie,0.291545333,5,Darrun Hilliard
-3.09098918,4564,Detroit Pistons,Rookie,0.56804,5,Henry Ellenson
-3.09098918,4739,Detroit Pistons,Rookie,2,5,Ish Smith
-3.09098918,5980,Detroit Pistons,Non-rookie,3.663985667,5,Jon Leuer
-3.09098918,6497,Detroit Pistons,Rookie,1.226106333,5,Kentavious Caldwell-Pope
-3.09098918,7534,Detroit Pistons,Non-rookie,1.541666667,5,Marcus Morris
-3.09098918,8018,Detroit Pistons,Rookie,0.216666667,5,Michael Gbinije
-3.09098918,9213,Detroit Pistons,Rookie,0.751881333,5,Reggie Bullock
-3.09098918,9233,Detroit Pistons,Non-rookie,4.985507333,5,Reggie Jackson
-3.09098918,10386,Detroit Pistons,Rookie,0.98996,5,Stanley Johnson
-3.09098918,10889,Detroit Pistons,Non-rookie,5.733333333,5,Tobias Harris
-3.599617262,1143,Houston Rockets,Non-rookie,0.311431,5,Bobby Brown
-3.599617262,1893,Houston Rockets,Rookie,0.181157,5,Chinanu Onuaku
