X,Unnamed..0,rating,Team,mu,sd,name,Contract.Value,Year,Type,coefs,index,player_id,player_name
65,163,1.813798095,Denver Nuggets,1.12716,5,Emmanuel Mudiay,"$3,381,480.00 ",2017,Rookie,-4.77066208,142,1626144,Emmanuel Mudiay
66,164,1.813798095,Denver Nuggets,0.850018333,5,Gary Harris,"$2,550,055.00 ",2017,Rookie,5.139888355,32,203914,Gary Harris
67,165,1.813798095,Denver Nuggets,1.11844,5,Jamal Murray,"$3,355,320.00 ",2017,Rookie,4.613053365,31,1627750,Jamal Murray
68,169,1.813798095,Denver Nuggets,0.56688,5,Malik Beasley,"$1,700,640.00 ",2017,Rookie,-3.742299388,208,1627736,Malik Beasley
69,171,1.813798095,Denver Nuggets,0.490460667,5,Nikola Jokic,"$1,471,382.00 ",2017,Rookie,5.796173083,503,203999,Nikola Jokic
70,175,1.813798095,Denver Nuggets,0.8138,5,Trey Lyles,"$2,441,400.00 ",2017,Rookie,0.858827884,448,1626168,Trey Lyles
71,176,1.813798095,Denver Nuggets,0.52648,5,Tyler Lydon,"$1,579,440.00 ",2017,Rookie,0,537,1628399,Tyler Lydon
72,180,2.37472787,Washington Wizards,0.490460667,5,Chris McCullough,"$1,471,382.00 ",2017,Rookie,0.406465405,356,1626191,Chris McCullough
73,188,2.37472787,Washington Wizards,0.666666667,5,Tim Frazier,"$2,000,000.00 ",2017,Rookie,3.022018886,515,204025,Tim Frazier
74,189,2.37472787,Washington Wizards,1,5,Tomas Satoransky,"$3,000,000.00 ",2017,Rookie,-0.40876592,56,203107,Tomas Satoransky
75,192,5.382403139,Los Angeles Clippers,0.44372,5,Brice Johnson,"$1,331,160.00 ",2017,Rookie,-6.82164963,222,1627744,Brice Johnson
76,195,5.382403139,Los Angeles Clippers,0.271871667,5,Jawun Evans,"$815,615.00 ",2017,Rookie,8.963091005,70,1628393,Jawun Evans
77,198,5.382403139,Los Angeles Clippers,0.490460667,5,Montrezl Harrell,"$1,471,382.00 ",2017,Rookie,2.782002989,71,1626149,Montrezl Harrell
78,200,5.382403139,Los Angeles Clippers,0.5982,5,Sam Dekker,"$1,794,600.00 ",2017,Rookie,-2.81447274,181,1626155,Sam Dekker
79,201,5.382403139,Los Angeles Clippers,0.271871667,5,Sindarius Thornwell,"$815,615.00 ",2017,Rookie,-7.060799435,182,1628414,Sindarius Thornwell
80,203,5.382403139,Los Angeles Clippers,0.525743333,5,Willie Reed,"$1,577,230.00 ",2017,Rookie,0.634957709,344,203186,Willie Reed
81,205,1.065368971,Charlotte Hornets,0.271871667,5,Dwayne Bacon,"$815,615.00 ",2017,Rookie,6.775430898,461,1628407,Dwayne Bacon
82,207,1.065368971,Charlotte Hornets,0.9492,5,Frank Kaminsky,"$2,847,600.00 ",2017,Rookie,2.393027289,233,1626163,Frank Kaminsky
83,211,1.065368971,Charlotte Hornets,0.96816,5,Malik Monk,"$2,904,480.00 ",2017,Rookie,-8.572503289,212,1628370,Malik Monk
84,216,1.065368971,Charlotte Hornets,0.437537,5,Treveon Graham,"$1,312,611.00 ",2017,Rookie,-2.442165165,474,1626203,Treveon Graham
85,217,1.904907009,Miami Heat,0.83012,5,Bam Adebayo,"$2,490,360.00 ",2017,Rookie,-6.887809352,84,1628389,Bam Adebayo
