,rating,Team,mu,sd,name,Contract Value,Year,Type
244,5.107920036,Milwaukee Bucks,0.271871667,5,Sterling Brown,"$815,615.00 ",2017,Rookie
245,5.107920036,Milwaukee Bucks,0.89472,5,Thon Maker,"$2,684,160.00 ",2017,Rookie
252,5.049265225,Detroit Pistons,0.579777667,5,Eric Moreland,"$1,739,333.00 ",2017,Rookie
253,5.049265225,Detroit Pistons,0.5936,5,Henry Ellenson,"$1,780,800.00 ",2017,Rookie
259,5.049265225,Detroit Pistons,0.91976,5,Luke Kennard,"$2,759,280.00 ",2017,Rookie
262,5.049265225,Detroit Pistons,1.0326,5,Stanley Johnson,"$3,097,800.00 ",2017,Rookie
265,3.900598636,Los Angeles Lakers,1.8398,5,Brandon Ingram,"$5,519,400.00 ",2017,Rookie
266,3.900598636,Los Angeles Lakers,0.016666667,5,Briante Weber,"$50,000.00 ",2017,Rookie
269,3.900598636,Los Angeles Lakers,0.437537,5,Ivica Zubac,"$1,312,611.00 ",2017,Rookie
271,3.900598636,Los Angeles Lakers,0.46484,5,Josh Hart,"$1,394,520.00 ",2017,Rookie
272,3.900598636,Los Angeles Lakers,1.383080667,5,Julius Randle,"$4,149,242.00 ",2017,Rookie
274,3.900598636,Los Angeles Lakers,0.47452,5,Kyle Kuzma,"$1,423,560.00 ",2017,Rookie
277,3.900598636,Los Angeles Lakers,0.271871667,5,Thomas Bryant,"$815,615.00 ",2017,Rookie
278,3.900598636,Los Angeles Lakers,0.508101667,5,Tyler Ennis,"$1,524,305.00 ",2017,Rookie
279,3.900598636,Los Angeles Lakers,0.016666667,5,Vander Blue,"$50,000.00 ",2017,Rookie
282,2.634309708,Dallas Mavericks,0.437537,5,Dorian Finney-Smith,"$1,312,611.00 ",2017,Rookie
284,2.634309708,Dallas Mavericks,0.016666667,5,Gian Clavell,"$50,000.00 ",2017,Rookie
286,2.634309708,Dallas Mavericks,1.3013,5,J.J. Barea,"$3,903,900.00 ",2017,Rookie
287,2.634309708,Dallas Mavericks,0.525773333,5,Jeff Withey,"$1,577,320.00 ",2017,Rookie
289,2.634309708,Dallas Mavericks,0.271871667,5,Maxi Kleber,"$815,615.00 ",2017,Rookie
291,2.634309708,Dallas Mavericks,0.490460667,5,Salah Mejri,"$1,471,382.00 ",2017,Rookie
293,2.634309708,Dallas Mavericks,0.437537,5,Yogi Ferrell,"$1,312,611.00 ",2017,Rookie
295,1.767519876,New York Knicks,0.366666667,5,Damyean Dotson,"$1,100,000.00 ",2017,Rookie
296,1.767519876,New York Knicks,1.098331333,5,Doug McDermott,"$3,294,994.00 ",2017,Rookie
298,1.767519876,New York Knicks,1.16704,5,Frank Ntilikina,"$3,501,120.00 ",2017,Rookie
301,1.767519876,New York Knicks,1.5012,5,Kristaps Porzingis,"$4,503,600.00 ",2017,Rookie
303,1.767519876,New York Knicks,0.033333333,5,Marshall Plumlee,"$100,000.00 ",2017,Rookie
305,1.767519876,New York Knicks,1.008345,5,Mindaugas Kuzminskas,"$3,025,035.00 ",2017,Rookie
306,1.767519876,New York Knicks,0.016666667,5,Nigel Hayes,"$50,000.00 ",2017,Rookie
308,1.767519876,New York Knicks,1.442666667,5,Ron Baker,"$4,328,000.00 ",2017,Rookie
