,Unnamed: 0,rating,Team,mu,sd,name,Contract Value,Year,Type,coefs,index,player_id,player_name
52,99,8.012503387999999,San Antonio Spurs,5.333333333,5,Pau Gasol,"$16,000,000.00 ",2017,Non-rookie,-3.821007637241204,477,2200.0,Pau Gasol
53,100,8.012503387999999,San Antonio Spurs,2.802,5,Rudy Gay,"$8,406,000.00 ",2017,Non-rookie,3.024978458484509,223,200752.0,Rudy Gay
54,101,8.012503387999999,San Antonio Spurs,5.1510419999999995,5,Tony Parker,"$15,453,126.00 ",2017,Non-rookie,-3.8949150224430658,345,2225.0,Tony Parker
55,102,7.507833506,Minnesota Timberwolves,0.705651667,5,Aaron Brooks,"$2,116,955.00 ",2017,Non-rookie,-5.1388022218762135,307,201166.0,Aaron Brooks
56,103,7.507833506,Minnesota Timberwolves,2.5247740000000003,5,Andrew Wiggins,"$7,574,322.00 ",2017,Non-rookie,-3.2091028866347138,312,203952.0,Andrew Wiggins
57,104,7.507833506,Minnesota Timberwolves,2.433333333,5,Cole Aldrich,"$7,300,000.00 ",2017,Non-rookie,-3.909237192751799,502,202332.0,Cole Aldrich
58,105,7.507833506,Minnesota Timberwolves,4.70412,5,Gorgui Dieng,"$14,112,360.00 ",2017,Non-rookie,-7.691318774315338,311,203476.0,Gorgui Dieng
59,106,7.507833506,Minnesota Timberwolves,3.647587333,5,Jamal Crawford,"$10,942,762.00 ",2017,Non-rookie,2.3571816061886075,410,2037.0,Jamal Crawford
60,108,7.507833506,Minnesota Timberwolves,6.333333333,5,Jeff Teague,"$19,000,000.00 ",2017,Non-rookie,7.239250778737817,27,201952.0,Jeff Teague
61,109,7.507833506,Minnesota Timberwolves,6.43369,5,Jimmy Butler,"$19,301,070.00 ",2017,Non-rookie,4.025558796499047,479,202710.0,Jimmy Butler
62,111,7.507833506,Minnesota Timberwolves,2.07228,5,Karl-Anthony Towns,"$6,216,840.00 ",2017,Non-rookie,3.6927242916268184,29,1626157.0,Karl-Anthony Towns
63,114,7.507833506,Minnesota Timberwolves,0.525743333,5,Shabazz Muhammad,"$1,577,230.00 ",2017,Non-rookie,-3.6558428957134734,270,203498.0,Shabazz Muhammad
64,115,7.507833506,Minnesota Timberwolves,4.666666667,5,Taj Gibson,"$14,000,000.00 ",2017,Non-rookie,0.1026298180103602,90,201959.0,Taj Gibson
65,117,7.476474607,Portland Trail Blazers,2.4396783330000003,5,Al-Farouq Aminu,"$7,319,035.00 ",2017,Non-rookie,7.7163914231160255,463,202329.0,Al-Farouq Aminu
66,119,7.476474607,Portland Trail Blazers,8.717685667000001,5,Damian Lillard,"$26,153,057.00 ",2017,Non-rookie,7.9158076956041326,122,203081.0,Damian Lillard
67,120,7.476474607,Portland Trail Blazers,2.1175103330000002,5,Ed Davis,"$6,352,531.00 ",2017,Non-rookie,-5.063954717008941,303,202334.0,Ed Davis
68,121,7.476474607,Portland Trail Blazers,5.710382667,5,Evan Turner,"$17,131,148.00 ",2017,Non-rookie,-0.03875478360506968,326,202323.0,Evan Turner
69,124,7.476474607,Portland Trail Blazers,3.387640667,5,Maurice Harkless,"$10,162,922.00 ",2017,Non-rookie,-2.477722321567972,327,203090.0,Maurice Harkless
70,125,7.476474607,Portland Trail Blazers,3.301498333,5,Meyers Leonard,"$9,904,495.00 ",2017,Non-rookie,-2.373206391446668,124,203086.0,Meyers Leonard
71,130,7.100591941,New Orleans Pelicans,7.925168667,5,Anthony Davis,"$23,775,506.00 ",2017,Non-rookie,5.381461204708495,62,203076.0,Anthony Davis
72,132,7.100591941,New Orleans Pelicans,0.7666666670000001,5,Dante Cunningham,"$2,300,000.00 ",2017,Non-rookie,-6.099927255478533,63,201967.0,Dante Cunningham
73,133,7.100591941,New Orleans Pelicans,0.7,5,Darius Miller,"$2,100,000.00 ",2017,Non-rookie,-5.384738350072509,296,203121.0,Darius Miller
74,134,7.100591941,New Orleans Pelicans,6.0212833329999995,5,DeMarcus Cousins,"$18,063,850.00 ",2017,Non-rookie,9.935191987920824,297,202326.0,DeMarcus Cousins
75,138,7.100591941,New Orleans Pelicans,0.083333333,5,Jordan Crawford,"$250,000.00 ",2017,Non-rookie,-1.2386049441028772,274,202348.0,Jordan Crawford
76,141,7.100591941,New Orleans Pelicans,8.562222333,5,Jrue Holiday,"$25,686,667.00 ",2017,Non-rookie,7.436850254387926,507,201950.0,Jrue Holiday
77,142,7.100591941,New Orleans Pelicans,3.531835,5,Omer Asik,"$10,595,505.00 ",2017,Non-rookie,-4.047849854779557,172,201600.0,Omer Asik
78,145,7.100591941,New Orleans Pelicans,1.1,5,Rajon Rondo,"$3,300,000.00 ",2017,Non-rookie,-3.516790574270196,476,200765.0,Rajon Rondo
79,147,7.100591941,New Orleans Pelicans,4.078844999999999,5,Solomon Hill,"$12,236,535.00 ",2017,Non-rookie,-2.893633485920281,245,203524.0,Solomon Hill
80,148,7.100591941,New Orleans Pelicans,0.705651667,5,Tony Allen,"$2,116,955.00 ",2017,Non-rookie,-1.3864393547947431,284,2754.0,Tony Allen
81,149,6.91526888,Indiana Pacers,3.256607,5,Al Jefferson,"$9,769,821.00 ",2017,Non-rookie,-1.9732128581626556,475,2744.0,Al Jefferson
82,150,6.91526888,Indiana Pacers,3.5,5,Bojan Bogdanovic,"$10,500,000.00 ",2017,Non-rookie,-1.4980551248967753,170,202711.0,Bojan Bogdanovic
83,151,6.91526888,Indiana Pacers,2.543333333,5,Cory Joseph,"$7,630,000.00 ",2017,Non-rookie,-3.865759660990443,169,202709.0,Cory Joseph
84,152,6.91526888,Indiana Pacers,0.705651667,5,Damien Wilkins,"$2,116,955.00 ",2017,Non-rookie,-0.8523611054945822,277,2863.0,Damien Wilkins
85,153,6.91526888,Indiana Pacers,3.333333333,5,Darren Collison,"$10,000,000.00 ",2017,Non-rookie,6.387595448723191,12,201954.0,Darren Collison
86,158,6.91526888,Indiana Pacers,1.3933333330000002,5,Lance Stephenson,"$4,180,000.00 ",2017,Non-rookie,-0.8867565724670738,339,202362.0,Lance Stephenson
