,Name,Team,Season,Salary,Type
721,Renaldo Balkman,New York Knicks,2010,1675000,Non-rookie
722,Renaldo Balkman,New York Knicks,2011,1675000,Non-rookie
723,Renaldo Balkman,New York Knicks,2012,1675000,Non-rookie
726,Lonzo Ball,Los Angeles Lakers,2017,6286560,Rookie
736,Marcus Banks,New Orleans Hornets,2010,4847586,Non-rookie
748,Leandro Barbosa,Toronto Raptors,2010,7100000,Non-rookie
749,Leandro Barbosa,Toronto Raptors,2011,7600000,Non-rookie
750,Leandro Barbosa,Washington Wizards,2012,1229255,Non-rookie
751,Leandro Barbosa,Golden State Warriors,2014,1448490,Non-rookie
752,Leandro Barbosa,Golden State Warriors,2015,2500000,Non-rookie
753,Leandro Barbosa,Phoenix Suns,2016,4000000,Non-rookie
754,Leandro Barbosa,Phoenix Suns,2017,500000,Non-rookie
761,J.J. Barea,Dallas Mavericks,2010,1815000,Non-rookie
762,J.J. Barea,Minnesota Timberwolves,2011,4300000,Non-rookie
763,J.J. Barea,Minnesota Timberwolves,2012,4493500,Non-rookie
764,J.J. Barea,Minnesota Timberwolves,2013,4687000,Non-rookie
765,J.J. Barea,Dallas Mavericks,2014,1310286,Non-rookie
766,J.J. Barea,Dallas Mavericks,2015,4000000,Non-rookie
767,J.J. Barea,Dallas Mavericks,2016,4096950,Non-rookie
768,J.J. Barea,Dallas Mavericks,2017,3903900,Non-rookie
773,Andrea Bargnani,Toronto Raptors,2010,8500000,Non-rookie
774,Andrea Bargnani,Toronto Raptors,2011,9250000,Non-rookie
775,Andrea Bargnani,Toronto Raptors,2012,10000000,Non-rookie
776,Andrea Bargnani,New York Knicks,2013,11862500,Non-rookie
777,Andrea Bargnani,New York Knicks,2014,11500000,Non-rookie
778,Andrea Bargnani,Brooklyn Nets,2015,1039298,Non-rookie
779,Andrea Bargnani,Brooklyn Nets,2016,323599,Non-rookie
798,Harrison Barnes,Golden State Warriors,2012,2798040,Rookie
799,Harrison Barnes,Golden State Warriors,2013,2923920,Rookie
800,Harrison Barnes,Golden State Warriors,2014,3049920,Rookie
801,Harrison Barnes,Golden State Warriors,2015,3873398,Rookie
802,Harrison Barnes,Dallas Mavericks,2016,22116750,Non-rookie
803,Harrison Barnes,Dallas Mavericks,2017,23112004,Non-rookie
811,Matt Barnes,Los Angeles Lakers,2010,1765000,Non-rookie
812,Matt Barnes,Los Angeles Lakers,2011,1906200,Non-rookie
813,Matt Barnes,Los Angeles Clippers,2012,1229255,Non-rookie
814,Matt Barnes,Los Angeles Clippers,2013,3250000,Non-rookie
815,Matt Barnes,Los Angeles Clippers,2014,3396250,Non-rookie
