,rating,Team,Name,mu,sd
165,6.899803629,Denver Nuggets,Paul Millsap,9.743589666666667,5
166,6.899803629,Denver Nuggets,Nikola Jokic,8.489083333333333,5
167,6.899803629,Denver Nuggets,Gary Harris,5.505952333333333,5
168,6.899803629,Denver Nuggets,Mason Plumlee,4.305936,5
169,6.899803629,Denver Nuggets,Will Barton,3.9434526666666665,5
170,6.899803629,Denver Nuggets,Jamal Murray,1.1666,5
171,6.899803629,Denver Nuggets,Trey Lyles,1.1214163333333333,5
172,6.899803629,Denver Nuggets,Torrey Craig,0.6666666666666666,5
173,6.899803629,Denver Nuggets,Tyler Lydon,0.62488,5
174,6.899803629,Denver Nuggets,Malik Beasley,0.59128,5
175,6.899803629,Denver Nuggets,Isaiah Thomas,0.5042003333333334,5
176,6.899803629,Denver Nuggets,Monte Morris,0.44979433333333335,5
177,6.899803629,Denver Nuggets,Jarred Vanderbilt,0.279488,5
178,6.2379478310000005,Cleveland Cavaliers,Kevin Love,8.039675,5
179,6.2379478310000005,Cleveland Cavaliers,Tristan Thompson,5.823188333333333,5
180,6.2379478310000005,Cleveland Cavaliers,Brandon Knight,4.877083333333333,5
181,6.2379478310000005,Cleveland Cavaliers,Jordan Clarkson,4.166666666666667,5
182,6.2379478310000005,Cleveland Cavaliers,John Henson,3.775822,5
183,6.2379478310000005,Cleveland Cavaliers,Matthew Dellavedova,3.2025,5
184,6.2379478310000005,Cleveland Cavaliers,Collin Sexton,1.3562,5
185,6.2379478310000005,Cleveland Cavaliers,Marquese Chriss,1.06872,5
186,6.2379478310000005,Cleveland Cavaliers,Cedi Osman,0.925,5
187,6.2379478310000005,Cleveland Cavaliers,Larry Nance Jr.,0.7574636666666666,5
188,6.2379478310000005,Cleveland Cavaliers,Ante Zizic,0.65092,5
189,6.2379478310000005,Cleveland Cavaliers,Channing Frye,0.5042003333333334,5
190,6.2379478310000005,Cleveland Cavaliers,David Nwaba,0.5042003333333334,5
191,6.2379478310000005,Cleveland Cavaliers,Nik Stauskas,0.16806666666666667,5
192,6.065728513,Washington Wizards,Bradley Beal,8.478087666666667,5
193,6.065728513,Washington Wizards,Jabari Parker,6.666666666666667,5
194,6.065728513,Washington Wizards,John Wall,6.3899333333333335,5
195,6.065728513,Washington Wizards,Ian Mahinmi,5.314718,5
196,6.065728513,Washington Wizards,Trevor Ariza,5.0,5
197,6.065728513,Washington Wizards,Dwight Howard,1.779,5
198,6.065728513,Washington Wizards,Tomas Satoransky,1.0430623333333333,5
199,6.065728513,Washington Wizards,Sam Dekker,0.9200316666666667,5
200,6.065728513,Washington Wizards,Troy Brown Jr.,0.91636,5
201,6.065728513,Washington Wizards,Bobby Portis,0.8314486666666666,5
202,6.065728513,Washington Wizards,Jeff Green,0.5042003333333334,5
203,6.065728513,Washington Wizards,Thomas Bryant,0.459414,5
204,6.065728513,Washington Wizards,Chasson Randle,0.289698,5
205,6.065728513,Washington Wizards,Jordan McRae,0.005697333333333334,5
206,5.4842278989999995,Los Angeles Clippers,Danilo Gallinari,7.195859666666666,5
207,5.4842278989999995,Los Angeles Clippers,Wilson Chandler,4.266854,5
208,5.4842278989999995,Los Angeles Clippers,Garrett Temple,2.6666666666666665,5
209,5.4842278989999995,Los Angeles Clippers,JaMychal Green,2.622222333333333,5
210,5.4842278989999995,Los Angeles Clippers,Montrezl Harrell,2.0,5
211,5.4842278989999995,Los Angeles Clippers,Patrick Beverley,1.6756756666666666,5
212,5.4842278989999995,Los Angeles Clippers,Shai Gilgeous-Alexander,1.12512,5
213,5.4842278989999995,Los Angeles Clippers,Jerome Robinson,1.0154,5
214,5.4842278989999995,Los Angeles Clippers,Landry Shamet,0.56788,5
215,5.4842278989999995,Los Angeles Clippers,Rodney McGruder,0.5149836666666666,5
216,5.4842278989999995,Los Angeles Clippers,Ivica Zubac,0.5149836666666666,5
217,5.4842278989999995,Los Angeles Clippers,Sindarius Thornwell,0.459414,5
218,5.4842278989999995,Los Angeles Clippers,Tyrone Wallace,0.44979433333333335,5
219,5.37038963,Charlotte Hornets,Nicolas Batum,8.0,5
220,5.37038963,Charlotte Hornets,Bismack Biyombo,5.666666666666667,5
221,5.37038963,Charlotte Hornets,Marvin Williams,4.695833333333334,5
222,5.37038963,Charlotte Hornets,Cody Zeller,4.509363333333333,5
223,5.37038963,Charlotte Hornets,Michael Kidd-Gilchrist,4.333333333333333,5
224,5.37038963,Charlotte Hornets,Kemba Walker,4.0,5
225,5.37038963,Charlotte Hornets,Jeremy Lamb,2.496124,5
226,5.37038963,Charlotte Hornets,Tony Parker,1.6666666666666667,5
227,5.37038963,Charlotte Hornets,Frank Kaminsky,1.2092806666666667,5
228,5.37038963,Charlotte Hornets,Malik Monk,1.14916,5
229,5.37038963,Charlotte Hornets,Miles Bridges,1.06888,5
230,5.37038963,Charlotte Hornets,Willy Hernangomez,0.5149836666666666,5
231,5.37038963,Charlotte Hornets,Shelvin Mack,0.5042003333333334,5
232,5.37038963,Charlotte Hornets,Dwayne Bacon,0.459414,5
233,5.37038963,Charlotte Hornets,Devonte' Graham,0.329488,5
234,5.1297563230000005,Miami Heat,Hassan Whiteside,8.478087666666667,5
235,5.1297563230000005,Miami Heat,Ryan Anderson,6.807182,5
236,5.1297563230000005,Miami Heat,Goran Dragic,6.036391666666667,5
237,5.1297563230000005,Miami Heat,James Johnson,4.8839,5
238,5.1297563230000005,Miami Heat,Kelly Olynyk,4.045842333333334,5
239,5.1297563230000005,Miami Heat,Dion Waiters,3.85,5
240,5.1297563230000005,Miami Heat,Josh Richardson,3.1224,5
241,5.1297563230000005,Miami Heat,Justise Winslow,1.149642,5
242,5.1297563230000005,Miami Heat,Udonis Haslem,0.5042003333333334,5
243,5.1297563230000005,Miami Heat,Dwyane Wade,0.5042003333333334,5
244,5.1297563230000005,Miami Heat,Derrick Jones Jr.,0.5042003333333334,5
245,5.1297563230000005,Miami Heat,Yante Maten,0.004737,5
246,5.1297563230000005,Miami Heat,Duncan Robinson,0.003158,5
247,5.107920036,Milwaukee Bucks,Giannis Antetokounmpo,8.052434333333334,5
248,5.107920036,Milwaukee Bucks,George Hill,6.333333333333333,5
249,5.107920036,Milwaukee Bucks,Eric Bledsoe,5.0,5
250,5.107920036,Milwaukee Bucks,Khris Middleton,4.333333333333333,5
